Tweet_time,Id,user name,Place,Text
30-04-2021 13:49,1.39E+18,Venkat63544151,"Chennai, India","RT @rameshlaus: Apr 16th - 23rd Top #IPL2021 Matches TV Ratings:

1. #MI vs #PBKS 

2. #CSK vs #KKR 

3. #RCB vs #RR 

4. #MI vs #DC 

5. #…"
30-04-2021 13:49,1.39E+18,SagarSejpal96,,"RT @DreamerFantasy7: Final High Risk 11 🍸
Join telegram for final update.

#Dream11 #DreamTeam #VIVOIPL #MatchDay #IPL #IPLT20 #IPL2021 #PB…"
30-04-2021 13:48,1.39E+18,CricGeekAyush,Kerala,RT if You Want a Gayle-Storm Today #PBKS #PBKSvRCB
30-04-2021 13:48,1.39E+18,Being_pratiks,"Chandrapur, India","RT @AyyagaruNumber1: @PunjabKingsIPL If shit has a team then I would be pbks team 
If shit has a name then it's #pbks 
If shit has a manage…"
30-04-2021 13:48,1.39E+18,m_idiotic,,RT @khushbookadri: Full Support To #PBKS Tonight #IYKYK
30-04-2021 13:48,1.39E+18,CricTelegraph,At Cricket,"Royal Challengers Bangalore Playing XI 🏏

#IPL #IPL2021 #RCB #PBKS #PBKSvRCB https://t.co/o7Z9UGpLCe"
30-04-2021 13:48,1.39E+18,prashant_4582,,"PBKS vs RCB 🏏

#PBKSVRCB #PBKSvsRCB
#RCBvPBKS #RCBvsPBKS 

#PBKS #SaddaPunjab #PunjabKings 

#RCB #PlayBold… https://t.co/ItGXJkf3KG"
30-04-2021 13:48,1.39E+18,Dazzlingcutie1,Mumbai,"RT @ontodot_: Giveaway worth Rs 1000* from Ontodot
-Follow us on Instagram&amp; Twitter &amp; Facebook
@Ontodot_
- Comment &amp; tag your two friends w…"
30-04-2021 13:48,1.39E+18,MattVO20,East London,I beg Punjab do something else other than 130/7 #pbks
30-04-2021 13:48,1.39E+18,Sushant85883403,BELONIA,"RT @dna: #IPL2021: Virat Kohli wins toss and opts to field, Royal Challengers Bangalore make one change

#ViratKohli #RCB #PBKS #PBKSvRCB #…"
30-04-2021 13:48,1.39E+18,Indushasp,,#RCB won the toss but hopefully #PBKS wins the match 🙏🙏🙏
30-04-2021 13:48,1.39E+18,SIMCricket,,"SUPER7s PREDICTOR:

Can @PunjabKingsIPL get their 3rd win of #IPL2021 against a strong @RCBTweets side? Here are so… https://t.co/DLMTpLUNRs"
30-04-2021 13:48,1.39E+18,ImranVK_18,"Assam, India","RT @ESPNcricinfo: Glenn Maxwell will be facing his former team #PBKS today 👀

What are your predictions for the match? #PBKSvRCB

The previ…"
30-04-2021 13:48,1.39E+18,CricGeekAyush,Kerala,"Now that Mayank is gone, wanna see Gayle Opening with King Lion #PBKS #PBKSvRCB"
30-04-2021 13:48,1.39E+18,manjughiremath,"Hubli, India","RT @Cricketracker: TOSS: RCB have won the toss and elected to bowl first.

📸: IPL/BCCI

#PBKSvRCB #PBKS #RCB #IPL #IPL2021 #CricTracker htt…"
30-04-2021 13:47,1.39E+18,DreamerFantasy7,"Maharashtra, India","Final High Risk 11 🍸
Join telegram for final update.

#Dream11 #DreamTeam #VIVOIPL #MatchDay #IPL #IPLT20 #IPL2021… https://t.co/xwQGE9Vxz6"
30-04-2021 13:47,1.39E+18,Cricketracker,India,"TOSS: RCB have won the toss and elected to bowl first.

📸: IPL/BCCI

#PBKSvRCB #PBKS #RCB #IPL #IPL2021 #CricTracker https://t.co/Ov8lZ1d07L"
30-04-2021 13:47,1.39E+18,khushbookadri,"Mumbai, India",Full Support To #PBKS Tonight #IYKYK
30-04-2021 13:47,1.39E+18,Muthu63167452,Chennai,"RT @CricCrazyJohns: Prabhsimran, Harpreet, Meredith replaces Agarwal (injury), Moises, Arshdeep in #PBKS."
30-04-2021 13:47,1.39E+18,MRsantosh9127,Hanuman Junction,"RT @rameshlaus: Apr 16th - 23rd Top #IPL2021 Matches TV Ratings:

1. #MI vs #PBKS 

2. #CSK vs #KKR 

3. #RCB vs #RR 

4. #MI vs #DC 

5. #…"
30-04-2021 13:47,1.39E+18,rajpurohit2603,,Who will win today's match? #RCBvsPBKS #RCB #PBKS #IPL2021 #VIVOIPL #virat #devdutt #harshal #siraj #yuzi #KLRahul #Gayle
30-04-2021 13:47,1.39E+18,SagarRockzzzzz,India,"RT @rameshlaus: Apr 16th - 23rd Top #IPL2021 Matches TV Ratings:

1. #MI vs #PBKS 

2. #CSK vs #KKR 

3. #RCB vs #RR 

4. #MI vs #DC 

5. #…"
30-04-2021 13:47,1.39E+18,probatsman,India,"Todays Playing XI

#PBKSvRCB #RCB #PBKS #PlayBold #SaddaPunjab #PunjabKings #IPL2021 #IPL #Cricket #ProBatsman https://t.co/d5H12efReX"
30-04-2021 13:47,1.39E+18,officialsky247,India,"RCB won the toss &amp; opted to bowl against PBKS.

📸: IPL/BCCI

#Cricket #RCB #PBKS #IPL2021 #PBKSvRCB https://t.co/xRN20vWDvj"
30-04-2021 13:47,1.39E+18,AyyagaruNumber1,,"@PunjabKingsIPL If shit has a team then I would be pbks team 
If shit has a name then it's #pbks 
If shit has a man… https://t.co/YWSwCPRmLG"
30-04-2021 13:46,1.39E+18,FanCode,,"Playing XI for #RCB:

Kohli (C), Padikkal, Patidar, Maxwell, de Villiers(WK), Shahbaz, Sams, Jamieson, Harshal, Sir… https://t.co/fFLMMwrpWs"
30-04-2021 13:46,1.39E+18,FanCode,,"Playing XI for #PBKS: 

Rahul (C &amp; WK), Gayle, Pooran, Hooda, Prabhsimran, Shahrukh, Jordan, Meredith, Shami, Bishn… https://t.co/kmZe6yLHeI"
30-04-2021 13:46,1.39E+18,ThotaSaikiran4,"Tenali, India","RT @Fukkard: #RCB opt to bowl👍

#RCBvsPBKS #IPL2021 #PBKS https://t.co/tx6ty2ew4y"
30-04-2021 13:46,1.39E+18,sillypoint_83,India,3 changes in the @PunjabKingsIPL side as they look to get those valuable 2 points. @RCBTweets won the toss and choo… https://t.co/UXVUvKeSXF
30-04-2021 13:46,1.39E+18,CrictipsIndia,,Virat Kohli won the toss and elected to bowl against Punjab Kings. #RCB #PBKS #IPL2021 #T20 #Cricket #PBKSvsRCB… https://t.co/qV1wndQSP8
30-04-2021 13:46,1.39E+18,ARRunlimited,ARRahman's Heart❤,"RT @JonahAbraham26: Does anyone else feel it as a Different and Special Day when it's an RCB Match Day?!

@ChloeAmandaB @RCBTweets @ARRunli…"
30-04-2021 13:46,1.39E+18,sairamana25,Chennai ,"Predictions for today's match
#PBKS #rcb #IPL2021 
@RCBTweets @PunjabKingsIPL @IPL"
30-04-2021 13:46,1.39E+18,God61284517,India,"RT @CricCrazyJohns: Prabhsimran, Harpreet, Meredith replaces Agarwal (injury), Moises, Arshdeep in #PBKS."
30-04-2021 13:46,1.39E+18,UsmanUsama11,,"RT @CricWick: Punjab Kings changing their shape 👀 

No Agarwal in playing 1️⃣1️⃣ for #PBKS

Follow Live Game here 👉 https://t.co/wYcAm0Na7Y…"
30-04-2021 13:45,1.39E+18,sasanknv,ఆంధ్రప్రదేశ్🇮🇳,"My Prediction

Match 26:
#RCB vs #PBKS

Winner - #RCB

#RCBvsPBKS #PBKSvRCB #SaddaPunjab #PlayBold #IPL2021"
30-04-2021 13:45,1.39E+18,Cricket_NKR,Pondicherry,"Mayank isn't playing - Yayy! 🙌

KL-Gayle Opening -  😐

#RCB #PBKS"
30-04-2021 13:45,1.39E+18,CricWick,,"Punjab Kings changing their shape 👀 

No Agarwal in playing 1️⃣1️⃣ for #PBKS

Follow Live Game here 👉… https://t.co/5EgUj4DKI6"
30-04-2021 13:45,1.39E+18,svj57,,"RT @rameshlaus: Apr 16th - 23rd Top #IPL2021 Matches TV Ratings:

1. #MI vs #PBKS 

2. #CSK vs #KKR 

3. #RCB vs #RR 

4. #MI vs #DC 

5. #…"
30-04-2021 13:45,1.39E+18,dna,India,"#IPL2021: Virat Kohli wins toss and opts to field, Royal Challengers Bangalore make one change

#ViratKohli #RCB… https://t.co/dKhofrSqRf"
30-04-2021 13:45,1.39E+18,BeingYuvi,Indore.Cardiff.London.Mumbai,RT @Sudarshanan7: #PBKS  must have a really strong reason to not play Dawid Malan despite their batting travails. More so with no Mayank Ag…
30-04-2021 13:45,1.39E+18,SehwagM45,"Pudukkottai, India ","Worst Changes #PBKS

Henriques &gt; Meridith 
Mayank &gt; Simran singh
Arshdeep &gt; Brar 

🤦🤦🤦

#PBKSvRCB"
30-04-2021 13:45,1.39E+18,sparrow168,Happening Hyderabad,"#IPL2021

Match 26: #PBKSvRCB

#PBKS"
30-04-2021 13:45,1.39E+18,ufaplay11,"Mumbai, India",RCB decided to bowl against Punjab Kings. here are the Playing XIs of both teams. #RCB #PBKS #IPL2021 #PBKSvsRCB… https://t.co/q8zWH7L0ji
30-04-2021 13:45,1.39E+18,ReadScoops,"Mumbai, India","15 mins to fantasy deadline. HURRY UP!

PBKS vs BLR fantasy preview: https://t.co/68CIAgJj3k

#Cricket… https://t.co/D7NLcYIUe3"
30-04-2021 13:44,1.39E+18,5AABIPL,PUNJAB🪓/ Canada,@PunjabKingsIPL Khichke #pbks #saddapunjab
30-04-2021 13:44,1.39E+18,Cric_Pramod,"kolkata,india","Half IPL done players who have not played so far 
#RCB~ Azharudden.
#PBKS~  Malan,Mandeep,Sarfaraz,Porel.
#CSK~ Che… https://t.co/VjICAmoO6O"
30-04-2021 13:44,1.39E+18,AbhiRamaKrishn8,,@IPL @PunjabKingsIPL @RCBTweets Again not given debut to world class player David malan😏😏😏😏except Malan he's giving… https://t.co/RVnLoVcdKu
