time,Sid,HRCount,FanEngageScore,TapCounts,WaveCounts,WhistlesRedeemed,TeamName,HRDeviceTypeId
30-04-2021 19:35,1,71,6.9,25,104,1350,Bangalore,3
30-04-2021 19:36,1,85,6.3,25,104,1350,Bangalore,3
30-04-2021 19:37,1,82,6.3,25,104,1350,Bangalore,3
30-04-2021 19:38,1,84,6.3,25,104,1350,Bangalore,3
30-04-2021 19:39,1,84,6.3,25,104,1350,Bangalore,3
30-04-2021 19:40,1,80,6.3,25,104,1350,Bangalore,3
30-04-2021 19:41,1,82,6.3,25,104,1350,Bangalore,3
30-04-2021 19:42,1,73,6.3,25,104,1350,Bangalore,3
30-04-2021 19:43,1,84,6.3,25,104,1350,Bangalore,3
30-04-2021 19:44,1,84,6.3,25,104,1350,Bangalore,3
30-04-2021 19:45,1,93,6.8,25,104,1350,Bangalore,3
30-04-2021 19:46,1,84,6.3,25,104,1350,Bangalore,3
30-04-2021 19:47,1,80,6.3,25,104,1350,Bangalore,3
30-04-2021 19:48,1,79,6.3,25,104,1350,Bangalore,3
30-04-2021 19:49,1,81,6.3,25,104,1350,Bangalore,3
30-04-2021 19:50,1,83,6.3,25,104,1350,Bangalore,3
30-04-2021 19:51,1,81,6.3,25,104,1350,Bangalore,3
30-04-2021 19:52,1,83,6.3,25,104,1350,Bangalore,3
30-04-2021 19:53,1,81,6.3,25,104,1350,Bangalore,3
30-04-2021 19:54,1,80,6.3,25,104,1350,Bangalore,3
30-04-2021 19:55,1,81,6.3,25,104,1350,Bangalore,3
30-04-2021 19:56,1,78,6.3,25,104,1350,Bangalore,3
30-04-2021 19:57,1,80,6.3,25,104,1350,Bangalore,3
30-04-2021 19:59,1,81,6.3,25,104,1350,Bangalore,3
30-04-2021 20:00,1,83,6.3,25,104,1350,Bangalore,3
30-04-2021 20:01,1,74,6.3,25,104,1350,Bangalore,3
30-04-2021 20:02,1,82,6.3,25,104,1350,Bangalore,3
30-04-2021 20:03,1,81,6.3,25,104,1350,Bangalore,3
30-04-2021 20:04,1,83,6.3,25,104,1350,Bangalore,3
30-04-2021 20:06,1,80,7,3,4,0,Punjab,3
30-04-2021 20:07,1,82,7,29,105,1350,Bangalore,3
30-04-2021 20:08,1,63,4.2,29,105,1350,Bangalore,3
30-04-2021 20:09,1,75,6.3,29,105,1350,Bangalore,3
30-04-2021 20:10,1,81,6.3,29,105,1350,Bangalore,3
30-04-2021 20:11,1,81,6.3,29,105,1350,Bangalore,3
30-04-2021 20:12,1,71,6.3,29,105,1350,Bangalore,3
30-04-2021 20:13,1,84,6.3,29,105,1350,Bangalore,3
30-04-2021 20:14,1,81,6.3,29,105,1350,Bangalore,3
30-04-2021 20:15,1,80,6.3,29,105,1350,Bangalore,3
30-04-2021 20:16,1,82,6.3,29,105,1350,Bangalore,3
30-04-2021 20:17,1,69,4.2,29,105,1350,Bangalore,3
30-04-2021 20:18,1,80,6.3,29,105,1350,Bangalore,3
30-04-2021 20:19,1,82,6.3,29,105,1350,Bangalore,3
30-04-2021 20:20,1,80,6.3,29,105,1350,Bangalore,3
30-04-2021 20:21,1,80,6.3,29,105,1350,Bangalore,3
30-04-2021 20:22,1,81,6.3,29,105,1350,Bangalore,3
30-04-2021 20:23,1,75,6.3,29,105,1350,Bangalore,3
30-04-2021 20:24,1,84,6.3,29,105,1350,Bangalore,3
30-04-2021 20:25,1,75,6.3,29,105,1350,Bangalore,3
30-04-2021 20:26,1,74,6.3,29,105,1350,Bangalore,3
