query = #rcbvsrr
event = After 12 overs
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-22  20:41,1385249855635746821,Raghavudu,"Thanks ra Dubba  #Shivamdube 
#RCBvsRR https://t.co/gCgbx6MViR",2021-04-22 15:11:16,India,0,0.2,0.2
2021-04-22  20:41,1385249855530967041,mihir_sd215,@Dhruv31845316 @academy_dinda Academy members waiting for RR team management... #bringbackprofessor  #RCBvsRR https://t.co/rHmQZ8RCYg,2021-04-22 15:11:16,,0,0.0,0.0
2021-04-22  20:41,1385249841798815753,KarthickS_31,"RT @SHAK_VIRAT518: 200th match love to all #RCB Fans from @imVkohli 💖🤩💫🥰👑
#ViratKohli #RCBvsRR #Kingkohli https://t.co/IxyxdDqVrq",2021-04-22 15:11:13,"Mahabalipuram, Tamil Nadu",3,0.5,0.6
2021-04-22  20:41,1385249835591241735,dhadhkan13,Only RCB fan from tarak Mehta -Roshan bhabhi #RCBvsRR #RRvRCB #IPL2021live https://t.co/XuRbaUrKPV,2021-04-22 15:11:12,"Mumbai, India",0,0.0,1.0
2021-04-22  20:41,1385249833171099650,GulfNewsSport,"Royals looking healthier at 104/4 after 13...Kohli dives full length for Parag drive but fails to get it.
#RCBvsRR… https://t.co/YYaE3O8n3S",2021-04-22 15:11:11,United Arab Emirates,0,-0.07500000000000001,0.42500000000000004
2021-04-22  20:41,1385249828339286017,Puneeth005,"What an effort VIRAT 🔥🔥
@imVkohli 
#ನಮ್ಮRCB #RCBvsRR",2021-04-22 15:11:10,,0,0.0,0.0
2021-04-22  20:41,1385249825378029569,Lsk_RadheShyam,RT @rohithcool5: When you see Shivam Dube smashing but it's against you. #RCBvsRR https://t.co/CmMgGPX7UF,2021-04-22 15:11:09,Ma Ure,2,0.0,0.0
2021-04-22  20:41,1385249822286905350,Ashutosh15j,"Wicket jldi se gir ja 
#RCBvsRR
#PlayBold 
#ipl",2021-04-22 15:11:08,"Bihar, India",0,0.0,0.0
2021-04-22  20:41,1385249814976241665,_Kushagra_G,"Shivam Dube be like~ 😂😂
#RCBvsRR #Shivamdube #Rr #RCB https://t.co/EtgQGKNXhq",2021-04-22 15:11:07,"Lucknow, India",0,0.0,0.0
2021-04-22  20:41,1385249814074433546,iampokerfaced,"Dube dube dube 😂😂
@Swannyg66 
@scottbstyris 
@BrianLara 
#selectdugout 
#RCBvsRR 
#IPL2021",2021-04-22 15:11:07,Kathmandu,0,0.0,0.0
2021-04-22  20:41,1385249805333516289,Manojku71600732,"RT @KeepWatchingYT: 8 runs in 6 balls | Dhoni worst batting
Video Link:👇😲👇
https://t.co/4JMtJiWuOD. ---

#CovidIndia #Doctor #SachinTendulk…",2021-04-22 15:11:04,,3,-1.0,1.0
2021-04-22  20:41,1385249802758148098,Pavan60159281,"RT @KeepWatchingYT: 8 runs in 6 balls | Dhoni worst batting
Video Link:👇😲👇
https://t.co/4JMtJiWuOD. ---

#CovidIndia #Doctor #SachinTendulk…",2021-04-22 15:11:04,,3,-1.0,1.0
2021-04-22  20:41,1385249801214644228,TrollerBabua,"#RCBvsRR #RRvRCB
*After Shivam Dubey's batting*
When you realise you have to face another ex RCB player Chris Morris https://t.co/Rvfj4Kujyp",2021-04-22 15:11:03,Mars planet,0,0.0,0.0
2021-04-22  20:41,1385249796412301316,IbadanLamba,Every student have a particular subject they like.Mine mathematics 🙄 #QandA #EarthDay #EarthDay2021 #realme85G… https://t.co/evuzb5o2II,2021-04-22 15:11:02,Dallas Texas,0,0.0,0.3333333333333333
2021-04-22  20:41,1385249795497857029,AmanRai28,"When you are winning both tosses and matches, but still can't believe it.

#RCBvsRR https://t.co/xIFek2oUli",2021-04-22 15:11:02,India,0,0.5,0.75
2021-04-22  20:41,1385249794923270147,iamesh10,"At starting
The fall of wickets are as fast as bolt

But now it is raining 4s in mumbai

Really wonderfull come bac… https://t.co/OzEWdZtRF9",2021-04-22 15:11:02,"Hyderabad, India",0,0.13333333333333333,0.3
2021-04-22  20:41,1385249791613956098,SamCurranFC07,"#RCBvsRR #ನಮ್ಮRCB
#Rcb fans Watching Shivam Dube Battting https://t.co/ZC3yuwJU3Y",2021-04-22 15:11:01,Asgard,0,0.0,0.0
2021-04-22  20:41,1385249788715618304,ramunjash,Contrasting grounds Chepauk and Wankhede...In Chepauk post the first 10 overs...Runs are quite hard to come by...Wa… https://t.co/biJSmsgdiZ,2021-04-22 15:11:00,,0,-0.020833333333333343,0.4375
2021-04-22  20:41,1385249786429800451,raj143ver,"@ViCustomerCare 5 runs 
#Fanofthematch #IPL2021 #RCBVsRR",2021-04-22 15:11:00,India,0,0.0,0.0
2021-04-22  20:41,1385249786400362506,mukhedkar_17,"RT @mukhedkar_17: Challengers will be Royally Challenged!!
#HallaBol #RoyalsFamily #ipl #ipl2021 #RCB #RR #RCBvsRR #impossibleisnothing",2021-04-22 15:11:00,"Pune, India",1,0.0,0.0
2021-04-22  20:41,1385249785624424452,Gokuljanardhan4,"RT @PaiSmoke: 3️⃣6️⃣0️⃣° shots from AB DEVILLIERS!!! MR.360 

#RCBvsRR #RRvsRCB #RCB #PlayBold #RRvRCB #RCBvRR #VIVOIPL https://t.co/QJEFdO…",2021-04-22 15:11:00,"Bengaluru, India",235,0.0,0.0
2021-04-22  20:41,1385249772932456454,SRK_VK_18,"RT @AbdeFansTrends: 26 Runs Away from 5️⃣0️⃣0️⃣0️⃣ IPL Runs Abdevilliers ❤️

#RCBvsRR https://t.co/AUYLat9ROE",2021-04-22 15:10:57,"Gujarat, India",40,0.0,0.0
2021-04-22  20:41,1385249763822497795,Pratibha0005,"@ViCustomerCare 5 runs 
#Fanofthematch #IPL2021 #RCBVsRR",2021-04-22 15:10:55,"Jaipur, India",0,0.0,0.0
2021-04-22  20:41,1385249762668998656,AmritaP71033808,#धन्यवाद_मोदीजी #Metooindia #CancelExamsSaveStudents #RCBvsRR #CovidIndia #cancel12thboardexams2021… https://t.co/vM3uuxzWTs,2021-04-22 15:10:54,,0,0.0,0.0
