query = #rcbvsrr
event = After 1st strategic timeout
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-22  20:19,1385244420870598656,outside_waist,I have great 6th sense 🤣 #RCBvsRR https://t.co/aHQdbT44Fs,2021-04-22 14:49:41,on helicopter,0,0.8,0.75
2021-04-22  20:19,1385244414755307525,writewiinger,What happened to Chahal's googlies? Why is he relying so heavily on his leg spinner? Amit Mishra showed the other d… https://t.co/S5ZFJva0vI,2021-04-22 14:49:39,Bihar  - Bengaluru - Jharkhand,0,-0.1625,0.4375
2021-04-22  20:19,1385244409474600966,imSrv_18,"At one point, Siraj was considered as a baggage in RCB, lacked confidence &amp; consistency.
But inspite of all odds, o… https://t.co/0U7wKU0qHK",2021-04-22 14:49:38, India,0,0.0,0.0
2021-04-22  20:19,1385244404735037441,Saurabhhh_,"Batsman barely touches the ball &amp; ABD starts shouting ""catch it."" Chill baby, they can't catch everything😂❤

#RCBvsRR
#RRvsRCB",2021-04-22 14:49:37,ahmedabad,0,0.05,0.1
2021-04-22  20:19,1385244394681368581,Elii____18,"""I'm not used to winning tosses""👌
I love to win fans Heart❤
  @imVkohli 

#RCBvsRR",2021-04-22 14:49:34,in Love with the shape of V❤,0,0.6,0.5833333333333334
2021-04-22  20:19,1385244378461917190,imranvk0018,"RT @WisdenIndia: Winning the toss
Calling for an excellent review

This game has started better than usual for Virat Kohli 😬

#RCBvsRR #IPL…",2021-04-22 14:49:31,"Mandia, Assam, India",12,0.27,0.58
2021-04-22  20:19,1385244370459234304,bhalke_nitesh,"RT @meme_ki_diwani: #RCBvsRR
Watching Siraj's performance in #IPL2021 https://t.co/HqfIW0heNl",2021-04-22 14:49:29,,5,0.0,0.0
2021-04-22  20:19,1385244368110428167,sarcastic_jatin,"#RCBvsRR 
:
Shivam Dubey - https://t.co/jEqj32TfBf",2021-04-22 14:49:28,,0,0.0,0.0
2021-04-22  20:19,1385244367078653952,TheCrickTweets,"Virat watching Shivam Dube hitting sixes. Best Moment of the Match.

Note : Shivam Dube was part of RCB last year.… https://t.co/leex2aYmZ6",2021-04-22 14:49:28,"Bilaspur, India",0,0.5,0.18333333333333332
2021-04-22  20:19,1385244366151720965,Amuthan45795928,RT @TharukaMahima: #RCBvsRR   Who will WIN ?,2021-04-22 14:49:28,Tuticorin.vasavappapuram,1,0.8,0.4
2021-04-22  20:19,1385244365228965889,Sk_twitzz,"Dube playing baseball 😂

#IPL2021 
#RCBvsRR",2021-04-22 14:49:27,,0,0.0,0.0
2021-04-22  20:19,1385244364247498757,IAmRealAbhay,"#RCB is going to win another match

 😌😌🔥

#RCBvsRR",2021-04-22 14:49:27,"New Delhi, India",0,0.8,0.4
2021-04-22  20:19,1385244358354509824,Chaanakiyan,"RT @MSajidcheena19: ""I'm not used to winning tosses"" 😅 @imVkohli 

#RCBvsRR #RCB #PlayBold #WeAreChallengers 

@IamMomina_19 https://t.co/j…",2021-04-22 14:49:26,"Bengaluru, India",1,0.5,0.75
2021-04-22  20:19,1385244349668073484,Prabhat420tweet,"Shivam Dube gonna tell why it was a mistake to let him go from RCB 
#RCBvsRR @RCBTweets",2021-04-22 14:49:24,Central Perk,0,0.0,0.0
2021-04-22  20:19,1385244336418299904,imashish1998,"RT @TanyaSi54133727: Most loved Overseas player in India ❤ 
@ABdeVilliers17 💕 #RCBvsRR https://t.co/fV5e14CiIN",2021-04-22 14:49:21,,13,0.6,0.65
2021-04-22  20:19,1385244333834530821,omya_2310,"Shivam dubey can you go back and sit in pavilion and watch the match 🥺🥺

#RCBvsRR",2021-04-22 14:49:20,,0,0.0,0.0
2021-04-22  20:19,1385244326117011457,JayeshS65588516,"What should be ideal position for sanju Samson in T20 and ODI ?
@cricketaakash @StarSportsIndia #askstar #RCBvsRR",2021-04-22 14:49:18,,0,0.9,1.0
2021-04-22  20:19,1385244315513856005,Gayathrimohan_,"RT @Nehathegreat1: @smannsocial RCB will win

#konkispebhaari.#IPL2021    #IPL #RCB #RR #RCBvsRR #PlayBold #WeAreChallengers #HallaBol #Roy…",2021-04-22 14:49:16,India,3,0.8,0.4
