query = #rr
event = after powerplay
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-22  20:06,1385241108876173315,chandruyuvanian,"RT @IPL: ""I'm not used to winning tosses"" 😅 @imVkohli 

#RCB have the toss and they will bowl first against #RR 

#VIVOIPL https://t.co/a0b…",2021-04-22 14:36:31,,964,0.375,0.5416666666666666
2021-04-22  20:06,1385241084792475651,UditVikram3,"Why is Manan Vohra getting so many chances? @rajasthanroyals
@KumarSanga2

#IPL2021 #RCB #RR",2021-04-22 14:36:25,"Mumbai, India",0,0.5,0.5
2021-04-22  20:06,1385241063640555525,Niranjan_cric,"RT @Cricketracker: What a start from Mohammed Siraj!

📸: IPL/BCCI

#RCBvsRR #RCB #RR #IPL #IPL2021 #CricTracker https://t.co/DRcHjSWSh2",2021-04-22 14:36:20,"Hyderabad, India",11,0.0,0.0
2021-04-22  20:06,1385241058506801154,vickythube6,"RT @IPL: ""I'm not used to winning tosses"" 😅 @imVkohli 

#RCB have the toss and they will bowl first against #RR 

#VIVOIPL https://t.co/a0b…",2021-04-22 14:36:19,,964,0.375,0.5416666666666666
2021-04-22  20:06,1385241050374045696,NadhirShaik1,"RT @IPL: #RR lose three wickets in the powerplay with 32 runs on the board.

Live - https://t.co/dch5R4juzp #RCBvRR #VIVOIPL https://t.co/B…",2021-04-22 14:36:17,,14,0.13636363636363635,0.5
2021-04-22  20:06,1385241050147479553,CricketNagaram,"While facing 33 balls against Chahal in the IPL, Samson has managed to score only 30 runs at a strike rate of about… https://t.co/5BzkrViaKy",2021-04-22 14:36:17,,0,0.0,1.0
2021-04-22  20:06,1385241049178669062,timesofindia,"RT @toisports: #IPL2021 #RCBvRR | Match 16

End of Powerplay | #RR 32/3 

Here's how @rajasthanroyals got their runs in the first six overs…",2021-04-22 14:36:17,New Delhi,1,0.25,0.3333333333333333
2021-04-22  20:06,1385241041419182086,timesofindia,"RT @toisports: #IPL2021 #RCBvRR | Match 16

OUT! Second wicket for Mohammed Siraj. This time he removes David Miller for a duck with the he…",2021-04-22 14:36:15,New Delhi,1,0.0,0.0
2021-04-22  20:06,1385241039305203714,Real_Rks1,"RT @IPL: #RR lose three wickets in the powerplay with 32 runs on the board.

Live - https://t.co/dch5R4juzp #RCBvRR #VIVOIPL https://t.co/B…",2021-04-22 14:36:14,"वड़ोदरा, Gujarat ",14,0.13636363636363635,0.5
2021-04-22  20:06,1385241027431178243,AsaiPrabha1,"RT @IPL: ""I'm not used to winning tosses"" 😅 @imVkohli 

#RCB have the toss and they will bowl first against #RR 

#VIVOIPL https://t.co/a0b…",2021-04-22 14:36:12,"Eluru, India",964,0.375,0.5416666666666666
2021-04-22  20:06,1385241016010088450,Royshyam2389,"RT @IPL: #RR lose three wickets in the powerplay with 32 runs on the board.

Live - https://t.co/dch5R4juzp #RCBvRR #VIVOIPL https://t.co/B…",2021-04-22 14:36:09,,14,0.13636363636363635,0.5
2021-04-22  20:06,1385240998486233092,EUPHORIA3333,"RT @IPL: ""I'm not used to winning tosses"" 😅 @imVkohli 

#RCB have the toss and they will bowl first against #RR 

#VIVOIPL https://t.co/a0b…",2021-04-22 14:36:05,"London, England",964,0.375,0.5416666666666666
2021-04-22  20:06,1385240993243406336,singhharsh000,"RT @IPL: #RR lose three wickets in the powerplay with 32 runs on the board.

Live - https://t.co/dch5R4juzp #RCBvRR #VIVOIPL https://t.co/B…",2021-04-22 14:36:03,,14,0.13636363636363635,0.5
2021-04-22  20:06,1385240984229871617,toisports,"#IPL2021 #RCBvRR | Match 16

End of Powerplay | #RR 32/3 

Here's how @rajasthanroyals got their runs in the first… https://t.co/mTU5wGNp2N",2021-04-22 14:36:01,"New Delhi, India",1,0.0,0.0
2021-04-22  20:06,1385240982287912968,crictalkmahi,Losing wickets in powerplay  looks biggest headache for #RR . I think now they'll have to try another options for n… https://t.co/xy9sTdDt2B,2021-04-22 14:36:01,,0,0.0,0.0
2021-04-22  20:06,1385240976864673796,GokulVK18_SFC,"RT @IPL: #RR lose three wickets in the powerplay with 32 runs on the board.

Live - https://t.co/dch5R4juzp #RCBvRR #VIVOIPL https://t.co/B…",2021-04-22 14:36:00,மாங்கனி நகரம் கிருஷ்ணகிரி 🥭,14,0.13636363636363635,0.5
2021-04-22  20:06,1385240975459512320,urstrulyNayan,"RT @IPL: #RR lose three wickets in the powerplay with 32 runs on the board.

Live - https://t.co/dch5R4juzp #RCBvRR #VIVOIPL https://t.co/B…",2021-04-22 14:35:59, India,14,0.13636363636363635,0.5
2021-04-22  20:06,1385240972213297157,lynkarisdsouza,"RT @IPL: #RR lose three wickets in the powerplay with 32 runs on the board.

Live - https://t.co/dch5R4juzp #RCBvRR #VIVOIPL https://t.co/B…",2021-04-22 14:35:58,"Dubai, United Arab Emirates",14,0.13636363636363635,0.5
2021-04-22  20:06,1385240962230751233,sakshamwahi2,"RT @IPL: #RR lose three wickets in the powerplay with 32 runs on the board.

Live - https://t.co/dch5R4juzp #RCBvRR #VIVOIPL https://t.co/B…",2021-04-22 14:35:56,,14,0.13636363636363635,0.5
2021-04-22  20:06,1385240957394710529,abdevilliers181,"What you called 
Kohli review system
          Or 
Virat review system
#rcb #RR #RCBvsRR  #suraj https://t.co/lw5DnOaQwz",2021-04-22 14:35:55,"Mumbai, India",0,0.0,0.0
2021-04-22  20:06,1385240956039929858,Rahuldayanand05,"RT @IPL: ""I'm not used to winning tosses"" 😅 @imVkohli 

#RCB have the toss and they will bowl first against #RR 

#VIVOIPL https://t.co/a0b…",2021-04-22 14:35:55,,964,0.375,0.5416666666666666
2021-04-22  20:06,1385240938784624642,OnionDosai,"Dei #RR, I had high hopes for you guys to deliver today in Wankhede pitch.. Why you playing so terribly? Hoping… https://t.co/mL219zGDDg",2021-04-22 14:35:50,United States,0,-0.42,0.77
2021-04-22  20:06,1385240907331477514,VarunYa31622027,"RT @IPL: ""I'm not used to winning tosses"" 😅 @imVkohli 

#RCB have the toss and they will bowl first against #RR 

#VIVOIPL https://t.co/a0b…",2021-04-22 14:35:43,,964,0.375,0.5416666666666666
2021-04-22  20:06,1385240898443747335,buntysardwal,I lot 10 matches in a raw in #Dream11 #app ;( &amp; #RR doing the same thing #rrvsrcb #ipl2021,2021-04-22 14:35:41,"Delhi, Uttarakhand",0,-0.11538461538461539,0.2932692307692308
2021-04-22  20:06,1385240889698648064,DhfmSsmb,"RT @Cricketracker: Royal Challengers Bangalore becomes the second IPL team to play 200 matches after Mumbai Indians.

📸: IPL/BCCI

#RCBvsRR…",2021-04-22 14:35:39,,26,0.0,0.0
2021-04-22  20:06,1385240873672142854,Sriraam88692000,"RT @IPL: ""I'm not used to winning tosses"" 😅 @imVkohli 

#RCB have the toss and they will bowl first against #RR 

#VIVOIPL https://t.co/a0b…",2021-04-22 14:35:35,"Coimbatore, India",964,0.375,0.5416666666666666
2021-04-22  20:06,1385240862561488903,DhfmSsmb,"RT @Cricketracker: Me after passing exams with one-day preparation before exam🤣

📸: Disney+Hotstar VIP

#RCBvsRR #RCB #RR #IPL #IPL2021 #Vi…",2021-04-22 14:35:32,,22,0.0,0.0
2021-04-22  20:06,1385240858853740549,IExpressSports,"#IPL2021 #RCBvRR

After being sent to bat first, Rajasthan lose three wickets inside the powerplay. Sanju Samson an… https://t.co/EDaXz5o9k4",2021-04-22 14:35:31,New Delhi,0,0.25,0.3333333333333333
2021-04-22  20:06,1385240857528311814,SasidharGKRM,Common #RR you have to win brothers🙏,2021-04-22 14:35:31,Ongole/Bangalore,0,0.25,0.45
2021-04-22  20:06,1385240835998945288,NANIbujigadiDHF,"Samson unnad inka just wait👍
#RR #RCBvsRR #ipl2021 https://t.co/yz7tuXKvOp https://t.co/JmiSvtU4UQ",2021-04-22 14:35:26,India,0,0.0,0.0
2021-04-22  20:06,1385240830802153473,im__prakash,"RT @IPL: #RR lose three wickets in the powerplay with 32 runs on the board.

Live - https://t.co/dch5R4juzp #RCBvRR #VIVOIPL https://t.co/B…",2021-04-22 14:35:25,"Mumbai, India",14,0.13636363636363635,0.5
