query = #rcbvsrr
event = after 1st innings
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-22  21:32,1385262720732188673,KarthickS_31,"RT @TrendRCB: First Bowler To Bowl 50 Dot Balls in IPL 2021 !!

Phenomenal Bowling From Myan🥶

#RCBvsRR #Playbold https://t.co/Ql1eRFSXcK",2021-04-22 16:02:24,"Mahabalipuram, Tamil Nadu",4,0.4453125,0.41666666666666663
2021-04-22  21:32,1385262718404284424,darlamb08,RT @ForStudents17: THE GOVERNMENT MUST #cancel12thboardexams2021.Please everyone support students.#RCBvsRR #CovidIndia #COVIDEmergency2021…,2021-04-22 16:02:23,,5,0.0,0.0
2021-04-22  21:32,1385262715678052357,Qwerty89566753,"RT @Qwerty89566753: Sources are Saying 

Shreyas Gopal will Bowl 

19th over 

17th over

15 th over

9 th over 

You know y 

#RCBvsRR #RR…",2021-04-22 16:02:23,Home,3,0.0,0.0
2021-04-22  21:32,1385262711907311616,vamsiprince20,"RT @WisdenIndia: Winning the toss
Calling for an excellent review

This game has started better than usual for Virat Kohli 😬

#RCBvsRR #IPL…",2021-04-22 16:02:22,,44,0.27,0.58
2021-04-22  21:32,1385262711693451268,MohitRohitian2,"RT @SiViMaAn: Me after realizing, Rcb will win today and will top the Points Table again:
🙂😓
#RcbvsRr #Rcb https://t.co/v3eAGLtR9O",2021-04-22 16:02:22,,3,0.65,0.45
2021-04-22  21:32,1385262710376386560,ahmeds0271,"#HarshalPatel n #MohammedSiraj share honors,

even #KylieJamieson was economical😌 

if the powerplay goes well, a v… https://t.co/EDGmTlcw0T",2021-04-22 16:02:21,United States,0,0.0,0.0
2021-04-22  21:32,1385262707801157636,nurlin_norbert,"RT @Sivabalan012: RR 177 runs....

Rcb now....

#RCBvsRR https://t.co/jjf0zOlDKx",2021-04-22 16:02:21,கோவில் நகரம் கும்பகோணம்,1,0.0,0.0
2021-04-22  21:32,1385262704613629957,anil_arya4,"RT @TrendRCB: First Bowler To Bowl 50 Dot Balls in IPL 2021 !!

Phenomenal Bowling From Myan🥶

#RCBvsRR #Playbold https://t.co/Ql1eRFSXcK",2021-04-22 16:02:20,"Bengaluru, India",4,0.4453125,0.41666666666666663
2021-04-22  21:32,1385262700276584452,CRICKET_17_,Siraj have 53 Dot balls now 🔥 #RCB #RCBvsRR #RCBvRR @RCBTweets,2021-04-22 16:02:19,"Bengaluru, India",0,0.0,0.0
2021-04-22  21:32,1385262696535191556,Lcj5665,"@ViCustomerCare Match 16⬅️⬅️
Ans-20) Harshal patel

#FanOfTheMatch #RCBvsRR  #IPL2021 @ViCustomerCare",2021-04-22 16:02:18,,0,0.0,0.0
2021-04-22  21:32,1385262694249373697,Haswanth22,"Kohli should think about  tewatia  ahead of Sundar due to his hitting ability and bowling ,Sundar much below in hit… https://t.co/iVpxQ8TWUe",2021-04-22 16:02:17,Guntur,0,0.037500000000000006,0.2875
2021-04-22  21:32,1385262682874343425,viratkohliFab,"RT @viratkohliFab: Tewatia Gets A Four Mistakenly, 
He Didn't Even Knew Where The Ball Has Gone.

Commentator :- Wah!! kya slice kiya hai,…",2021-04-22 16:02:15,,4,0.0,0.0
2021-04-22  21:32,1385262679154036738,MORDHWAJ99,"@TheTweetOfGod Then please be with @rajasthanroyals  too 🥺
#RCBvsRR",2021-04-22 16:02:14,"Barmer, Rajasthan",0,0.0,0.0
2021-04-22  21:32,1385262677463687171,Yash_150,"RT @Kannada_BO: #RCBvsRR tonight at 7.30pm. 

Retweet if you think, one batsman from #RCB will score century💖

It is a Mumbai pitch, which…",2021-04-22 16:02:13,,93,0.0,0.0
2021-04-22  21:32,1385262668676624384,itz_anas1,"RT @Cricketracker: 4️⃣ overs
1️⃣6️⃣ dot balls
3️⃣ wickets
6️⃣.7️⃣5️⃣ economy
Excellent spell by Mohammed Siraj

📸: IPL/BCCI

#RCBvsRR #RCB…",2021-04-22 16:02:11,Virudhunagar,6,1.0,1.0
2021-04-22  21:32,1385262667623845891,hippie_Gall,@mdsirajofficial Your Dad would be super proud of you Miyan 🥺🥺🥺 Hope you get more success and make him and us all p… https://t.co/qSts3zvfm4,2021-04-22 16:02:11,ⁱⁿ ᵗʰᵉ ʰⁱᵖᵖⁱᵉ ˡᵃⁿᵈ,0,0.48333333333333334,0.5416666666666666
2021-04-22  21:32,1385262667061886977,cric_rakesh,"RT @FabHotels: Grateful for #IPL to take our mind off things!

#ContestAlert : Tell us who will win tonight?
- Comment Below
- Tag five fri…",2021-04-22 16:02:11,bangalore,52,0.8,0.4
2021-04-22  21:32,1385262661307289600,saran_sk17,RT @Vinay_Kumar_R: RCB’s bowling plan looks spot on @RCBTweets #RCBvsRR #IPL2021,2021-04-22 16:02:10,"Namakkal, India",73,0.0,0.0
2021-04-22  21:32,1385262658836860932,Kishore57561095,"RT @Itxjunu18: Last time RR met an alien - AB De Villiers  
#RCBvsRR

https://t.co/1OFimZiRCi",2021-04-22 16:02:09,,732,-0.125,0.4083333333333333
2021-04-22  21:32,1385262655925932038,vamsiprince20,RT @Vinay_Kumar_R: RCB’s bowling plan looks spot on @RCBTweets #RCBvsRR #IPL2021,2021-04-22 16:02:08,,73,0.0,0.0
2021-04-22  21:32,1385262645712850944,PKJillu,"RT @Cricketracker: 4️⃣ overs
1️⃣6️⃣ dot balls
3️⃣ wickets
6️⃣.7️⃣5️⃣ economy
Excellent spell by Mohammed Siraj

📸: IPL/BCCI

#RCBvsRR #RCB…",2021-04-22 16:02:06,"Dharmapuri, India",6,1.0,1.0
2021-04-22  21:32,1385262640545554435,OneCricketApp,"WHAT A SHOW #ShivamDube &amp; #RahulTewatia 😎👏🏏

END OF FIRST INNINGS 🔥

#RR  177/9

#IPL2021 #IPL #RCB #RR #RCBvsRR… https://t.co/oEYJMRJ1qK",2021-04-22 16:02:05,India,0,0.25,0.3333333333333333
2021-04-22  21:32,1385262631162847234,vvsaaho,"RT @TrendRCB: First Bowler To Bowl 50 Dot Balls in IPL 2021 !!

Phenomenal Bowling From Myan🥶

#RCBvsRR #Playbold https://t.co/Ql1eRFSXcK",2021-04-22 16:02:02,,4,0.4453125,0.41666666666666663
2021-04-22  21:32,1385262627283034118,Rishiicasm,"RT @Choudhurybabu01: #RCBvsRR 
Shivam Dube to Rcb team : https://t.co/1OgeLtgbI0",2021-04-22 16:02:01,"बिहार, भारत",23,0.0,0.0
2021-04-22  21:32,1385262620584734723,DineshwariJang1,"RT @GumanSinghSahu1: #GonduBebbuliNTRHits50M
#RCBvsRR
Amazing Spritual Knowledge
👇👇👇
https://t.co/7Vv0cLybL7",2021-04-22 16:02:00,Bhilai ,4,0.6000000000000001,0.9
2021-04-22  21:32,1385262617229283333,manishnajkani1,"RT @manishnajkani1: @ViCustomerCare ▪︎16th Match #Q10 #Vi
[A.10] Harshal Patel
#FanOfTheMatch  #RCBvsRR  #IPL2021
@ViCustomerCare",2021-04-22 16:01:59,"Vadodara City, Gujarat, India",1,0.0,0.0
2021-04-22  21:32,1385262616247869440,dhanushragul123,"RT @WisdenIndia: Winning the toss
Calling for an excellent review

This game has started better than usual for Virat Kohli 😬

#RCBvsRR #IPL…",2021-04-22 16:01:59,@imvkohli ❤️👑,44,0.27,0.58
2021-04-22  21:32,1385262609448976384,fanziecricket,"Good bowling by #RCB bowlers as they will be chasing 178 against #RR in #Mumbai 

#RCB has gone with extra bowler &amp;… https://t.co/4CAG4W2FjV",2021-04-22 16:01:57,India,0,0.35,0.35000000000000003
2021-04-22  21:32,1385262608953974785,RazzakShaik5,RT @AlexHartley93: Game day baby!!! @RCBTweets ❤️ #IPL2021 #RCBvsRR https://t.co/z9eJuMRJiq,2021-04-22 16:01:57,"Vishakhapatnam, India",624,-0.78125,0.4
2021-04-22  21:32,1385262603123912704,patelshradha50,RT @Vinay_Kumar_R: RCB’s bowling plan looks spot on @RCBTweets #RCBvsRR #IPL2021,2021-04-22 16:01:56,Dreamland,73,0.0,0.0
2021-04-22  21:32,1385262597503553542,thalafanson,"RT @TrendRCB: First Bowler To Bowl 50 Dot Balls in IPL 2021 !!

Phenomenal Bowling From Myan🥶

#RCBvsRR #Playbold https://t.co/Ql1eRFSXcK",2021-04-22 16:01:54,,4,0.4453125,0.41666666666666663
2021-04-22  21:32,1385262597209944080,1996Goutham,"RT @sri50: Today #RR with just one win so far, has to get their act together as they face #RCB who have won all their games so far! 
#RCB w…",2021-04-22 16:01:54,"Bengaluru South, India",6,0.3416666666666666,0.7999999999999999
2021-04-22  21:32,1385262595666448391,ABD_Admirer17,"RT @Anjali_vk_18: RR 177/9 (20)
Siraj 😍🔥🔥
Jami 😍🔥✌️
Sundar 🔥😍❤️
#RCBvsRR
Special captaincy by Kohli ❤️❤️😍 https://t.co/mHoNpWMacY",2021-04-22 16:01:54,Ghar mei,5,0.35714285714285715,0.5714285714285714
2021-04-22  21:32,1385262583033131012,RivaUrmi,"RT @Rubinadilaik_14: Today's match #RCBvsRR is one sided &amp; #RCB gonna win fourth match in row. 

RUBINA HITS 2M IG POSTS",2021-04-22 16:01:51,,19,0.4,0.2
2021-04-22  21:32,1385262580378136578,Venkate49271836,RT @Vinay_Kumar_R: RCB’s bowling plan looks spot on @RCBTweets #RCBvsRR #IPL2021,2021-04-22 16:01:50,,73,0.0,0.0
2021-04-22  21:32,1385262577731575809,manishnajkani1,"@ViCustomerCare ▪︎16th Match #Q10 #Vi
[A.10] Harshal Patel
#FanOfTheMatch  #RCBvsRR  #IPL2021
@ViCustomerCare",2021-04-22 16:01:50,"Vadodara City, Gujarat, India",1,0.0,0.0
2021-04-22  21:32,1385262577140211714,Satheeshmenati7,"RT @Kohlityforlife: RCB has the best Fanbase in the world 🌎

Agree or argue with wall
#RCBvsRR #RCB https://t.co/kif1Dscivk",2021-04-22 16:01:49,Nellore,3,1.0,0.3
2021-04-22  21:32,1385262563366039556,TrendRCB,"First Bowler To Bowl 50 Dot Balls in IPL 2021 !!

Phenomenal Bowling From Myan🥶

#RCBvsRR #Playbold https://t.co/Ql1eRFSXcK",2021-04-22 16:01:46,RCB ,4,0.4453125,0.41666666666666663
2021-04-22  21:32,1385262562858749959,KAPILPAWAR01,"RT @KAPILPAWAR01: #CovidIndia
#RCBvsRR
#GonduBebbuliNTRHits50M
#AskLetsOTT
#siraj
#SachinBirthdayCDP

Social Massage SONG
Pls. Support &amp; Sh…",2021-04-22 16:01:46,"Gujarat , INDIA ",5,0.03333333333333333,0.06666666666666667
