query = #rcbvsrr
event = rcb After 4 overs
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-22  21:54,1385268273948680195,Gautham_67,"Watching #RCBvsRR in @StarSportsIndia English commentary, just awesome they speak pure cricket. But this… https://t.co/E5hJDZ8fxN",2021-04-22 16:24:28,"Perambur Purasavakam, India",0,0.4047619047619047,0.5
2021-04-22  21:54,1385268271612456963,Sarang_A18,@KasturiChakrav6 Okay mummy... #RCBvsRR #RCB,2021-04-22 16:24:27,India,0,0.5,0.5
2021-04-22  21:54,1385268270320603142,JaslyFanForeve2,"RT @Boss85342324: Come on RCB 🔥🔥
We will win 😍😍

#RCBvsRR #RCB",2021-04-22 16:24:27,,4,0.8,0.4
2021-04-22  21:54,1385268267057483780,Thalapa07273734,"RT @Cricketracker: 4️⃣ overs
1️⃣6️⃣ dot balls
3️⃣ wickets
6️⃣.7️⃣5️⃣ economy
Excellent spell by Mohammed Siraj

📸: IPL/BCCI

#RCBvsRR #RCB…",2021-04-22 16:24:26,"Coimbatore, India",14,1.0,1.0
2021-04-22  21:54,1385268261659439112,betbarter123,"That's down the ground four! You cannot bowl Virat on that line! 

RCB - 39/0 in 4.0 overs 

#RRvsRCB #RCBvsRR",2021-04-22 16:24:25,mumbai,0,-0.24305555555555558,0.2888888888888889
2021-04-22  21:54,1385268256240402440,arun_deo,"@ViCustomerCare Ans11)  5 Wickets
#FanOfTheMatch #IPL2021 #RCBvsRR #Vi
🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺",2021-04-22 16:24:23,,0,0.0,0.0
2021-04-22  21:54,1385268253413367810,praptilamsal,"RT @Boss85342324: Come on RCB 🔥🔥
We will win 😍😍

#RCBvsRR #RCB",2021-04-22 16:24:23,India,4,0.8,0.4
2021-04-22  21:54,1385268239320510467,Dinesh_dear3517,RT @AlexHartley93: Game day baby!!! @RCBTweets ❤️ #IPL2021 #RCBvsRR https://t.co/z9eJuMRJiq,2021-04-22 16:24:19,"Bengaluru, India",642,-0.78125,0.4
2021-04-22  21:54,1385268238112620544,BugMystical,"Last tym we saw yuvraj in hin
This tym it's more of hayden
#RCBvsRR #ipl2021 #devduttpadikkal",2021-04-22 16:24:19,Mumbai,0,0.25,0.2833333333333333
2021-04-22  21:54,1385268230814638080,cric_women,#RCB Ians getting slipper shot everywhere #RCBvRR #RCBvsRR #RRvsRCB #RRvRCB https://t.co/Cr8KgmjPLO,2021-04-22 16:24:17,"Mumbai, India",0,0.0,0.0
2021-04-22  21:54,1385268220177698819,ABDVK17,#RR bowling the lines what RCB has bowled in their Middle overs #RCBvsRR #IPL2021,2021-04-22 16:24:15,India,0,0.0,0.0
2021-04-22  21:54,1385268216600006657,arun_deo,"@ViCustomerCare Ans11)  5 Wickets
#FanOfTheMatch #IPL2021 #RCBvsRR #Vi
💙💙💙💙💙💙💙💙💙💙💙",2021-04-22 16:24:14,,0,0.0,0.0
2021-04-22  21:54,1385268204386230272,itScintillates,"A brilliant over for #RCB

 #RCBvsRR",2021-04-22 16:24:11,,0,0.9,1.0
2021-04-22  21:54,1385268173964906497,nelesh89,"#RCBvsRR deep squre, extra mid wicket
#RRvRCB 
#ipl2021",2021-04-22 16:24:04,india,0,0.0,0.16666666666666666
2021-04-22  21:54,1385268166469644295,Boss85342324,"RT @Boss85342324: Come on RCB 🔥🔥
We will win 😍😍

#RCBvsRR #RCB",2021-04-22 16:24:02,,4,0.8,0.4
2021-04-22  21:54,1385268166431961090,Shaljin6,"RT @Justin_Vk18: Mohammed Siraj becomes the first bowler to bowl 50 dot balls in this IPL 🔥

Improvements and Transformation Level miyam🙌 G…",2021-04-22 16:24:02,Kanyakumari,2,0.25,0.3333333333333333
2021-04-22  21:54,1385268154226528258,ballazosport,"Excellent start to the chase by #RCB 👏

#RCBvsRR #RR",2021-04-22 16:23:59,,0,1.0,1.0
2021-04-22  21:54,1385268149541425152,Arvind50300454,"RT @Itxjunu18: Last time RR met an alien - AB De Villiers  
#RCBvsRR

https://t.co/1OFimZiRCi",2021-04-22 16:23:58,,747,-0.125,0.4083333333333333
2021-04-22  21:54,1385268142868291585,deveshpawar29,"RT @SiViMaAn: Me after realizing, Rcb will win today and will top the Points Table again:
🙂😓
#RcbvsRr #Rcb https://t.co/v3eAGLtR9O",2021-04-22 16:23:56,,5,0.65,0.45
