query = #rcbvscsk
event = After 1st wicket
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-25  16:25,1386272658115809283,Ramanaan2,"RT @joker_errorss: Brothers game 💛💛💛 #RCBvsCSK 

#CSK #Dhoni https://t.co/Y0wtVpJO2Y",2021-04-25 10:55:32,sivakasi,6,-0.4,0.4
2021-04-25  16:25,1386272657667100680,AG__neal,@danchristian54 could be the game changer today i dont know..#RCBvsCSK,2021-04-25 10:55:31,,0,-0.4,0.4
2021-04-25  16:25,1386272655649689602,JElhance,Suresh Raina has now hit 200 sixes in the IPL.  #Cricket #IPL2021 #RCBvsCSK,2021-04-25 10:55:31,"Virginia, USA",0,0.0,0.0
2021-04-25  16:25,1386272636385169408,Sathish_deenan,"RT @msdian227: Something that has not changed 
MAHIRAT BOND 💛❤️
#RCBvsCSK
#CSK                             
Then…",2021-04-25 10:55:26,"George, South Africa",2,0.0,0.0
2021-04-25  16:25,1386272599945084934,durgansh431891,"Brilliant captaincy by virat to bring chahal 👏👏👏

#CSKvRCB #RCBvsCSK",2021-04-25 10:55:18,FARIDABAD,0,0.9,1.0
2021-04-25  16:25,1386272565694320640,WildRoja,"RT @Cric_beat: CSK never lost any IPL match on April 25

Won vs MI (2010)
Won vs PWI (2011)
Won vs SRH (2013)
Won vs MI (2014)
Won vs PBKS…",2021-04-25 10:55:10,,262,0.0,0.0
2021-04-25  16:25,1386272561160364035,SSbunnyforever,"Raina🤩

#CSK // #Rcb 

 #RCBvsCSK",2021-04-25 10:55:08,Naa dhari raha dhari,0,0.0,0.0
2021-04-25  16:25,1386272548451610629,Yorker_Gawd,"Just #Chahal things

#CSKvRCB #RCBvsCSK https://t.co/TzQpDSBjPO",2021-04-25 10:55:05,cricket stadium,0,0.0,0.0
2021-04-25  16:25,1386272536892121088,didyousayprerna,"RT @DevoteeOfDhoni: ""Who Will Win Tomorrow?🔥""

Retweet: #RCB
Like:        #CSK

Match: @ChennaiIPL vs @RCBTweets ⚡
Date:    25 April 2021
D…",2021-04-25 10:55:03,india,46,0.8,0.4
2021-04-25  16:25,1386272533444403204,Golden_cri_fan,4 batsman is enough really #RCBvsCSK,2021-04-25 10:55:02,,0,0.1,0.35
2021-04-25  16:25,1386272529736605702,saiyedshakeel1,"RT @mguindore: Match 19, Question 19!!!

Cmnt ur ans using #MGUIPLContest2021 &amp; #HarGharKiRasoiKiShaan

Follow 
@mguindore

Don't forget to…",2021-04-25 10:55:01,"Rajasthan, India",102,0.0,0.0
2021-04-25  16:25,1386272526888706049,Cric_beat,"Suresh Raina ~ 7th player to smash 200 6s in IPL

Most 6s in IPL

354 - Chris Gayle
240 - AB Devilliers
222 - Rohit… https://t.co/2EYKIMbGFd",2021-04-25 10:55:00,,0,0.5,0.5
2021-04-25  16:25,1386272526368575492,KollywoodStar_,"@ImRaina Sixx 👌💛🤗✌️

#CSKvRCB #WhistlePodu #Yellove 🦁💛 #CSKvsRCB #RCBvsCSK  #Yellove #CSK",2021-04-25 10:55:00,India,0,0.0,0.0
