query = #csk
event = when goood batting
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-25  16:32,1386274514896494595,BSharan1,"That just miss moment for Tata Safari!! 😁

#SureshRaina and his six! 🔥

#CSKvRCB #RCBvsCSK #IPL2021 #Yellove #CSK #WhistlePodu",2021-04-25 11:02:54,Chennai,0,0.0,0.0
2021-04-25  16:32,1386274505186705412,Rainaist,"And that's 201st six by @ImRaina
#CSKvRCB #Yellove #WhistlePodu #CSK",2021-04-25 11:02:52,,0,0.0,0.0
2021-04-25  16:32,1386274502099619844,Dhyans7,"RT @Kichcha4eva: Kudos to this photographer❤️ 

#WhistlePodu #CSK #Yellove @msdhoni @ImRaina @CurranSM #CSKvsRCB https://t.co/D28jLP2NXY",2021-04-25 11:02:51,,5,0.0,0.0
2021-04-25  16:32,1386274493346111488,nancy_latha,"#எந்த ஊரு தாறுமாறு
 Plessey will be the highest scorer today #csk",2021-04-25 11:02:49,,0,0.0,0.0
2021-04-25  16:32,1386274491446169601,iam_tamil45,Easy Win For #CSK 🔥,2021-04-25 11:02:49,,0,0.6166666666666667,0.6166666666666667
2021-04-25  16:32,1386274451340218370,nevermind1610,No chance for anyone #invisbleinsky'stoo #CSK vs #RCB,2021-04-25 11:02:39,,0,0.0,0.0
2021-04-25  16:32,1386274449154994178,The___Phenom,"#SureshRaina's classics sixes are treat to watch 🥵🥵

#CSK #CSKvRCB",2021-04-25 11:02:39,"Assam, India",0,0.0,0.0
2021-04-25  16:32,1386274446596460545,who__saurabh,Accelerate please #CSK,2021-04-25 11:02:38,"BCCI, Nepal",0,0.0,0.0
2021-04-25  16:32,1386274442922258432,devesh_here__,"Raina🔥🔥.... what a sexy short 🔥.... Six 🔥🏏
#CSKvsRCB | #CSK",2021-04-25 11:02:37,"Delhi,India",0,0.25,0.65
2021-04-25  16:32,1386274433363431426,TimesNow,"RT @timesnowsports: #CSKvRCB    Live score, IPL 2021 | 

Yuzvendra Chahal draws first blood for RCB, Ruturaj Gaikwad departs

#CSKvsRCB #CS…",2021-04-25 11:02:35,India,1,0.19318181818181818,0.41666666666666663
2021-04-25  16:32,1386274428858683396,InsideCricket07,"200 IPL sixes 🤩🤩
Congratulations @ImRaina 

#ipl #IPL2021 #CSKvsRCB #CSK #WhistlePodu #Yellove https://t.co/1tHC0ZUxGU",2021-04-25 11:02:34,"Pune, India",0,0.0,0.0
2021-04-25  16:32,1386274423448096771,Pranay_rebel46,"RT @Cricketracker: A much needed breakthrough for RCB.

📸: Disney+Hotstar VIP

#CSKvRCB #CSK #RCB #IPL #IPL2021 #CricTracker https://t.co/1…",2021-04-25 11:02:32,"Karimnagar, India",4,0.2,0.2
2021-04-25  16:32,1386274416078647297,kanishrana3,There is no fear in Suresh Raina 's Dictionary. #CSK #CSKvRCB,2021-04-25 11:02:31,,0,0.0,0.0
2021-04-25  16:32,1386274415843831810,Maxithebigshow,"Raina 30 Loading .......

#RCBvsCSK #rcb #csk",2021-04-25 11:02:31,,0,0.0,0.0
2021-04-25  16:32,1386274414728073219,TimesNow,"RT @timesnowsports: #CSKvRCB    Live score, IPL 2021 | 

Faf du Plessis, Ruturaj Gaikwad give CSK quick start

#CSKvsRCB #CSK #RCBvsCSK #RC…",2021-04-25 11:02:30,India,2,0.23484848484848483,0.5
2021-04-25  16:32,1386274409942450176,Anil_B2R,"What A Six 😍😍😍😍

@ImRaina 💘

#CSKvRCB #CSK #RCB",2021-04-25 11:02:29,,0,0.0,0.0
2021-04-25  16:32,1386274403722297352,SwordOfDestiny_,"Ssixxxx 😍😍 Rocket🚀 #Raina

#IPL2021 #csk #CSKvRCB",2021-04-25 11:02:28,"Kanyakumari, India ",0,0.0,0.0
2021-04-25  16:32,1386274402346536971,anirudh_ssrk,"RT @SarbeswarDash23: 200 IPL sixes for  Raina Bhayia 
Congratulations 🎉🎉 Many More to come 😉..  #200SixesByRaina #ChinaThala 
#CSKvRCB #CSK…",2021-04-25 11:02:27,Tharkistan,2,0.5,0.5
2021-04-25  16:32,1386274397028188165,Kichcha4eva,"RT @ERRORNF: Raina 🚶‍♂️🚶‍♂️🚶‍♂️

#CSK",2021-04-25 11:02:26,In sam curran's heart,1,0.0,0.0
2021-04-25  16:32,1386274392276049922,hitesh996,Raina is on 🔥🔥🔥 #CSKvRCB #CSK,2021-04-25 11:02:25,,0,0.0,0.0
2021-04-25  16:32,1386274392267657220,Princeallin21,"RT @deepak_chahar9: Yellow lions 🦁 Vs Red lions 🦁
Are you ready for some extra roars today!
See you guys at 3:30 pm .
Wish us good luck 🙏 a…",2021-04-25 11:02:25,,886,0.18,0.24000000000000005
2021-04-25  16:32,1386274386659876866,2Dineshchinku,"#csk on fire....

#CSKvRCB",2021-04-25 11:02:24,"Nagercoil, India",0,0.0,0.0
2021-04-25  16:32,1386274386336960514,BirdiOnBoundary,"Interesting to see how Virat tries to dry up the #CSK runs - currently 91-1 with Du Plessis looking comfortable on 43 

#IPL2021 
#CSKvRCB",2021-04-25 11:02:24,"Enfield, London",0,0.14666666666666667,0.54
2021-04-25  16:32,1386274385615458304,PixieRainbow23,"RT @9aiyaar: Girls who support #CSK are wifey material 💍

#CSKvsRCB #WhistleFromHome",2021-04-25 11:02:23,Mumbai,23,0.0,0.0
2021-04-25  16:32,1386274372709617666,kadalaimuttaai,"Another SIX 😍😍😍😍

#Raina #CSK",2021-04-25 11:02:20,,0,0.0,0.0
2021-04-25  16:32,1386274372567003139,_Mr_Abnormal,"RT @DhoniArmyKA: Close enough Mahi Bhai preparing his weapon 🔥

#MSDhoni | #ಎಂ_ಎಸ್_ಧೋನಿ | #CSK | #WhistlePodu @msdhoni https://t.co/1Mq46Is…",2021-04-25 11:02:20,,34,0.0,0.5
2021-04-25  16:32,1386274359526887428,alwayskotesh,#CSK Suresh Raina 🔥,2021-04-25 11:02:17,Kerala ,0,0.0,0.0
2021-04-25  16:32,1386274356523782145,marvelousmukesh,"Need a big 15-20 runs over before the end of 15th over, A multiple sixes over maybe. #CSK #CSKvRCB",2021-04-25 11:02:16,twitter,0,0.0,0.05
2021-04-25  16:32,1386274356209217537,itz_dinesh67,"200th six for Mr IPL 🖤🔥🥳

#IPL2021 #CSKvRCB #csk",2021-04-25 11:02:16,#மதுரை,0,0.0,0.0
2021-04-25  16:32,1386274352434343936,Chethan65960487,RT @VaishnavTejOffl: All The Best Team #RCB Excited For This Match With #CSK #RCBvsCSK Great Battle Ever 🔥 https://t.co/Ssn4YdLkFd,2021-04-25 11:02:16,"Karnataka, India",18,0.725,0.6
2021-04-25  16:32,1386274345048186881,Chethan65960487,RT @CricCrazyJohns: #CSK won the toss and decided to bat first against #RCB.,2021-04-25 11:02:14,"Karnataka, India",102,0.25,0.3333333333333333
2021-04-25  16:32,1386274344473559043,kanishrana3,"RT @Rainaist: @ImRaina completes 200 sixes in @IPL
@ChennaiIPL @StarSportsIndia
#CSK #Yellove #WhistlePodu #CSKvRCB https://t.co/OHjFnWcE4l",2021-04-25 11:02:14,,6,0.0,0.0
2021-04-25  16:32,1386274339520094216,tejasmishra1997,"@ChennaiIPL 200 sixes completed for @ImRaina in @IPL history!!!
Many more to come in #IPL2021 
#CSKvRCB
#CSK… https://t.co/7flBLFRGX9",2021-04-25 11:02:12,India,0,0.5,0.5
