query = #csk
event = after raidu wickets
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-25  17:11,1386284282453372930,marathe,"200+ par on this pitch. And major advantage to the team fielding second due to the heat. 
#csk  #rcb   #CSKvRCB #RCBvCSK #IPL2021",2021-04-25 11:41:43,NYC,0,-0.020833333333333332,0.2916666666666667
2021-04-25  17:11,1386284259279720448,Devprazz2,"RT @Cric_stats3: Believe in #Mahirat 🥰

See u soon rcb 😎

#CSKvsRCB #csk #Yellove https://t.co/OL75pohvz3",2021-04-25 11:41:37,Corner of a World🌏,154,0.0,0.0
2021-04-25  17:11,1386284256566169604,Gokul12589993,#CSK #WhistlePodu #Yellove #CSKvRCB #CSKvsRCB #IPL2021 @msdhoni we will win today.,2021-04-25 11:41:37,,0,0.8,0.4
2021-04-25  17:11,1386284251272810499,amplifire07,"Don't understand the point of Sam Curran being in dugout and Jadeja slogging every ball. 
@CurranSM's batting prowe… https://t.co/eDyQtudAkZ",2021-04-25 11:41:36,,0,0.0,0.0
2021-04-25  17:11,1386284247648903171,_Ultimate_beast,"RT @Iamvaddu: BOTH LEGENDARY CAPTAINS IN ONE FRAME ❤❤❤❤❤💛💛💛💛💛
@imVkohli &amp; @msdhoni
#Mahirat trends in India 
Super excited for #CSKvRCB #RC…",2021-04-25 11:41:35,,5,0.5694444444444444,0.8055555555555555
2021-04-25  17:11,1386284236613713920,tushartyagidiv,"Must say

This year #RCB  medium Pacers death bowling 👌

Kher mahi bhai agye🤩

#Csk
#CSKvsRCB",2021-04-25 11:41:32,,0,0.0,0.0
2021-04-25  17:11,1386284231081398273,SachinSince1998,"#CSK Wickets 😁

#RCB #WeAreChallengers 
 https://t.co/SrAGv9K5hG",2021-04-25 11:41:31,"Bengaluru, India",0,0.0,0.0
2021-04-25  17:11,1386284230917775360,CrictipsIndia,"Faf du Plessis gets his 18th fifty in IPL, #FafduPlessis #CSK #RCB #RCBvsCSK #IPL2021 https://t.co/vDjKLZL99w",2021-04-25 11:41:31,,0,0.0,0.0
2021-04-25  17:11,1386284230297018369,vijay_sanoKS,"Thala Entry 🔥🔥🔥🔥🔥🔥🤩🤩🤩🤩🤩🤩🤩🤩🤩😍😍😍😍

#CSKvRCB 
#CSK #WhistlePodu",2021-04-25 11:41:31,Sri Lanka,0,0.0,0.0
2021-04-25  17:11,1386284219626758147,CricNeelabh,"Another wicket for Harshal Patel, it's his 3rd wicket by conceding just 11 runs. Suresh Raina, Faf Du Plessis and n… https://t.co/jzF9lGKxgo",2021-04-25 11:41:28,,0,0.0,0.0
2021-04-25  17:11,1386284214270644224,ifeeliwrote,"Harshal Patel is in Carnage mode this season.
#PlayBold #RCB #RCBvsCSK #CSK #MSD #royalchallengersbangalore… https://t.co/HdRZzzlc1F",2021-04-25 11:41:27,"Jaipur, Rajasthan",0,0.0,0.0
2021-04-25  17:11,1386284201306066945,KapildevMasetti,"RT @deepak_chahar9: Yellow lions 🦁 Vs Red lions 🦁
Are you ready for some extra roars today!
See you guys at 3:30 pm .
Wish us good luck 🙏 a…",2021-04-25 11:41:24,"Vishakhapatnam, India",925,0.18,0.24000000000000005
2021-04-25  17:11,1386284197778624514,SagarDharmane,"RT @StarSportsIndia: MSD has scored the most IPL runs vs #RCB: 8⃣2⃣3⃣  

Kohli has scored the most IPL runs vs #CSK: 8⃣8⃣7⃣
 
It's GAME 🔛 w…",2021-04-25 11:41:23,,482,0.19999999999999998,0.4666666666666666
2021-04-25  17:11,1386284195648057344,OnionDosai,#rayudu faced less than 8 balls and got dehydrated aama.. dei.. ennada panreenga.. Faf batted for more than 40 ball… https://t.co/OE21FuY70e,2021-04-25 11:41:22,United States,0,0.16666666666666669,0.2833333333333333
2021-04-25  17:11,1386284191642374145,hitesh996,MSD is it too late ? 17.3 overs may he finish it well like always #CSK #CSKvRCB #WhistlePodu #Yellove,2021-04-25 11:41:21,,0,-0.3,0.6
2021-04-25  17:11,1386284190530904065,nekkantitsayz,"RT @sowkea_agro: #ContestAlert 🎁🏏

#MatchDay5 of #RoarWithSowkea 🦁💛

Participate and win #Sowkea goodies worth ₹500. Follow the #ContestRul…",2021-04-25 11:41:21,"Hyderabad, India",69,0.55,0.25
2021-04-25  17:11,1386284189029343232,offbreaked,"#HarshalPatel #RCB #CSK #CSKvRCB
DC Fans to Owners: https://t.co/ju3rncZJ6h",2021-04-25 11:41:21,Lords,0,0.0,0.0
2021-04-25  17:11,1386284180359745537,Bhuvana77,"RT @DhivCM: 25th April 2018. #DhaCheePae moment from Thala #Dhoni 😍🔥 
@ChennaiIPL 💛 #WhistlePodu #CSK https://t.co/W3gIgDOKus",2021-04-25 11:41:19,City of Super Kings,4,0.0,0.0
2021-04-25  17:11,1386284169735458816,SaiKris75286313,"People need to understand no mr modi,no mr Rahul Gandhi it's you and your responsibility to fight for your family a… https://t.co/JNXVq3hBvw",2021-04-25 11:41:16,"Hyderabad / Bangalore, India",0,0.0,0.0
