query = #cskvsrcb
event = After ist innings
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-25  17:26,1386288010589655042,iam_uva,"RT @rameshlaus: Save your best for the last..

#Jaddu The Magician!

#CSKvsRCB #IPL2021",2021-04-25 11:56:32,,61,0.5,0.18333333333333332
2021-04-25  17:26,1386288009788616705,Sidnaaz09108283,"RT @Siddiology: #CSKVSRCB

After 3 Back to back Sixes😹😹 le 4th one
Sir. Jadeja to Harsha : https://t.co/pAQ4GPnAFj",2021-04-25 11:56:32,🗺️SidNaaz Nation ,1,0.0,0.0
2021-04-25  17:26,1386287999919345677,BlazeYathu,"Last Over 37 Run's 🔥

Jaddu 🔥

#CSK 
#CSKvsRCB",2021-04-25 11:56:29,"Chennai, India ",0,0.0,0.06666666666666667
2021-04-25  17:26,1386287999403528196,that_uniqueguy,"1 over 37 runs 🔥🔥🔥
Bow down to Sir Jadeja 
#CSKvsRCB",2021-04-25 11:56:29,India,0,-0.15555555555555559,0.2888888888888889
2021-04-25  17:26,1386287998719778822,Ankitpandey130,RT @RaviShastriOfc: Box office stuff coming up. Legendary captain and a Legendary one in the making #IPL2021 - @ChennaiIPL @RCBTweets #CSKv…,2021-04-25 11:56:29,"Bhilai, India",1520,1.0,1.0
2021-04-25  17:26,1386287998107406340,J_Sriii,Fuckingggg sirrrrrr jadejaaaaaaaa showww🔥🔥🔥🔥💥 #37 #jadeja #CSKvsRCB #IPL2021,2021-04-25 11:56:29,"Salem, India",0,0.0,0.0
2021-04-25  17:26,1386287994873679883,sha7_sharu,RT @hemangi_kaira: Jaddu I love you 😍💛💛💛💛💛💛 #CSK #CSKvsRCB,2021-04-25 11:56:28,,1,0.5,0.6
2021-04-25  17:26,1386287994739384324,NAravindRajesh,"Chennai Super Kings cricket team scores 191/4 in the twenty overs they faced.

#IPL2021 #VIVOIPL #VivoIPL2021 #T20… https://t.co/xCTbHAbGXo",2021-04-25 11:56:28,"Chennai , Tamil Nadu, India",0,0.3333333333333333,0.6666666666666666
2021-04-25  17:26,1386287993753792515,Sxaifmulla,"Jadeja be like- 
Harshal Patel,Who? #CSKvsRCB
#CSK",2021-04-25 11:56:28,,0,0.0,0.0
2021-04-25  17:26,1386287993485287424,Uthaya51734847,"RT @rameshlaus: Save your best for the last..

#Jaddu The Magician!

#CSKvsRCB #IPL2021",2021-04-25 11:56:28,,61,0.5,0.18333333333333332
2021-04-25  17:26,1386287991916699659,SALAAR_1422,"RT @msdfansofficial: Don’t get excited its just a match. 

The match: 

#MSDhoni #ViratKohli #CSKvsRCB 
Picture Courtesy: Surey Designs htt…",2021-04-25 11:56:27,"Karimnagar, India",154,0.375,0.75
2021-04-25  17:26,1386287985893670914,imkproothi,@imjadeja this man is unbelievable 🐎🐎🐎#jadeja #CSKvRCB #CSKvsRCB #csk #rcb #RCBvsCSK #RCBvCSK #IPL2021,2021-04-25 11:56:26,"New Delhi, India",0,-0.25,1.0
2021-04-25  17:26,1386287984199180293,Uthaya51734847,RT @s_badrinath: Amazing how A single over can turn a match on its head #IPL2021 #CSKvsRCB #20th,2021-04-25 11:56:26,,18,0.17619047619047623,0.37142857142857144
2021-04-25  17:26,1386287977005948933,che_gue_vara_,"#RCB going to chase

@imVkohli
 #CSKvsRCB",2021-04-25 11:56:24,positive state,0,0.0,0.0
2021-04-25  17:26,1386287976863309830,Ragul__kumar,"RT @keerthivasan_bk: With that 4 Jaddu completes his Half Century 🤩👌👏👏what a destruction!!

#CSK #CSKvsRCB 
#RCB #Master #IPL2021",2021-04-25 11:56:24,,1,-0.26041666666666663,0.16666666666666666
2021-04-25  17:26,1386287968189485064,urstrulyakkian,"RT @Nooffence_7: Csk ki jeet ke liye hawan chal raha he

Rt for csk's win #CSKvsRCB https://t.co/HbZKTKfts1",2021-04-25 11:56:22,India,67,0.8,0.4
2021-04-25  17:26,1386287962577539080,rajavjoff,"37Runs From the Last Over
The name is Jadeja😍😍😍😍 #CSKvsRCB",2021-04-25 11:56:20,Living Peacefully in Jupiter,0,0.0,0.06666666666666667
2021-04-25  17:26,1386287960891351054,Sriram19993129,"RT @Cric_stats3: Believe in #Mahirat 🥰

See u soon rcb 😎

#CSKvsRCB #csk #Yellove https://t.co/OL75pohvz3",2021-04-25 11:56:20,,155,0.0,0.0
2021-04-25  17:26,1386287959314288640,ermanishyadav,Ravinder Jadeja scores 37 runs in the last over! #IPL2021 #CSKvsRCB #RCBvsCSK,2021-04-25 11:56:20,,0,0.0,0.06666666666666667
2021-04-25  17:26,1386287958869696515,real_mr_cricket,"37 runs in one over . Record hai kya
#CSKvsRCB",2021-04-25 11:56:20,,0,0.0,0.0
2021-04-25  17:26,1386287958089629699,Rickdaltonn_,"#Jaddu is on 🔥🔥🔥🔥

Game changer of the match indeed @imjadeja 💛💛💛💛💥💥🥳

62(28)wohoo

@ChennaiIPL 

#CSKvRCB #CSK #CSKvsRCB",2021-04-25 11:56:19,Chennai,0,-0.4,0.4
2021-04-25  17:26,1386287954197319689,AnilabhS,Purple cap holder who?... No offence to harshal... Jaddu ❤️❤️❤️ #CSKvsRCB,2021-04-25 11:56:18,"Mumbai, India",0,0.0,0.0
2021-04-25  17:26,1386287951139667980,Vikrant187,37 Runs in Last Over🙏🙏Jaddu masssss 🔥🔥🔥🔥 #CSKvsRCB,2021-04-25 11:56:18,India,0,0.0,0.06666666666666667
2021-04-25  17:26,1386287950019710976,barath52190875,This is insane ....take a bow.. 37 runs🔥🔥🔥 #CSKvsRCB #jadeja https://t.co/2CfTZkWDiT,2021-04-25 11:56:17,INDIA,0,-1.0,1.0
