query = #kkr
event = long time tweet
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  08:43,1386880684514430978,Chaitanya__Nani,"RT @IPL: A comfortable 5 wickets win for @KKRiders as they finish the job with 20 balls to spare. With this performance against #PBKS, #KKR…",2021-04-27 03:11:36,Visakapatnam,141,0.6000000000000001,0.6000000000000001
2021-04-27  08:43,1386880661156294657,HariBroMagic,"@_RRKabel A. Helicopter Shot
B. Paddle Sweep
C. Square Cut

#KKRHaiKabel #RReadyForKKR #RRK #KKR #winners… https://t.co/V8TrUO4zLE",2021-04-27 03:11:31,"Mumbai, India",0,0.0,0.0
2021-04-27  08:43,1386880590956302338,HariBroMagic,"@LincPensIndia @KKRiders C) 245

(@KKRiders scored the highest runs between the two teams, i.e. 245, in IPL 2008 an… https://t.co/R8AC9RoGtv",2021-04-27 03:11:14,"Mumbai, India",0,0.0,0.0
2021-04-27  08:43,1386880560673419272,HariBroMagic,RT @LincPensIndia: #LincPens &amp; #Pentonic #DrivenByDesign are proud to be associated with @KKRiders. Answer the questions correctly with our…,2021-04-27 03:11:07,"Mumbai, India",211,0.8,1.0
2021-04-27  08:43,1386880466439983107,MannatShahrukh,"RT @tripathirahul52: Great Team Performance 
Amazing win @KKRiders

#KKR #HaiTaiyaar #IPL2021 
korbo Lorbo Jeetbo 💜
#PBKSvKKR https://t.co/…",2021-04-27 03:10:44,"Bengaluru, India",129,0.7333333333333334,0.6833333333333332
2021-04-27  08:43,1386880455471894537,Saurabh08025347,Yes real heroes do wear a cap ! Precisely a purple cap. Huge respect Mr. Handsom @patcummins30 #KKR thank you… https://t.co/rdCDAclzOv,2021-04-27 03:10:42,"Kurud, India",0,0.35000000000000003,0.6666666666666666
2021-04-27  08:43,1386880341718171651,GouravM78418096,"@_RRKabel A: Helicopter Shot
B: Paddle Sweep
C: Square Cut
#KKKHaiKabel #RReadyForKKR
#RRK #KKR #contests 
#winners… https://t.co/HM9e2qcGt5",2021-04-27 03:10:15,,0,0.0,0.0
2021-04-27  08:43,1386880160490688512,toisports,"We know horrific nature of what's happening outside bio-bubble, says @Eoin16  

READ: https://t.co/uhx5R6L9Lv… https://t.co/Op6j5BDtpv",2021-04-27 03:09:31,"New Delhi, India",0,-0.5,0.525
2021-04-27  08:43,1386879400793231360,CricUniverse,"Spirit of cricket!
Youngsters meet after the match!
🙌
#pbks #kkr #pbksvskkr #punjabkings #kolkataknightriders #ipl… https://t.co/7yMiz4by1D",2021-04-27 03:06:30,Indore,0,0.0,0.0
2021-04-27  08:43,1386879090372743169,Mass48209555,"RT @LMKMovieManiac: Finally Captain #Morgan makes a sizable contribution and meets the big hype around him 👍 47(40)*

Rahul Tripathi 41(32)…",2021-04-27 03:05:16,,39,0.0,0.55
2021-04-27  08:43,1386878934646591489,GanesanUttej,"RT @KKRiders: Our IPL started with a ton in 2008, and we reached the Milestone of a century of victories last year at Eden vs @mipaltan 🔥…",2021-04-27 03:04:39,salur andhra pradesh,216,0.0,0.06666666666666667
2021-04-27  08:43,1386878914690052098,KEERTHIAJAY4,"RT @StarSportsIndia: The first wicket of #PBKSvKKR went to... Pat Cummins!

#KKR fans: Thanks Pat 💜 https://t.co/IGFdhM07xX",2021-04-27 03:04:34,"kuppam,chittoor",164,0.25625,0.26666666666666666
2021-04-27  08:43,1386878895509557249,KEERTHIAJAY4,"RT @LMKMovieManiac: Finally Captain #Morgan makes a sizable contribution and meets the big hype around him 👍 47(40)*

Rahul Tripathi 41(32)…",2021-04-27 03:04:30,"kuppam,chittoor",39,0.0,0.55
2021-04-27  08:43,1386878746766893059,Sufiyaan_Asim,RT @Kaala_Jaadu: Updated #KaalaJaadu group points table after 21st match of #IPL2021 #PBKS vs #KKR https://t.co/X2N7jbpriG,2021-04-27 03:03:54,Heaven,2,0.0,0.0
2021-04-27  08:43,1386878730711101442,FYSH0601,"RT @IPL: A comfortable 5 wickets win for @KKRiders as they finish the job with 20 balls to spare. With this performance against #PBKS, #KKR…",2021-04-27 03:03:51,,141,0.6000000000000001,0.6000000000000001
2021-04-27  08:43,1386878082804424709,Mugeshg6,"RT @StarSportsIndia: The first wicket of #PBKSvKKR went to... Pat Cummins!

#KKR fans: Thanks Pat 💜 https://t.co/IGFdhM07xX",2021-04-27 03:01:16,,164,0.25625,0.26666666666666666
2021-04-27  08:43,1386878077246926848,ReetGhosh14,"RT @IPL: A comfortable 5 wickets win for @KKRiders as they finish the job with 20 balls to spare. With this performance against #PBKS, #KKR…",2021-04-27 03:01:15,Howrah,141,0.6000000000000001,0.6000000000000001
2021-04-27  08:43,1386877904924012544,HussainLakmal,"RT @sri50: #KKR beats #PBKS by 5 wickets!
#KKRvPBKS",2021-04-27 03:00:34,,10,0.0,0.0
2021-04-27  08:43,1386877810434666502,ahaan_siddiqui,"RT @tripathirahul52: Great Team Performance 
Amazing win @KKRiders

#KKR #HaiTaiyaar #IPL2021 
korbo Lorbo Jeetbo 💜
#PBKSvKKR https://t.co/…",2021-04-27 03:00:11,FAN ACCOUNT,129,0.7333333333333334,0.6833333333333332
2021-04-27  08:43,1386877425519263746,swar_eshu,"RT @tripathirahul52: Great Team Performance 
Amazing win @KKRiders

#KKR #HaiTaiyaar #IPL2021 
korbo Lorbo Jeetbo 💜
#PBKSvKKR https://t.co/…",2021-04-27 02:58:39,"Patna, India",129,0.7333333333333334,0.6833333333333332
2021-04-27  08:43,1386876890007302152,AmitKumarjha93,"RT @WazirXIndia: One innings complete...

One lucky with 3 correct #PBKSvKKR predictions will win 19 WRX worth $50 💰

1️⃣ Who will win?
2️⃣…",2021-04-27 02:56:32,Noida,91,0.4666666666666667,0.42666666666666664
2021-04-27  08:43,1386876775557304320,PragativadiNews,"Kolkata Knight Riders Beat Punjab Kings By 5 Wickets
#KKR #PunjabKings #IPL2021 
https://t.co/XfYobTL6sk",2021-04-27 02:56:04,"Bhubaneswar, India",0,0.0,0.0
2021-04-27  08:43,1386876667931418625,wasim786akram92,@Rofl_Swara @Samarya65405407 Asli Hero and handsome to #patcummin #KKR  hai,2021-04-27 02:55:39,,0,0.5,1.0
2021-04-27  08:43,1386876522598789120,mathrubhumi,"RT @mathrubhumieng: KKR return to winning ways, beat Punjab Kings by 5 wickets https://t.co/2jsv6tASIv #KKR",2021-04-27 02:55:04,"Kozhikode, Kerala",1,0.5,0.75
2021-04-27  08:43,1386876518383558659,pr0tagonist_,"RT @IPL: A comfortable 5 wickets win for @KKRiders as they finish the job with 20 balls to spare. With this performance against #PBKS, #KKR…",2021-04-27 02:55:03,404,141,0.6000000000000001,0.6000000000000001
2021-04-27  08:43,1386876397017124864,mathrubhumieng,"KKR return to winning ways, beat Punjab Kings by 5 wickets https://t.co/2jsv6tASIv #KKR",2021-04-27 02:54:34,"Kozhikode, Kerala",1,0.5,0.75
2021-04-27  08:43,1386876340901605377,DaveyRoshaan,"RT @4_Simplicity_: Pat Cummins already won our heart yesterday, the win for #KKR in the night was double delight for their Team.",2021-04-27 02:54:21,,1,0.4,0.2
2021-04-27  08:43,1386875963540054020,4_Simplicity_,"Pat Cummins already won our heart yesterday, the win for #KKR in the night was double delight for their Team.",2021-04-27 02:52:51,India,1,0.4,0.2
2021-04-27  08:43,1386875810083053572,pr0tagonist_,"RT @tripathirahul52: Great Team Performance 
Amazing win @KKRiders

#KKR #HaiTaiyaar #IPL2021 
korbo Lorbo Jeetbo 💜
#PBKSvKKR https://t.co/…",2021-04-27 02:52:14,404,129,0.7333333333333334,0.6833333333333332
2021-04-27  08:43,1386875718269693953,Mugeshg6,"RT @rameshlaus: #Australian cricketer #PatCummins of #KKR  contributes $50,000 to PM Cares Fund ""specifically to purchase oxygen supplies f…",2021-04-27 02:51:52,,681,0.0,0.0
2021-04-27  08:43,1386875599973588994,Mugeshg6,"RT @behindwoods: Respect brother ❤️🙏✨️

@patcummins30
#PatCummins #KKR #Covid19
#BehindwoodsMemes https://t.co/eQ9uhDH9fQ",2021-04-27 02:51:24,,79,0.0,0.0
