query = #pbks
event = long time tweet
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  11:29,1386922174104031233,shah_himanshu,"@amani_mart KKR WIN

#IPL2021  #iplprediction #GuessTheWinner #guess #CricketTogether #cricketfever #PBKS … https://t.co/8E8VHILHVE",2021-04-27 05:56:28,,0,0.8,0.4
2021-04-27  11:29,1386922053333184514,probatsman,Catch Of The Tournament: Kevin Pietersen Reacts As Ravi Bishnoi Plucks A Stunning Catch To Get Rid Of Sunil Narine… https://t.co/dLhKTOENeG,2021-04-27 05:55:59,India,0,0.5,1.0
2021-04-27  11:29,1386921993165959168,sanjraj,KKR Vs PBKS: Ravi Bishnoi takes the catch of the season #IPL2021 #KKR #PBKS #RaviBishnoi #Ewoketv #stayhighonnews https://t.co/pRJWXgQuOC,2021-04-27 05:55:45,India,0,0.0,0.0
2021-04-27  11:29,1386921310274695168,shawadk1234,Will @dmalan29 get a chance?? @klrahul11 @anilkumble1074 @WasimJaffer14 @JontyRhodes8 @realpreityzinta @PunjabKingsIPL #IPL2021 #PBKS,2021-04-27 05:53:02,,0,0.0,0.0
2021-04-27  11:29,1386921309603471362,IPL_News_Update,"IPL table: KKR jump to 5th spot after win over PBKS
https://t.co/QKbq2JpQ24

#IPL #IPL2021 #KKRvsPBKS #KKR #PBKS #Dream11 #Dream11ipl",2021-04-27 05:53:02,,0,0.8,0.4
2021-04-27  11:29,1386921268939681795,CricFit,"What do you think? 🤔

#PBKS #IPL2021 #dawidmalan #Cricfit https://t.co/oe4H3toKhd",2021-04-27 05:52:52,"Mumbai, India",0,0.0,0.0
2021-04-27  11:29,1386921268826447874,Prokerala,"IPL table: KKR jump to 5th spot after win over PBKS
https://t.co/RNgTjwvEQ9

#IPL #IPL2021 #KKRvsPBKS #KKR #PBKS #Dream11 #Dream11ipl",2021-04-27 05:52:52,"Kerala, IN",0,0.8,0.4
2021-04-27  11:29,1386921077071286272,amitava0112,"#PBKSvKKR poor by #PBKS #RCBvDC will b a thriller !! 

#dhoni #viratkohli #cricket #ipl #IPL2021 #VIVOIPL… https://t.co/nZS168zCZg",2021-04-27 05:52:07,,0,-0.625,0.6
2021-04-27  11:29,1386920778021556225,AsimKiDonut,RT @Kaala_Jaadu: Updated #KaalaJaadu group points table after 21st match of #IPL2021 #PBKS vs #KKR https://t.co/X2N7jbpriG,2021-04-27 05:50:55,Hogwarts,6,0.0,0.0
2021-04-27  11:29,1386920750464917504,Raqshan2,@loanfunda @elderdebeloved @nitin_PJ @mdanwarkhan @StyleListings @Priyanka9928555 @roopa786 @cool_bindra… https://t.co/XUc20wpVKM,2021-04-27 05:50:49,,0,0.0,0.0
