query = #rcb
event = After maxwel wicket
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  20:16,1387055483270275075,bala_chuk,Narendra Modi stadium is the largest cricket stadium in the world. But it’s costing @RCBTweets at the moment.… https://t.co/jFsRBE2vog,2021-04-27 14:46:12,"Seattle, Washington, USA",0,0.0,0.0
2021-04-27  20:16,1387055482842484738,OnionDosai,Looks like its a slow surface.. #RCB would need #ABD to anchor the innings for a late flourish.. Nadakkudhaanu paapom.. #RCBvsDC,2021-04-27 14:46:12,United States,0,-0.30000000000000004,0.5
2021-04-27  20:16,1387055451334877191,jainam_xx,"RCB bhi form mein aa gay hain😂🥳  

#rcb #IPL2021",2021-04-27 14:46:04,"Surat, India",0,0.4166666666666667,0.5833333333333334
2021-04-27  20:16,1387055444443598849,sportstigerapp,"#IPL2021 | #DCvsRCB
Big wicket for @ImIshant, took in-form @devdpd07😍

(📸 Credit: BCCI/IPL)

#ishantsharma… https://t.co/0vVpxfoPbY",2021-04-27 14:46:02,"Jaipur, Rajasthan",0,0.0,0.1
2021-04-27  20:16,1387055439712423951,thevijaymovies,"RT @keerthivasan_bk: Ishant 😮

Padikkal Departs!! Back to Back wickets🥴

#RCB #RCBvsDC #Master #IPL2021",2021-04-27 14:46:01,,3,0.0,0.0
2021-04-27  20:16,1387055431101472777,Edward_Elric_00,"RT @Aamaidaaw: Maxwell fall in the #Well 😯😹

#Rcb yans and Kohli Army Now😹😹🤸 https://t.co/C5I0X0OogL",2021-04-27 14:45:59,Proxima-B,5,0.0,0.0
2021-04-27  20:16,1387055411774119939,JayUpad70513792,"RT @mustafahaji_: Daniel Sams half century loading.....
#rcb",2021-04-27 14:45:55,"Ahmadabad City, India",1,-0.16666666666666666,0.16666666666666666
2021-04-27  20:16,1387055410532605955,its_yasho,"RT @macchy99: Just an appreciation post for @RishabhPant17 before the big clash between @RCBTweets &amp; @DelhiCapitals . Win or lose, form or…",2021-04-27 14:45:54,,25,0.4,0.25
2021-04-27  20:16,1387055410427744262,RcFanAmar,#RCBvsDC Old #RCB Back With Bang,2021-04-27 14:45:54,,0,0.05,0.1
2021-04-27  20:16,1387055394283872258,RahulShah45612,"RT @ChloeAmandaB: Tonight be like: 

#RCB #DCvRCB 😂
(sorry can’t remember who made this one) https://t.co/bHFKcNx71C",2021-04-27 14:45:50,Howrah (हावड़ा),144,-0.5,1.0
2021-04-27  20:16,1387055380564377611,rory_denis,Good on #rcb for putting together that fighting Covid message #RCBvsDC,2021-04-27 14:45:47,"Canberra, Australian Capital T",0,0.7,0.6000000000000001
2021-04-27  20:16,1387055379046047748,Vintage_Shruti,"RT @Vintage_Shruti: RCB 

We are fans not bots
We also want that our favourite team to win atleast 1 trophy.

But you guys are just....

Yo…",2021-04-27 14:45:47, 🏠,1,0.8,0.4
2021-04-27  20:16,1387055342828228618,iam___irfan1,"RT @Cricketracker: Two big wickets for Delhi Capitals.

📸: Disney+Hotstar VIP

#DCvRCB #DC #RCB #IPL #IPL2021 #CricTracker https://t.co/Msp…",2021-04-27 14:45:38,,6,0.0,0.1
2021-04-27  20:16,1387055341276340227,CaptainOfAkshay,BC Ye #RCB 🤧🤦,2021-04-27 14:45:38,,0,0.0,0.0
