query = #rcbvsdc
event = rcb after 18 overs
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  20:56,1387065523876220928,MallickMonarch,And he keeps disappointing. #RCBvsDC #RCB,2021-04-27 15:26:05,,0,-0.6,0.7
2021-04-27  20:56,1387065522768941056,smartnishanth19,"RT @DeepakDboss: boss is back @ABdeVilliers17  💥💥💥💥🔥 🔥 🤒🤒🤒🤒🤒🤒

#RCBvsDC #Rcb #PlayBold 
@RCBTweets #ನಮ್ಮRCB https://t.co/CNd4n3YWYR",2021-04-27 15:26:05,,2,0.0,0.0
2021-04-27  20:56,1387065516196450306,srijanipodder,"Sundar is such a waste man. Y sending him to waste few balls . 
#RCBvsDC",2021-04-27 15:26:04,India,0,-0.15000000000000002,0.15
2021-04-27  20:56,1387065514468417536,gtrinadh421,"RT @rameshlaus: #DC win the toss and elected to bowl first..

#RCBvsDC #IPL2021",2021-04-27 15:26:03,bhimavaram,29,0.525,0.3666666666666667
2021-04-27  20:56,1387065502707507206,CharanAmoghRaj,Consider sundar as a complete bowler n send sams ahed of him man! #RCBvsDC,2021-04-27 15:26:00,,0,0.125,0.4
2021-04-27  20:56,1387065502174879744,virtuous_virus,"@mufaddal_vohra Why would you send a test player like Sundar above Jamieson, Sam's or even Siraj?  🤦‍♂️🤦‍♂️
#RCBvsDC",2021-04-27 15:26:00,India,0,0.0,0.1
2021-04-27  20:56,1387065497703784450,GenuineViratFan,At least now learn this mistake @CoachHesson I beg you a lot😥don't make us fools on supporting @RCBTweets. Use… https://t.co/pqIZ9udeQp,2021-04-27 15:25:59,,0,-0.024999999999999994,0.325
2021-04-27  20:56,1387065490632110080,Yogo_adhyay,"Why the hell ABD isn't scooping?
#RCBvsDC",2021-04-27 15:25:58,"Aurangabad, India",0,0.0,0.0
2021-04-27  20:56,1387065489034149892,JstUtkarsh_,"Sundar can either be a 9 number
Or a 3 number.

Niether a finisher nor an opener
So far

#RCBvsDC",2021-04-27 15:25:57,,0,0.1,1.0
2021-04-27  20:56,1387065488421785601,AskAnything_RK,"#RCBvsDC 

Looks Like RCB is Back in Form. 4 Match Jeet k Khush Ho Rahe the 😂😂",2021-04-27 15:25:57,"New Delhi, India",0,0.0,0.0
2021-04-27  20:56,1387065488245620743,VarunSanjeeve,Sundar should be sent after Siraj!! #RCBvsDC #IPL2021,2021-04-27 15:25:57,,0,0.0,0.0
2021-04-27  20:56,1387065483376029696,Archer_0296,"Once again Washington proved as a liability to the team 

#RCBvsDC",2021-04-27 15:25:56,"13.6288° N, 79.4192° E",0,0.0,0.0
2021-04-27  20:56,1387065482608451589,DeepakDboss,"RT @DeepakDboss: boss is back @ABdeVilliers17  💥💥💥💥🔥 🔥 🤒🤒🤒🤒🤒🤒

#RCBvsDC #Rcb #PlayBold 
@RCBTweets #ನಮ್ಮRCB https://t.co/CNd4n3YWYR",2021-04-27 15:25:56,,2,0.0,0.0
2021-04-27  20:56,1387065470042349568,ashu048,Is Sundar’a dad watching? #RCBvsDC,2021-04-27 15:25:53,new delhi,0,0.0,0.0
2021-04-27  20:56,1387065468196851715,iamNotShashank,Washington shld bat after chahal #RCBvsDC,2021-04-27 15:25:52,"Karnataka, India",0,0.0,0.0
2021-04-27  20:56,1387065463725649922,Rahulspeech,"Egarly waiting for this sundar wicket 
Useless batsman

#RCBvsDC",2021-04-27 15:25:51,आधी खान्देशी मग पुणेकर,0,-0.5,0.2
2021-04-27  20:56,1387065463541096449,viralvdoz,"IPL 2021, DC vs RCB: Royal Challengers Bangalore lose Washington Sundar; score 139/5 in 18 overs… https://t.co/KRaJnNQOtT",2021-04-27 15:25:51,"London, UK",0,0.0,0.0
2021-04-27  20:56,1387065458243739649,kirtiraj_thakor,"F*ck Off Sundar, don't ever dare to play before 9th ekt fall.😤

#RCBvsDC #IPL2021",2021-04-27 15:25:50,"Anand, India",0,0.0,0.0
2021-04-27  20:56,1387065449951555584,Analysis1231,"How many of you think DC has chance to win this year's IPL title? 

#RCBvsDC",2021-04-27 15:25:48,,0,0.65,0.45
2021-04-27  20:56,1387065449356034054,Rohith11510615,"#RCBvsDC  Washington sundar

Expectations              Sad reality https://t.co/tktvRGsFU7",2021-04-27 15:25:48,,0,-0.5,1.0
2021-04-27  20:56,1387065448458379266,MsHaidri,RT @barshaVkohli18: Keep moving no matter what..  #RCBvsDC  #PlayBold  #WeAreChallengers https://t.co/E5nFqMnGba,2021-04-27 15:25:47,"Mumbai, India",8,0.0,0.0
2021-04-27  20:56,1387065442766757891,D17333,"Bappa Sams 🤧
#RCBvsDC",2021-04-27 15:25:46,Mysuru ,0,0.0,0.0
2021-04-27  20:56,1387065432633266189,kakeskkd,"With no offense to Washi's batting ability, him coming in the middle is not helping #RCB. They might as well send i… https://t.co/KTTThPszB5",2021-04-27 15:25:44,Far Far Away,0,0.0,0.0
