query = #rcbvsdc
event = After 1st innings
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  21:07,1387068303042961412,nobitaAARYAN,"God of Ipl for me - Ab de Villiers❤

That's it that's the tweet.

#RCBvsDC https://t.co/hxKDgJYZc8",2021-04-27 15:37:08,India,0,0.0,0.0
2021-04-27  21:07,1387068297947107336,rajatag16,"ABD to rescue again.
What a player 👏👏
#RCBvsDC #IPL2021",2021-04-27 15:37:07,"Ahmedabad City, India",0,0.0,0.0
2021-04-27  21:07,1387068291147964419,riya_happy_,"It's always delight to watch #AbdeVilliers 🔥 knock.

#RCBvsDC",2021-04-27 15:37:05,,0,0.0,0.0
2021-04-27  21:07,1387068290887979011,AnIndian05,AB is surely gonna break his back after carrying RCB so hard this season. #RCBvsDC,2021-04-27 15:37:05,"New Delhi, India",0,0.06944444444444443,0.4768518518518518
2021-04-27  21:07,1387068289290055681,ClubRestofindia,"RT @Naina60927092: Yes He is Legend or Allien 

Well played AB Devillers #PlayBold 
#DCvRCB #RCBvsDC",2021-04-27 15:37:05,,1,0.0,0.0
2021-04-27  21:07,1387068288027426820,ItsJeetx_,"RT @ItsJeetx_: ABD Entering RCB Dressing Room rn
#AbdeVilliers  #DCvsRCB  #RCBvsDC 
#PlayBold https://t.co/w4rZO4y0TL",2021-04-27 15:37:05,"Vadodara, Gujarat",1,0.0,0.0
2021-04-27  21:07,1387068285007523844,_dreamer__neha,Appreciation post ..... Thank you AB D 🥺❤️  #RCBvsDC https://t.co/t5C3eq0wzz,2021-04-27 15:37:04,Earth,0,0.0,0.0
2021-04-27  21:07,1387068282495066112,Armankadri786,"RT @ArmanKadri5: Good Finish ABD  ! 

#AbdeVilliers   ! 

#RCBvsDC 
#DCvRCB #DCvsRCB",2021-04-27 15:37:03,,1,1.0,0.6000000000000001
2021-04-27  21:07,1387068281136160768,m0h1th,60 runs short considering our bowling.. congrats @DelhiCapitals #RCBvsDC,2021-04-27 15:37:03,ನಮ್ಮ ಕರ್ನಾಟಕ,0,0.0,0.3
2021-04-27  21:07,1387068280985165825,Rare22,#RCBvsDC ABD has given another masterclass of his prowess to steer his team out of a tricky situation ! Three great… https://t.co/Wo53eHWg6d,2021-04-27 15:37:03,India,0,0.0,0.0
2021-04-27  21:07,1387068280452444161,yuvrajholics,"RT @ChanChanBing3: WTF happened in last 4 balls? 🤯

ABD you beauty. He is GOAT periodt.🤩

#RCBvsDC",2021-04-27 15:37:03,"New Delhi, India",1,-0.25,0.5333333333333333
2021-04-27  21:07,1387068280204972032,parthkopi,"ABD again! 💎 Gold ⚡

#RCBvsDC",2021-04-27 15:37:03,calling the shots as honcho at,0,0.0,0.0
2021-04-27  21:07,1387068278976118786,VLreload,RT @AvengerReturns: ABD deserves to be captain of RCB. #RCBvsDC,2021-04-27 15:37:02,தெரிஞ்சி என்ன பண்ண போற ,5,0.0,0.0
2021-04-27  21:07,1387068278611136513,D95448238,Kohli's lack of consistency is a matter of concern just before the t20 WC #RCBvsDC,2021-04-27 15:37:02,"भुवनेश्वर, भारत",0,0.0,0.0
2021-04-27  21:07,1387068277482950658,rk_vijay_007,"Another abd magical innings ❤️

#RCBvsDC",2021-04-27 15:37:02,ALONE 😎,0,0.5,1.0
