query = #delhicapitals
event = delhi after 1st over
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  21:42,1387076965543206912,AmanDP1234,RT @cricketaakash: Grave error in calculation...Mishra not finishing his quota in a game he dismissed Maxwell. Stoinis bowling his first ov…,2021-04-27 16:11:33,"New Delhi, India",56,-0.07500000000000001,0.3666666666666667
2021-04-27  21:42,1387076866473746433,ViratianSanjib,"RT @Maxithebigshow: 30 runs opening partnership loading ......

#rcbvsdc #rcb #DelhiCapitals",2021-04-27 16:11:10,"Kolkata, India",3,0.0,0.0
2021-04-27  21:42,1387076859649675279,imanjitsingh07,"Ab Delivers the Storm in Ahmedabad 🌪️🌪️

#DCvRCB #IPL2021 #RCB #DelhiCapitals https://t.co/O0hGBLXWHU",2021-04-27 16:11:08,"उत्तर प्रदेश, भारत",0,0.0,0.0
2021-04-27  21:42,1387076719274651648,Rajesh_pspk3884,"#RishabhPant has been Replacing to #YuvarajSingh knock Today 🔥💪 

@RishabhPant17 😍
@YUVSTRONG12 ♥️

#RCBvsDC… https://t.co/xwvIXz53QL",2021-04-27 16:10:35,"Kurnool, India",0,0.0,0.0
2021-04-27  21:42,1387076696042401796,Randhir36089143,"AB delivers once again deliver for his team. Pleased to watch him(not as a bowler).
#IPL2021 
#DelhiCapitals 
#RCB
#RCBvsDC",2021-04-27 16:10:29,,0,0.5,1.0
2021-04-27  21:42,1387076668196495366,PossibleBuddy,"RT @MopedoBikes: Predict the Man of the Match of today’s match and win assured gift vouchers worth upto ₹500/-. Do not wait anymore, hit co…",2021-04-27 16:10:22,"Kolkata,India",93,0.55,0.25
2021-04-27  21:42,1387076616711413764,imAnkitShar,RT @cricketaakash: Grave error in calculation...Mishra not finishing his quota in a game he dismissed Maxwell. Stoinis bowling his first ov…,2021-04-27 16:10:10,,56,-0.07500000000000001,0.3666666666666667
2021-04-27  21:42,1387076461647908874,Punith98355691,"RT @StarSportsIndia: #RCB finish on 1⃣7⃣1⃣/5⃣! 🎯

What's on Pant's mind right now? 😀 #DCvRCB #RCB #DelhiCapitals #VIVOIPL #IPL2021 https://…",2021-04-27 16:09:33,"Bengaluru, India",17,0.2857142857142857,0.5357142857142857
2021-04-27  21:42,1387076428450045953,mkagrawal78,"RT @mkagrawal78: Can IPL2021 take the challenge to donate money for India covid pandemic 
#Ipl2021donatechallenge
@ANI @ReallySwara @sakshi…",2021-04-27 16:09:25,NewDelhi,1,0.0,0.0
2021-04-27  21:42,1387076419830775812,NisarAn62273657,"RT @StarSportsIndia: #RCB finish on 1⃣7⃣1⃣/5⃣! 🎯

What's on Pant's mind right now? 😀 #DCvRCB #RCB #DelhiCapitals #VIVOIPL #IPL2021 https://…",2021-04-27 16:09:23,,17,0.2857142857142857,0.5357142857142857
2021-04-27  21:42,1387076407021346824,mkagrawal78,"RT @mkagrawal78: Can IPL2021 take the challenge to donate money for India covid pandemic 
#Ipl2021donatechallenge
#CoronavirusIndia 
#Coron…",2021-04-27 16:09:20,NewDelhi,2,0.0,0.0
2021-04-27  21:42,1387076376704872449,vh1ne,"#RCB without @ABdeVilliers17  
.

is as

.
Boob without nipple 

.

#useless 

{
#DCvsRCB #RCBvsDC #DCvRCB  #DelhiCapitals 
}",2021-04-27 16:09:13,"10/1, Star Road, Pochinki ",0,-0.5,0.2
