query = #rcbvsdc
event = delhi after 2nd over
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  21:44,1387077773768871939,stumpnbails,"Andrew Tye Reveals The Main Reason To Pull Out Of The Tournament........................

https://t.co/nB9yP0UUec… https://t.co/WRRnyU55Xw",2021-04-27 16:14:46,,0,0.16666666666666666,0.3333333333333333
2021-04-27  21:44,1387077768291225610,Yasin06908194,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:14:45,தேனி மாவட்டம்..,116,0.5,0.875
2021-04-27  21:44,1387077764289753090,Harshityadav4u,"RT @surey_design: We believe in you @ABdeVilliers17 ❤️🥰 No matter what is the match result 😌 our love is never go down🔻 

@RCBTweets ❤️

#P…",2021-04-27 16:14:44,"Indore, India",132,0.5,0.6
2021-04-27  21:44,1387077758266658817,RJ18_,"RT @ViratFanTrends: Demigod @imVkohli Anna ❤️🙏

#RCBvsDC • #PlayBold • @RCBTweets https://t.co/KEXv9Ezb80",2021-04-27 16:14:42,Tirunelveli,267,0.0,0.0
2021-04-27  21:44,1387077757641793537,PratikL36716064,"RT @meme_ki_diwani: #RCBvsDC
#AbdeVilliers
Forever and always https://t.co/Cndk4KbzYO",2021-04-27 16:14:42,,10,0.0,0.0
2021-04-27  21:44,1387077754533736451,pirarthana_,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:14:41,In her own world ,116,0.5,0.875
2021-04-27  21:44,1387077754252787716,ArpitJ_,"Kaha jate h ye shots international game me @PrithviShaw? 

#DCvRCB #RCBvsDC",2021-04-27 16:14:41,India,0,-0.2,0.2
2021-04-27  21:44,1387077741896294404,08_The_Writer,"RT @soul_shines_: Jai Ho ABD 🙏🙏🙏
Saviour of RCB ♥️

#RCB
#RCBvsDC",2021-04-27 16:14:38,India,1,0.0,0.0
2021-04-27  21:44,1387077738780008449,leleanni,SIR Jadeja has not destroyed the last over in last match but they have destroyed the RCB bowling unit for the rest of the season #RCBvsDC,2021-04-27 16:14:38,india,0,0.0,0.06666666666666667
2021-04-27  21:44,1387077737848786948,vikasjha1996,RT @sanjukta: Among India trends largest number of Tweets are in #Resign_PM_Modi which is trending at no.3 with a whooping 375k Tweets wher…,2021-04-27 16:14:38,"Mumbai, India",5,0.0,0.0
2021-04-27  21:44,1387077736246648834,WEIRDO_DHEER,"RT @akibaliii: Whenever RCB is in trouble.

AB de Villiers : #RCBvsDC https://t.co/3njBmnv5G3",2021-04-27 16:14:37,"Rajasthan, India",15,-0.2,0.2
2021-04-27  21:44,1387077734250160130,Pspk_Niru,"RT @_JSPNaveen: That storm is created by @ABdeVilliers17 🤙

#RCBvsDC #IPL2021",2021-04-27 16:14:37,PawanKalyan's Heart,5,0.0,0.0
2021-04-27  21:44,1387077733247700994,Hrajput_17_,"RT @whyfokowhy: ABD
C is missing ?
C = Class + Consistency ✨
#RCB #RCBvsDC https://t.co/fh8oKGyqRs",2021-04-27 16:14:36,,25,-0.2,0.05
2021-04-27  21:44,1387077730995298306,gangster_troll,"RT @LoyalCSKfan: #ViratKohli fans abusing #aveshkhan on his Instagram post after today's wicket. Irony is that, this FC calls Rohit fans an…",2021-04-27 16:14:36,India,54,0.0,0.0
2021-04-27  21:44,1387077724095778821,pettapugazl,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:14:34,,116,0.5,0.875
2021-04-27  21:44,1387077722321539078,emotionallpanda,"Shaw 🔥🔥
#RCBvsDC #DCvRCB",2021-04-27 16:14:34,"Ahmadabad City, India",0,0.0,0.0
2021-04-27  21:44,1387077719955890177,Hrajput_17_,"RT @therdmeme: #RCBvsDC 

Whenever opening wickets fall early

Ab deVilliers  : https://t.co/FyaREbOZlX",2021-04-27 16:14:33,,9,0.1,0.3
2021-04-27  21:44,1387077703061311497,TiwariSamruddhi,RT @sanjukta: Among India trends largest number of Tweets are in #Resign_PM_Modi which is trending at no.3 with a whooping 375k Tweets wher…,2021-04-27 16:14:29,,5,0.0,0.0
2021-04-27  21:44,1387077698640433157,kichchaa07,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:14:28,,116,0.5,0.875
2021-04-27  21:44,1387077695943573504,thenishantrana,"RT @Shivu_Memes: When every player of your team is performing well in tournament except you-
#RCBvsDC https://t.co/qcnKc3bQmp",2021-04-27 16:14:28,Wakanda ,5,0.0,0.0
2021-04-27  21:44,1387077694400040966,_C_H_A_R_M_I__,"RT @MyLoveVirat18: ABD did his for part for us. Now please bowlers do your part for RCB not for DC 😒😪

#RCBvsDC",2021-04-27 16:14:27,ICTIAN,2,0.0,0.0
2021-04-27  21:44,1387077691233513472,feroze586,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:14:26,,116,0.5,0.875
2021-04-27  21:44,1387077691195543553,NagendraBabu__K,"RT @nabbsbsb17: In case you missed last over of Stoinis
#AbdeVilliers
#RCBvsDC https://t.co/C1xuzgZBU9",2021-04-27 16:14:26,"Hyderabad, India",1,0.0,0.06666666666666667
