query = #rcbvsdc
event = delhi after powerplay
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  22:05,1387082919873810441,urmilpatel30,"Doesn't matter how many people troll RCB sometimes, but IPL would for sure be boring without this team.

#RCBvsDC",2021-04-27 16:35:13,,0,0.0,0.7962962962962963
2021-04-27  22:05,1387082918770601986,Ramya1494_Sam,"RT @onetiponehand02: There is 360° change in Siraj after Australia tour. In his attitude, intention and ofc his bowling. 

Now, I'm sure he…",2021-04-27 16:35:13,Hyderabad,1,0.5,0.8888888888888888
2021-04-27  22:05,1387082918334328836,vjvk06,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:35:13,,175,0.5,0.875
2021-04-27  22:05,1387082916258267136,ItsRahatKhan17,"RT @kichaafan: Best finisher in the world according to 

Online.                          Offline

#RCB #AbdeVilliers #RCBvsDC https://t.co…",2021-04-27 16:35:12,Pakistan,79,1.0,0.3
2021-04-27  22:05,1387082913498288128,suhaniraut15,"RT @im_viratian_: If not padikkal , Kohli delivers

If Not Kohli Maxi delivers

When Everyone fails Devilliers delivers 😎

Well played ABD…",2021-04-27 16:35:11,India,51,-0.5,0.3
2021-04-27  22:05,1387082911770284035,BhaktFan,RT @AvengerReturns: ABD deserves to be captain of RCB. #RCBvsDC,2021-04-27 16:35:11,,91,0.0,0.0
2021-04-27  22:05,1387082888600907778,BetinexchangeI,"DCvsRCB: Decent Start from DC🏏🏏.. DC - 43/2 | 6 overs
.
DC Target 172 Runs
.

.
#RCBvsDC  #YehHaiNayiDilli… https://t.co/2XHChDLPIU",2021-04-27 16:35:06,,0,0.16666666666666666,0.6666666666666666
2021-04-27  22:05,1387082881005092867,Rajj93108176,"RT @Troll_Cinema: Siraj 🤫 strikes 💥

Steven Smith departs! #RCBvsDC",2021-04-27 16:35:04,,7,0.0,0.0
2021-04-27  22:05,1387082876458524674,babakibeti,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:35:03,Harrisonburg VA,175,0.5,0.875
2021-04-27  22:05,1387082874474668035,RealHarshMD,"RT @SeerviBharath: Fastest to 5000 IPL runs in terms of balls faced 

3288 ABD
3554 Warner
3620 Raina
3817 Rohit
3827 Kohli
3956 Dhawan

#A…",2021-04-27 16:35:02,Indian,8,0.0,0.0
2021-04-27  22:05,1387082874239655941,JOSHMS12,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:35:02,"Tamil Nadu, India",175,0.5,0.875
2021-04-27  22:05,1387082871941189636,sassybaby45,This is 9267...17th time ABD @ABdeVilliers17 saved his team!🤷‍♀️🤷‍♀️ #RCBvsDC #IPL2021live #AbdeVilliers,2021-04-27 16:35:02,,0,0.0,0.0
2021-04-27  22:05,1387082870074793987,ItsRahatKhan17,"RT @Kohl_eye: U say AB De Villiers 
           I hear GOD OF RCB 🙏
#RCBvsDC https://t.co/BFcjQ1Hux5",2021-04-27 16:35:01,Pakistan,39,0.0,0.0
2021-04-27  22:05,1387082865523843076,Pawansai143,@DelhiCapitals 43-2 after 6 overs @RCBTweets #rcb #DelhiCapitals #RCBvsDC,2021-04-27 16:35:00, India,0,0.0,0.0
2021-04-27  22:05,1387082861644238852,hj576,"T20 Between RCB and DC
Target by RCB : 171
Runs Scored by DC : 35 for 2  in 5.0 overs
Win Prediction : RCB : 63.32… https://t.co/z042csLtZm",2021-04-27 16:34:59,"راولپنڈی, پاکستان",0,0.8,0.4
2021-04-27  22:05,1387082857395359749,Abhishe70416242,"RT @urmilpatel30: #ABdeVilliers's inning brough storm in Ahmedabad. Real Reason behind the storm! 😂🔥

#RCBvsDC 
https://t.co/LvKxpYUaEd",2021-04-27 16:34:58,जिन्दगी जहाँ ले जाये ,5,-0.15,0.5
2021-04-27  22:05,1387082851795890176,mass_radhe,RT @Abhicricket18: That was an absolutely ripper out-seamer from Siraj miyan. That's just kisses the outside of Steve Smith bat. #RCBvsDC h…,2021-04-27 16:34:57,,2,0.1,0.47500000000000003
2021-04-27  22:05,1387082844145520640,Abhishe70416242,"RT @hugepooja: 5️⃣0️⃣0️⃣0️⃣ IPL RUNS @ABdeVilliers17 

#AbdeVilliers 🔥🔥🔥#RCBvsDC https://t.co/AT0GslFJRl",2021-04-27 16:34:55,जिन्दगी जहाँ ले जाये ,6,0.0,0.0
2021-04-27  22:05,1387082836415496194,babakibeti,RT @Abhicricket18: Can't think of any Batsman play so well like AB Devillers without playing any professional Cricket for 5 months. Only #A…,2021-04-27 16:34:53,Harrisonburg VA,33,0.05,0.55
2021-04-27  22:05,1387082835303944194,KamleshDaheriy7,"RT @betbarter123: Avesh Khan as his best! Sends Virat Kohli back! 

#RCBvsDC #DCvsRCB",2021-04-27 16:34:53,,2,0.5,0.15
2021-04-27  22:05,1387082834653896705,ItsRahatKhan17,"RT @tweetakudu: 5000 runs for ABD in IPL.. congrats genuis @ABdeVilliers17 
#RCBvsDC https://t.co/LNBqb2HPCf",2021-04-27 16:34:53,Pakistan,94,0.0,0.0
2021-04-27  22:05,1387082826260967426,MeghaRoy288,RT @Abhicricket18: Can't think of any Batsman play so well like AB Devillers without playing any professional Cricket for 5 months. Only #A…,2021-04-27 16:34:51,,32,0.05,0.55
2021-04-27  22:05,1387082819227291654,babakibeti,"RT @aakash_lakhia: #RCBvsDC
Carefully, He's a Hero💖
#AbdeVilliers 👑❤️ https://t.co/3mkWrs5s2B",2021-04-27 16:34:49,Harrisonburg VA,50,-0.1,1.0
2021-04-27  22:05,1387082818568658944,bavya0606,"RT @Vinay_Kumar_R: Mr.360, Superman, Saviour what an outstanding player @ABdeVilliers17 Fastest to score 5000 @IPL runs. GOAT #RCBvsDC #IPL…",2021-04-27 16:34:49,,175,0.5,0.875
2021-04-27  22:05,1387082815720759297,Rajj93108176,RT @sekartweets: Legend #AbdeVilliers saves #RCB once again. The last over of #Stoinis has certainly become super expensive for #DC. #RCBvs…,2021-04-27 16:34:48,,35,0.01190476190476189,0.5011904761904762
2021-04-27  22:05,1387082808355540999,srijanipodder,"Agle 3 over me 2wckt milega ki nhi??

#RCBvsDC",2021-04-27 16:34:46,India,0,0.0,0.0
2021-04-27  22:05,1387082796829609984,TarakRajesh9,"RT @tyrion_jon: Give me freedom 
Give me fire 
If not for ABD 
We would be in Assam 
                   ~ Kohli sab via dm 
 AB de villers…",2021-04-27 16:34:44,"Nellore, India",3,0.0,0.0
2021-04-27  22:05,1387082792882769922,IamBXD,"RT @SeerviBharath: Fastest to 5000 IPL runs in terms of balls faced 

3288 ABD
3554 Warner
3620 Raina
3817 Rohit
3827 Kohli
3956 Dhawan

#A…",2021-04-27 16:34:43,"Assam, India",8,0.0,0.0
2021-04-27  22:05,1387082789875376128,suhaniraut15,"RT @tweetakudu: 5000 runs for ABD in IPL.. congrats genuis @ABdeVilliers17 
#RCBvsDC https://t.co/LNBqb2HPCf",2021-04-27 16:34:42,India,94,0.0,0.0
2021-04-27  22:05,1387082780949893126,Adityajakkampud,"RT @urmilpatel30: Everyone was expecting low total from RCB, Then came AB de Villiers. Changed the face of score card. Took charge on Stoin…",2021-04-27 16:34:40,"Hyderabad, India",3,0.0,0.525
2021-04-27  22:05,1387082776222978050,imurstrulyGokul,"ABD and his runs are constant ❤️
He is not a human an alien 😻...
@ABdeVilliers17 🙌

Constant 🤟😊
#RCBvsDC #RCB https://t.co/8V0aO9Ct5k",2021-04-27 16:34:39,,0,-0.0625,0.37916666666666665
2021-04-27  22:05,1387082764881567745,viralvdoz,"IPL 2021, DC vs RCB: Delhi Capitals 43/2 in 6 overs
https://t.co/jhjzdqJ1rQ @IPL @DelhiCapitals @RishabhPant17… https://t.co/m1hkN8uQUb",2021-04-27 16:34:36,"London, UK",0,0.0,0.0
2021-04-27  22:05,1387082753280147457,Strange69304388,RT @rpsingh: The only constant in every IPL is @ABdeVilliers17 . ABD bus naam hi kaafi hai. #DCvRCB #RCBvsDC,2021-04-27 16:34:33,,40,0.0,0.6666666666666666
2021-04-27  22:05,1387082749312344064,AreYarKyaBatau,"RT @akibaliii: Whenever RCB is in trouble.

AB de Villiers : #RCBvsDC https://t.co/3njBmnv5G3",2021-04-27 16:34:32,Kejriwal ke raj me !!ಥ‿ಥ,21,-0.2,0.2
2021-04-27  22:05,1387082743868100609,comedibanda,RT @Umemesh: When a SANDstorm at the stadium reminds you of something 🤡 #RCBvsDC https://t.co/n3ik1Gg98Z,2021-04-27 16:34:31,नशे मे हूँ,1,0.0,0.0
2021-04-27  22:05,1387082743448809475,babakibeti,"RT @kichaafan: Best finisher in the world according to 

Online.                          Offline

#RCB #AbdeVilliers #RCBvsDC https://t.co…",2021-04-27 16:34:31,Harrisonburg VA,79,1.0,0.3
2021-04-27  22:05,1387082702860414976,Rezaahm20162243,"RT @ViratFanTrends: Demigod @imVkohli Anna ❤️🙏

#RCBvsDC • #PlayBold • @RCBTweets https://t.co/KEXv9Ezb80",2021-04-27 16:34:21,,276,0.0,0.0
2021-04-27  22:05,1387082701497270278,thenishantrana,"RT @Milthalishindh1: #RCBvsDC #hanumanjanmotsav @ABdeVilliers17
AB De Villers is a Hanuman ji of RCB*",2021-04-27 16:34:21,Wakanda ,2,0.0,0.0
2021-04-27  22:05,1387082688092196868,Rohitarjun_,"RT @meme_ki_diwani: #RCBvsDC
#AbdeVilliers
Forever and always https://t.co/Cndk4KbzYO",2021-04-27 16:34:18,,31,0.0,0.0
2021-04-27  22:05,1387082685584089088,prasadbhagat007,RT @sportsflashes: Its not surprising to see @BCCI writing to all #IPL players &amp; taking responsibility of safely sending them back at end o…,2021-04-27 16:34:17,"Nanded, India",1,0.05000000000000001,0.3333333333333333
2021-04-27  22:05,1387082684166402048,ShantipriyaMah5,RT @sanjukta: Among India trends largest number of Tweets are in #Resign_PM_Modi which is trending at no.3 with a whooping 375k Tweets wher…,2021-04-27 16:34:17,,26,0.0,0.0
2021-04-27  22:05,1387082682400575495,Satishf5,"RT @ItzpoppinSk: Mr.360 finish to 75*(42)🥰

One of greatest batsman 🏏

#AbdeVilliers
#RCBvsDC https://t.co/YAWwCSfSOM",2021-04-27 16:34:16,,17,1.0,1.0
2021-04-27  22:05,1387082680345325574,jujare_sai,"RT @surey_design: We believe in you @ABdeVilliers17 ❤️🥰 No matter what is the match result 😌 our love is never go down🔻 

@RCBTweets ❤️

#P…",2021-04-27 16:34:16,"Andhra Pradesh, India",135,0.5,0.6
2021-04-27  22:05,1387082663102619655,cricketesque,no quick singles pls dc #RCBvsDC,2021-04-27 16:34:12,Privileges,0,-0.16666666666666666,0.5
2021-04-27  22:05,1387082659591983105,Abhishe70416242,"RT @Allu_Ajith1: The Real Dark Horse of RCB 🙏
@ABdeVilliers17 #Rcb #RcbvsDc 
#AbdeVilliers #RcbvDC #ABD https://t.co/4Myk3LRsm5",2021-04-27 16:34:11,जिन्दगी जहाँ ले जाये ,1,-0.22499999999999998,0.6000000000000001
2021-04-27  22:05,1387082654193885187,Barath_Tvf,"RT @Itz_MahiVFC: Whenever RCB is in trouble.

AB de Villiers : #RCBvsDC
#Master #Rcb #PlayBold https://t.co/R2U14fibJ7",2021-04-27 16:34:10,In VJ ❤️,7,-0.2,0.2
2021-04-27  22:05,1387082648435101697,menve_s,"RT @newtons_hu: #RCBvsDC #DCvRCB 
RCB with V/s without #AbdeVilliers https://t.co/ZZ6IpZ6x5u",2021-04-27 16:34:08,India,2,0.0,0.0
2021-04-27  22:05,1387082645838831618,Ramya1494_Sam,"RT @Recipr0cated: Why Washington Sundar is labelled as 'all rounder' in IPL playing XI??
He can't even bat like a proper batsman,
don't sco…",2021-04-27 16:34:08,Hyderabad,2,0.0,0.1
2021-04-27  22:05,1387082614138232834,JitRo45,"Every times a chance of Run Out when these two batting..

#RCBvsDC",2021-04-27 16:34:00,Kolkata ,0,0.0,0.0
2021-04-27  22:05,1387082611844022273,Abhishe70416242,"RT @BrainBuster8: 2115) Which nature cycle is affected by the blaze of flames?

(a) Phosphorus cycle
(b) Carbon cycle
(c) Nitrogen cycle
(d…",2021-04-27 16:34:00,जिन्दगी जहाँ ले जाये ,1,0.0,0.0
2021-04-27  22:05,1387082610132799496,shalini84616530,"RT @nobitaAARYAN: God of Ipl for me - Ab de Villiers❤

That's it that's the tweet.

#RCBvsDC https://t.co/hxKDgJYZc8",2021-04-27 16:33:59,"Uttar Pradesh, India",23,0.0,0.0
2021-04-27  22:05,1387082606886408195,ItsRahatKhan17,"RT @istormbreaker__: RCB with ABD                       Without ABD
#RCBvsDC https://t.co/vTNIvZgPea",2021-04-27 16:33:58,Pakistan,43,0.0,0.0
2021-04-27  22:05,1387082579875147776,Iamkumaranoop,Mighty and tall jamieson and shandar siraj removed dhawan and smith respectively. What a start for RCB #RCBvsDC,2021-04-27 16:33:52,India,0,0.2,0.5
