query = #rcbvsdc
event = delhi after 18 overs
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-27  23:07,1387098659234357251,Believer_17M,"If you miss those catches, you can not ask for winning games! #RCBvsDC @devdpd07 @RCBTweets",2021-04-27 17:37:46,"Purulia, West Bengal",0,0.625,0.75
2021-04-27  23:07,1387098648773726213,xSophyy,This is why you don't drop Hetmyer's catch. The amount of stress this team gives me!!! #RCBvsDC,2021-04-27 17:37:43,"Bangalore, India",0,0.0,0.0
2021-04-27  23:07,1387098646240395266,rg_pavan,"#Hetmyer attacking.. will be twist now ??

@RCBTweets #RCBvsDC #RCB #IPL2021",2021-04-27 17:37:42,"Hyderabad, India",0,0.0,0.0
2021-04-27  23:07,1387098632092934145,leleanni,Hetmyer will steal this one  #RCBvsDC,2021-04-27 17:37:39,india,0,0.0,0.0
2021-04-27  23:07,1387098629488316416,Muralistweetz2,"Love to see a westindian hit sixes... They are made for it...
#Hetmyer #RCBvsDC #IPL2021",2021-04-27 17:37:38,,0,0.5,0.6
2021-04-27  23:07,1387098629140328452,vidhatreeee,Tf you doing Jamieson😟 #rcbvsdc,2021-04-27 17:37:38,"Nijmegen, Nederland",0,0.0,0.0
2021-04-27  23:07,1387098627038875648,AnushkaSen_0401,"RT @sumaiyashaikh49: Wicket le lo yaar😭😭

#RCBvDC #RCBvsDC",2021-04-27 17:37:38,,2,0.0,0.0
2021-04-27  23:07,1387098618952183809,memewalabapu,"When you saw her without makeup
#RCBvsDC https://t.co/19Hyv3HDPB",2021-04-27 17:37:36,,0,0.0,0.0
2021-04-27  23:07,1387098609905135619,AngelicAnjalii,"I wish that drop by Paddikal shouldn't haunt him much... Thats only possible with departure of Hetmyer asap!
#AbdeVilliers #RCBvsDC",2021-04-27 17:37:34,,0,0.06666666666666667,0.7333333333333334
2021-04-27  23:07,1387098597846503433,SportsUnplugge1,@RishabhPant17 will learn from this.. hasn't pulled the trigger today but took the game deep #IPL2021 #RCBvsDC,2021-04-27 17:37:31,,0,-0.2,0.4
2021-04-27  23:07,1387098597020168192,Beingssandip,"Thriller loading 🥳
#RCBvsDC",2021-04-27 17:37:31,"Kolkata, India",0,0.0,0.0
2021-04-27  23:07,1387098566250749952,PaiSmoke,"RT @PaiSmoke: AB DeVilliers has officially taken over as the BEST FINISHER in the World!!!! 🔥🔥

Please Play for South Africa in the world C…",2021-04-27 17:37:23,,11,1.0,0.3
2021-04-27  23:07,1387098535011643394,leleanni,Match gone  #RCBvsDC,2021-04-27 17:37:16,india,0,0.0,0.0
2021-04-27  23:07,1387098523225575424,RudraPr53514061,"Hetmyer winning it for DC at the moment..... 
#RCBvsDC",2021-04-27 17:37:13,India,0,0.5,0.75
2021-04-27  23:07,1387098522382528513,keshavcric,"Hetmyer is here 🔥💪
2 sixes and DC will be on the driving seat.

#RCBvsDC #IPL2021",2021-04-27 17:37:13,"Bikaner, India",0,0.0,0.0
2021-04-27  23:07,1387098520637763587,KicchanaDarbar,"RT @Kichchacreatiin: Best wishes to team @RCBTweets for the game today.... #MatchDay #RCBvsDC 

@KicchaSudeep @iampriya06 @StarSportsKan @B…",2021-04-27 17:37:13,,219,0.3,0.35
2021-04-27  23:07,1387098484122128388,tweet2NANsense,"RT @aakash_lakhia: #RCBvsDC
Carefully, He's a Hero💖
#AbdeVilliers 👑❤️ https://t.co/3mkWrs5s2B",2021-04-27 17:37:04,beside neighbour's home ,89,-0.1,1.0
2021-04-27  23:07,1387098477885366277,Anjali_vk_18,"Wicket?? 😭😭
#RCBvsDC",2021-04-27 17:37:02,,0,0.0,0.0
2021-04-27  23:07,1387098476865941505,PratyushRohra18,Go on Hetty! It's your time to shine! #IPL2021 #RCBvsDC,2021-04-27 17:37:02,"Mumbai, India",0,0.0,0.0
2021-04-27  23:07,1387098473451851784,choudhuridarpan,‘That’s the most exotic single you’ll ever see’😂😂😂...just how good is @bhogleharsha #RCBvsDC,2021-04-27 17:37:01,"Bengaluru, India",0,0.40714285714285714,0.5785714285714285
2021-04-27  23:07,1387098470981439497,dancerdaww,"RT @Peace25666743: Hetmeyer nee avathey hitmeyer 

RCB podathey full toss 

Namaku than loss 

🙄🥺🏃🏃😏

#RCBVSDC 
#Valimai",2021-04-27 17:37:01,😼,1,0.35,0.55
2021-04-27  23:07,1387098436290301953,seriousshailesh,"Going going gone😮😮
#RCBvsDC",2021-04-27 17:36:52,Nuwakot ,0,0.0,0.0
2021-04-27  23:07,1387098431470989315,sehgalpalak1,RT @Jayharia0506: rcb bowlers not learning from the mistakes they did in last game against jadeja... bowling outside off stump to left hand…,2021-04-27 17:36:51,,1,-0.1,0.12916666666666668
2021-04-27  23:07,1387098430556676099,barvi_fail,"RT @memegineers_: #RCBvsDC
AB de Villiers always delivers 🔥 https://t.co/J0yL02jbeT",2021-04-27 17:36:51,,43,0.0,0.0
2021-04-27  23:07,1387098414467325954,bksureshro,"#RCBvsDC
I'm still hopeful that #DC will win coz harshal patel has got one more over, 36+ guaranteed 
😁😁 #DCvRCB",2021-04-27 17:36:47,Subtle Zone,0,0.65,0.45
2021-04-27  23:07,1387098406372270082,selenaaxoned,"@NiallOfficial BUDDY U JOIN US TOO OKAY?? ITS GREATT I SWEAR 
AND SUPPORT RCB PLS ELSE ILL JUST 😃

#RCBvsDC #RCB https://t.co/aOZQihS7YF",2021-04-27 17:36:45, ot5•larrie•17•she/her,0,0.0,0.75
2021-04-27  23:07,1387098393562861568,hey_vishu_24,RCB take the wicket of Hetmayer and win the match #rcb #RCBvsDC #IPL2021,2021-04-27 17:36:42,"Punjab, India",0,0.8,0.4
2021-04-27  23:07,1387098392602451973,saadharan_ladka,"RT @munna_30_: #RCBvsDC
Where AB de Villiers can hit the ball? https://t.co/FAD7TohZOt",2021-04-27 17:36:42,,51,0.0,0.0
2021-04-27  23:07,1387098389632884736,barvi_fail,"RT @TrollerBabua: #RCBvsDC
DC team management while seeing Harshal Patel's bowling against DC https://t.co/qYrUugJTRC",2021-04-27 17:36:41,,7,0.0,0.0
2021-04-27  23:07,1387098382934622220,laughtercoridor,"Pant is doing a KL Rahul today 😬
#RCBvsDC #IPL",2021-04-27 17:36:40,,0,0.0,0.0
2021-04-27  23:07,1387098363435225088,Arjun74473712,"Hate-Myer to Hit-Myer.

#DCvRCB #RCBvsDC  #IPL2021",2021-04-27 17:36:35,,0,0.0,0.0
2021-04-27  23:07,1387098361493278720,Jayharia0506,rcb bowlers not learning from the mistakes they did in last game against jadeja... bowling outside off stump to left hander #RCBvsDC,2021-04-27 17:36:35,,1,-0.1,0.12916666666666668
