query = #csk
event = longtime tweets
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-29  11:45,1387651789135228928,scoopadda20,"IPL 2021: KKR's Dinesh Karthik has a Message for fans about Coronavirus ... 
Video: https://t.co/04UgsnoXYh… https://t.co/BtYsHTyg5Y",2021-04-29 06:15:42,,0,0.0,0.0
2021-04-29  11:45,1387651782046666758,shadowkinggokul,"RT @Itz_Harrish: Which Opener Do you Like!! 🙏🏻 #CSK | #RCB

Rutu - 🔁             Padikkal -❤️ https://t.co/YM5gW7vKvT",2021-04-29 06:15:40,செவ்வாய்கிரகம்,986,0.0,0.0
2021-04-29  11:45,1387651777252630538,LalitMo95613184,"RT @vikrantgupta73: One of the better readers of the game, MS Dhoni won't let this IPL slip away from his hands #CSK @ChennaiIPL",2021-04-29 06:15:39,,1159,0.04999999999999999,0.45
2021-04-29  11:45,1387651772089516035,DumfriesCricket,"RT @SkyCricket: 💥 BOWLED 'IM! 💥

Rashid Khan strikes, ending Gaikwad's brilliant 75 off 44 balls. Moeen Ali in at three. #CSK 129-1 off 13…",2021-04-29 06:15:38,Nunholm Road Dumfries Scotland,2,0.9,1.0
2021-04-29  11:45,1387651748064493570,timesofindia,"RT @toisports: #IPL2021: Changes around attitude reason for @ChennaiIPL's turnaround, says @SPFleming7  

READ: https://t.co/Cjfffiq4e4 

#…",2021-04-29 06:15:32,New Delhi,4,0.0,0.0
2021-04-29  11:45,1387651747020042242,Sridhar84479687,"RT @Itz_Harrish: Which Opener Do you Like!! 🙏🏻 #CSK | #RCB

Rutu - 🔁             Padikkal -❤️ https://t.co/YM5gW7vKvT",2021-04-29 06:15:32,,986,0.0,0.0
2021-04-29  11:45,1387651745552031749,kettapaya__N,"RT @CSKFansOfficial: Super Kings 🤝 Yellove!💛

#dhonWhistlePodu #IPL2021 #CSK https://t.co/1P3D3FEc4z",2021-04-29 06:15:32,,43,0.3333333333333333,0.6666666666666666
2021-04-29  11:45,1387651724836360194,vasanthkrish2k7,RT @bhogleharsha: This wasn't just two more points for #CSK. It was a message to everyone else of their growing might in this year's #IPL.,2021-04-29 06:15:27,,928,0.5,0.5
2021-04-29  11:45,1387651706247270403,vaishuk11,"RT @vikrantgupta73: One of the better readers of the game, MS Dhoni won't let this IPL slip away from his hands #CSK @ChennaiIPL",2021-04-29 06:15:22,"Baramati , Maharashtra,India.",1159,0.04999999999999999,0.45
2021-04-29  11:45,1387651674362179586,afonzriyas,"RT @Cricketracker: CSK and RCB in IPL 2021 points table.🤜🤛

#CSKvSRH #CSK #SRH #IPL #IPL2021 #CricTracker https://t.co/G0OD8mKMKi",2021-04-29 06:15:15,அம்மா அப்பா இதயத்தில் ❤️,1269,0.0,0.0
