query = #dcvskkr
event = 2021-04-29-20-49-23
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-29  20:49,1387788515002437635,OneCricketApp,"Lalit Yadav, who came in place of Amit Mishra, reaped rich rewards for his side, by picking up two prized wickets i… https://t.co/QMDc34x0v3",2021-04-29 15:19:00,India,0,0.375,0.75
2021-04-29  20:49,1387788472820199428,way2winin,"#IPL2021 #Cricket 🏏 @IPL 

April 29, 2021 @ 15:30 🕞 IST @IPL #IPL 

#KKR vs #DC🏆👍

DC Toss 👍 Bowl

KKR 105-5 Overs… https://t.co/dYVrpmC7cu",2021-04-29 15:18:50,US 🇺🇸EU 🇪🇺UK 🇬🇧IN 🇮🇳 ,0,0.0,0.0
2021-04-29  20:49,1387788357237833731,Saksham0323,3 overs of avesh and rabada left again stoinis will have to bowl one over.another tactical blunder by pant? @cricketaakash  #DCvsKKR,2021-04-29 15:18:22,,0,0.0,0.0
2021-04-29  20:49,1387788318247505921,Outlookindia,"#DC  vs #KKR , #IPL  2021, Live Cricket Scores: Avesh Khan Gets Shubman Gill To Rattle KKR (95/5 in 15 overs)  
Get… https://t.co/tWxKAA7wMj",2021-04-29 15:18:13,"New Delhi, India",0,0.13636363636363635,0.5
2021-04-29  20:49,1387788160717914112,bharatmatrimony,High expectations #IPLHumour #DCvsKKR #KKRvsDC #DC #KKR #IPL2021 #Cricket #IPL https://t.co/DtZlRwCtaL,2021-04-29 15:17:36,India,0,0.16,0.5399999999999999
2021-04-29  20:49,1387788124248440840,republic_sports,"Andre Russell breaks the shackles, smashes his first six of the night. Catch #DCvsKKR LIVE updates here-

https://t.co/1LMeD0CAq8",2021-04-29 15:17:27,"Mumbai, India",0,0.19318181818181818,0.41666666666666663
2021-04-29  20:49,1387788092073930754,CaughtOut_in,"Shubham Gill departs.

KKR - 103/5 (15.2)

#kkr #KKRHaiTaiyaar #kolkataknightriders #andrerussell #eoinmorgan… https://t.co/TgFQlezNP4",2021-04-29 15:17:19,,0,0.0,0.0
2021-04-29  20:49,1387788029977264133,GulfNewsSport,"SIX. It's Russell's turn now. Swings Ishant over midwicket

#DCvsKKR #IPL2021 @gulf_news @ShyamKris_… https://t.co/P1fr9wgxj4",2021-04-29 15:17:04,United Arab Emirates,0,0.0,0.0
2021-04-29  20:49,1387788020296798208,CricNeelabh,"6000 T20 runs for the Birthday boy Andre Russell, one of the greatest ever. Carribeans &amp; T20 &amp; Sixes &amp; Runs - A nev… https://t.co/PZtTTI4mMO",2021-04-29 15:17:02,"Ludhiana, India",0,1.0,1.0
2021-04-29  20:49,1387787922452017152,CaughtOut_in,"Divided by team, United by sportsmanship ❤️

KKR: 97/5 (15.1)

#kkr #KKRHaiTaiyaar #kolkataknightriders… https://t.co/e23XZu2Nbf",2021-04-29 15:16:39,,0,0.0,0.0
2021-04-29  20:49,1387787866516774912,AnitaYa05853817,"RT @NetMeds: Netmeds Home League #ContestAlert🏏

500 lucky winners who comment &amp; choose to do the right thing will win a Rs. 100 Netmeds vo…",2021-04-29 15:16:25,India,16,0.47301587301587306,0.5896825396825397
2021-04-29  20:49,1387787850939207684,AnitaYa05853817,"@NetMeds Verify the information via official sources.
 @NetMeds 
#NetmedsHomeLeague #ContestAlert #DCvsKKR… https://t.co/v8nQjbTsSw",2021-04-29 15:16:22,India,0,0.0,0.0
