query = #mivsrr
event = After power play
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-29  15:58,1387715455029170179,RRanalyst,Wicket less power play its been a while #MIvsRR,2021-04-29 10:28:41,,0,-0.16666666666666666,0.06666666666666667
2021-04-29  15:58,1387715445243797505,mykhelcom,"Rajasthan Royals donate Rs 7.5 crore towards COVID-19 relief #RoyalsFamily #rajasthanroyals #IPL2021 #MIvsRR

https://t.co/b9iOApxjs9",2021-04-29 10:28:39,Bengaluru,0,0.0,0.0
2021-04-29  15:58,1387715445147328512,being_samrat_,"my prediction, final score of #RR 
175-180 #MIvsRR",2021-04-29 10:28:39,"Maharashtra, India",0,0.0,1.0
2021-04-29  15:58,1387715442899259393,CricketNDTV,"After 6 overs, RR are 47 without loss. A steady start by Buttler and Jaiswal after some struggle in the first two o… https://t.co/0YIOpN4fo1",2021-04-29 10:28:38,India,0,0.20833333333333331,0.41666666666666663
2021-04-29  15:58,1387715442555244544,Abhithecomic,Krunal Pandya shouting at Rohit Sharma for not giving him an over in the powerplay!!!! #MIvsRR #RRvMI https://t.co/oBx1s3i6IY,2021-04-29 10:28:38,,0,0.0,0.0
2021-04-29  15:58,1387715436783955968,Suresh55017093,RT @s_badrinath: Battle of B’s #MIvsRR tweeted by a B 😁 🤷🏻‍♂️,2021-04-29 10:28:37,"Tamil Nadu, India",5,0.0,0.0
2021-04-29  15:58,1387715432845479937,Maheshhh25,"Jaiswal You Beauty 🤩!

#MIvsRR #RR",2021-04-29 10:28:36,Chennai ,0,0.0,0.0
2021-04-29  15:58,1387715426881212421,Swabhiman20,"Whenever It's a Match between #MIvsRR... 
It's a Jos bhai:- The BOSS time💙🔥
#HallaBol
#RoyalsFamily 
@rajasthanroyals  
@josbuttler 💗",2021-04-29 10:28:34,Bharat🇮🇳,0,0.0,0.0
2021-04-29  15:58,1387715424679198722,Sumanthr10R,"RT @MohitRohitian: ""What other Cricketers and legends Said About Rohit Sharma""

📌📌📌A Thread 📌📌📌

@ImRo45 #RohitSharma #MIvsRR #RRvsMI https…",2021-04-29 10:28:34,"Banashankari, Bengaluru South",76,-0.125,0.375
2021-04-29  15:58,1387715395813994499,kukreja_ravii,"This is the first time RR hasn't lost a single wicket in powerplay overs 🔥

#hallabol #MIvsRR",2021-04-29 10:28:27,"Akola, India",0,0.08928571428571429,0.2738095238095238
2021-04-29  15:58,1387715384594157572,Bullesh1,"RT @JaaNu_ABD17: #RR score will be 155
And #MI will chase it in 18 overs.. #MIvsRR",2021-04-29 10:28:24,,1,0.0,0.0
2021-04-29  15:58,1387715376377581568,betting_adda1,"as per analysis MI reduced the speed of RR...between 4:02 to 4:54 ..whoever dominate will come back in end and win.
#IPL2021 #MIvsRR #rrvsmi",2021-04-29 10:28:22,,0,0.4,0.2
2021-04-29  15:58,1387715369482153989,godsowntalk,RT @PINCInsurance: Pick the man! Predict the man of the match in the MUMBAI INDIANS Vs RAJASTHAN ROYALS match at 3.30 pm. Tweet and retweet…,2021-04-29 10:28:21,India,112,0.0,0.0
2021-04-29  15:58,1387715369318690817,ArJunMohanan13,"RT @VivegamAKthala: Who will win Today's First Match 🤔🤔
Mi or Rr

#MIvsRR 💥

Mine - MI   #Valimai",2021-04-29 10:28:21,"Trivandrum, India",1,0.525,0.3666666666666667
2021-04-29  15:58,1387715345830465541,Deb22dn,"WEAR MASK, STAY SAFE, REGISTER FOR VACCINATION &amp; GET VACCINATED..
#MIvsRR",2021-04-29 10:28:15,"Silchar, India",0,0.5,0.5
2021-04-29  15:58,1387715343431262212,TuzyaAichaGavat,RT @s_badrinath: Battle of B’s #MIvsRR tweeted by a B 😁 🤷🏻‍♂️,2021-04-29 10:28:15,"राजस्थान, भारत",5,0.0,0.0
2021-04-29  15:58,1387715322514264066,Viratkohli18f_c,"Feels good to see future of India In such Good form 

@devdpd07 - #RCB 
@PrithviShaw - #DelhiCapitals 
@Ruutu1331 -… https://t.co/LEbI4IhuDJ",2021-04-29 10:28:10,,0,0.35,0.45625000000000004
2021-04-29  15:58,1387715311961403392,MaulikVadariya,This is not our year and we not even qualify also I feel now. So just enjoy positive like Rohit and sky batting. #MIvsRR,2021-04-29 10:28:07,"Vadodara, India",0,0.31363636363636366,0.5227272727272727
2021-04-29  15:58,1387715303258296321,punith38145781,"RT @LMKMovieManiac: #MI wins the toss and will field first

#RR to bat first

#MIvsRR at New Delhi

#IPL2021 double-header day begins",2021-04-29 10:28:05,,13,0.2340909090909091,0.3303030303030303
2021-04-29  15:58,1387715286850101248,ItzProfessor,"RT @itz_RaghulVJ45: Buttler Start Pannitan doiii😫😫

#MIvsRR",2021-04-29 10:28:01,"Bengaluru, India",2,0.0,0.0
2021-04-29  15:58,1387715234719170565,Aitheyenti2,"Come on Yashasvi 🤷‍♂️😍 #MIvsRR 🏏

A 6⃣ and 4⃣",2021-04-29 10:27:49,,0,0.0,0.0
2021-04-29  15:58,1387715227169349641,SalmanAhmadBB,"RT @ProfessorDinda: Coulter flowing like Nile.😶

#MIvsRR",2021-04-29 10:27:47,India,1,0.0,0.0
2021-04-29  15:58,1387715226716434433,Gareeb_areeb,"I think this is for the first time RR survived powerplay without giving a wicket. INCREDIBLE!! 
#RR #MIvsRR",2021-04-29 10:27:47,,0,0.625,0.6166666666666667
2021-04-29  15:58,1387715219045113861,BetinexchangeI,"MI vs RR - 24th Match, Good Start: RR - 46/0 ...6 Overs
.

.
#MIvsRR #HallaBol #RoyalsFamily #OneFamily… https://t.co/oeZ5f2hSga",2021-04-29 10:27:45,,0,0.7,0.6000000000000001
2021-04-29  15:58,1387715206990614536,Crichrx,"#RR First time after 2019 Wicket less In Power play! 

#IPL2021 #MIvsRR",2021-04-29 10:27:42,,0,0.020833333333333343,0.19999999999999998
2021-04-29  15:58,1387715198018985995,Ibrahim_elat,"Poweplay done.#RR going well. Its 47/0 now.
#IPL2021
#MIvsRR",2021-04-29 10:27:40,"Kerala, India",0,0.0,0.0
2021-04-29  15:58,1387715189080875012,Ankujain07,Wow.. that's sheer talent Yashwavi Jaishwal... #MIvsRR,2021-04-29 10:27:38,,0,0.05,0.875
2021-04-29  15:58,1387715173079650306,learnzonepluss,"RR got a good start , Butler got a blazing start and Jaiswal proving he is no bunny either....

#MIvsRR https://t.co/v0R26Zcha4",2021-04-29 10:27:34,,0,0.7,0.6000000000000001
2021-04-29  15:58,1387715172253376516,sayam_raheja,Another wicket less Power play for the #mi !! They have been below average this season!! Safe to say - this is not… https://t.co/8Kcqh2zSv9,2021-04-29 10:27:34,"Hisar, India",0,0.0017361111111111234,0.3222222222222222
2021-04-29  15:58,1387715161666973698,Vinayak__45,"This is first RR has haven't lost wicket in Powerplay since 2019 season.  Always bring there best game against MI.

#MIvsRR",2021-04-29 10:27:31,Pune,0,0.2833333333333333,0.3444444444444444
2021-04-29  15:58,1387715158814773250,MohanIvent1,RT @Itz_MersalImran: Test Match Is Begin 3.30Pm Today #MIvsRR 😒,2021-04-29 10:27:31,,11,0.0,0.0
2021-04-29  15:58,1387715156667293703,Suryanshkumar64,"RT @Shebas_10dulkar: Just a Positive stat!

Under Rohit's Captaincy, MI never Lost against RR (While Chasing)

Hope Today 🤞

#MIvsRR",2021-04-29 10:27:30,,33,0.28409090909090906,0.5454545454545454
2021-04-29  15:58,1387715155509661699,santu_pspk,"match no 24
#MIvsRR 
My prediction #RR",2021-04-29 10:27:30,"Kakinada, India",0,0.0,0.0
2021-04-29  15:58,1387715153316167684,cric_talking,"I hope you all know about this stat. Jos. 😥
#MIvsRR https://t.co/lcyC2zwo4T",2021-04-29 10:27:29,Twitter,0,0.0,0.0
2021-04-29  15:58,1387715150862381064,hamras_mohammed,"RT @FilterIndians: #MIvsRR #IPL2021 

#OneReview - https://t.co/vvj5fFfhw0

Watched #OneMovieOnNetflix expected story but the initial setup…",2021-04-29 10:27:29,,1,-0.05,0.2
2021-04-29  15:58,1387715149083996160,santhosh_prn,"Ishan Kishan dropped. 
But sad that Tiwary did not get a chance. 

#MIvsRR #RRvMI https://t.co/5TxcR4euIv",2021-04-29 10:27:28,WFH ,0,-0.5,1.0
2021-04-29  15:58,1387715137608376324,RichardJerin,"what a confidant shot from Jaiswal. a 77m six from the 19 years old guy😍

#MIvsRR",2021-04-29 10:27:25,,0,0.1,0.2
2021-04-29  15:58,1387715133367934981,Joshya2306,"Suprising to see Jimmy Neesham not given a chance yet by #MI
He brings everything to the field- batting/bowling/fie… https://t.co/Icnp4KXg7q",2021-04-29 10:27:24,"Mumbai, India",0,0.0,0.0
2021-04-29  15:58,1387715121011515394,Abhinav4517,"47-0 in powerplay
200+ loading for rr😓
#MumbaiIndians #mi #rajasthanroyals #rr #MIvsRR #IPL2021",2021-04-29 10:27:22,"Ghaziabad, India",0,0.0,0.0
2021-04-29  15:58,1387715101554200576,TheAditya49,"Nice hit by @yashasvi_j   

#yashashvi_jaiswal
#MIvsRR 
#IPL2021",2021-04-29 10:27:17,,0,0.6,1.0
2021-04-29  15:58,1387715095023652865,Chakara00674244,"RT @Shebas_10dulkar: Just a Positive stat!

Under Rohit's Captaincy, MI never Lost against RR (While Chasing)

Hope Today 🤞

#MIvsRR",2021-04-29 10:27:15,,33,0.28409090909090906,0.5454545454545454
2021-04-29  15:58,1387715055953727490,StutiBiyani3,"My lil sis painted this for today's #MIvsRR match and ik it's bad and literally opposite but the gesture 🥺

My sist… https://t.co/V3I6TNO7vh",2021-04-29 10:27:06,,0,-0.3499999999999999,0.3333333333333333
2021-04-29  15:58,1387715051134459908,CoverDrivenFor4,"Rajasthan Royals and a strong start in the Power play. 

Interesting times ahead... 

#MI #RR #MIvsRR",2021-04-29 10:27:05,"Kolkata, India",0,0.4666666666666667,0.6166666666666667
2021-04-29  15:58,1387715049985167361,Bollywoodventu,"This is First Time After 2019...

RR Has Gone Wicket Less in Powerplay....

2 Overs Boult
2 Overs Bumrah
1 Jayant
1… https://t.co/JZgT86NPJO",2021-04-29 10:27:05,,0,0.04166666666666667,0.19999999999999998
2021-04-29  15:58,1387715049444151302,ProfessorDinda,"Coulter flowing like Nile.😶

#MIvsRR",2021-04-29 10:27:04,,1,0.0,0.0
2021-04-29  15:58,1387715035145719808,swapnaliwagh1,"@PrimeCaptain1 DELHI CAPITAL WILL WIN

@PrimeCaptain1 👑
 #MIvsRR 
#PrimeCaptain #AbKhelegaIndia #PCPL #BigWin… https://t.co/JfCm4LElXA",2021-04-29 10:27:01,Jogeshwari ,0,0.8,0.4
2021-04-29  15:58,1387715020557938690,THE_JESH15,"RT @BOBBYPawanist: After 5 matches Chasing 🥳

#MI #IPL2021 #MIvsRR 
@mipaltan | @ImRo45",2021-04-29 10:26:58,,2,0.0,0.0
2021-04-29  15:58,1387715015885479940,Rohith11510615,"Come on Yashasvi 🤷‍♂️😍 #MIvsRR 🏏

A 6⃣ and 4⃣",2021-04-29 10:26:56,,0,0.0,0.0
2021-04-29  15:58,1387715010349060098,KsbjhA,RT @s_badrinath: Battle of B’s #MIvsRR tweeted by a B 😁 🤷🏻‍♂️,2021-04-29 10:26:55,,5,0.0,0.0
2021-04-29  15:58,1387714992565198854,SalmanAhmadBB,RT @CSKian716: Buttler itni mehnat kar ke ready to give his wicket for a single. Sin man. #MIvsRR,2021-04-29 10:26:51,India,2,0.0642857142857143,0.35714285714285715
2021-04-29  15:58,1387714992263237634,ROHITFANNAYAK,"Rajasthan Royal always strong against MI 😔
#MIvsRR",2021-04-29 10:26:51,"Surat, India",0,0.4333333333333333,0.7333333333333333
2021-04-29  15:58,1387714989041930242,Aniket180201,"RT @UshaPlay: It's been a long week but @mipaltan are back on the field 🏏💙
Are you excited? 

#UshaPlay #mi #MumbaiIndians #OneFamily #MIPa…",2021-04-29 10:26:50,"Mumbai, India",11,0.10833333333333334,0.3833333333333333
2021-04-29  15:58,1387714951364501507,ssjsid,Rohit won the toss and chose to chase. #RR  have managed to get to 47-0 in 6 overs. Both openers are looking to att… https://t.co/RyEh3CG7o2,2021-04-29 10:26:41,India / Sri Lanka,0,0.0,0.0
2021-04-29  15:58,1387714950781538307,IAbraham007,"@JimmyNeesh should Have Taken In Place of #coulterNile
#MIvsRR #MIPaltan",2021-04-29 10:26:41,"Ahmadabad City, India",0,0.0,0.0
2021-04-29  15:58,1387714945836457986,KarunaSK45,"RT @Shebas_10dulkar: Just a Positive stat!

Under Rohit's Captaincy, MI never Lost against RR (While Chasing)

Hope Today 🤞

#MIvsRR",2021-04-29 10:26:40,"Ramanathapuram,TamilNadu",33,0.28409090909090906,0.5454545454545454
2021-04-29  15:58,1387714943965745155,Cricket_Trolls1,"Yashashvi hiting counter Nile 👏👏
#RR #MIvsRR",2021-04-29 10:26:39,India,0,0.0,0.0
2021-04-29  15:58,1387714942548074497,GlobalCricket6,Wow.. that's sheer talent Yashwavi Jaishwal... #MIvsRR,2021-04-29 10:26:39,Somewhere In This Planet,0,0.05,0.875
2021-04-29  15:58,1387714934516027392,Nononsensezind1,Ur view on dropping Ishan kishan? #MIvsRR,2021-04-29 10:26:37,,0,0.0,0.0
2021-04-29  15:58,1387714931911380993,viralvdoz,"IPL 2021, MI vs RR: Rajasthan Royals 47/0 in 6 overs
https://t.co/HyNohGTjHO @IPL @mipaltan @ImRo45 @IamSanjuSamson… https://t.co/rerXD8Zhqf",2021-04-29 10:26:36,"London, UK",0,0.0,0.0
2021-04-29  15:58,1387714931026325507,KailashVashi,"Jaiswal kids must be saying to their mothers, ""Mummy jaiswal bhaiya maar rahe hai"". #MIvsRR #IPL2021",2021-04-29 10:26:36,India,0,0.0,0.0
2021-04-29  15:58,1387714927901646848,ranjanninu,Dear @StarSportsIndia and @IPL will u stop that fuc%ing annoying fake background noise...its absolutely annoying to… https://t.co/2yXifIerJD,2021-04-29 10:26:35,Yatra tatra sarbatra...,0,-0.7000000000000001,0.9333333333333332
2021-04-29  15:58,1387714924214841344,ravirajvchavan,"RT @Abhixplorer2: #MIvsRR

Butler bsdk out ho ja 💥 ohm bhim bush 💨 https://t.co/zh69Au3jLQ",2021-04-29 10:26:35,स्वराज्य🚩,1,0.0,0.0
2021-04-29  15:58,1387714917659156482,Anish29777522,RT @TheRealAkshat27: Toss Update: MI has won the toss and they will be fielding for the first time in #IPL2021 . They have dropped Ishan Ki…,2021-04-29 10:26:33,,1,0.25,0.3333333333333333
2021-04-29  15:58,1387714915725545475,_MSD_CSK,RR scoring 47 runs in the power play with out the loss of a wicket makes their mindset clearly visible. Awesome sta… https://t.co/aD2VkMflHr,2021-04-29 10:26:33,,0,0.55,0.6916666666666667
2021-04-29  15:58,1387714883953717253,45JonSnow,"MI should have played Jimmy Neesham in place of NCN and Ishan Kishan in place of Krunal.
#MIvsRR",2021-04-29 10:26:25,,0,0.0,0.0
2021-04-29  15:58,1387714868568989696,Mr_MGSS,Jaiswal kid countering Coulter all over the park #MIvsRR #IPL2021,2021-04-29 10:26:21,Hogwarts,0,0.0,0.0
2021-04-29  15:58,1387714853238841347,TailEnder08,"This kid I swear 👍🏻
#MIvsRR",2021-04-29 10:26:18,,0,0.0,0.0
