query = #mi 
event = after 11 overs mumbai
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-29  16:23,1387721718693826568,Fabriciosx,RT @NalimR: #IPL2021live #MIvRR Forecast #RR  barrier@ 83 Hurdle@ 152 FireWall@ 173 if clrd Cloud7@ 190 #BigData #AI #VR #Predictiveanalyti…,2021-04-29 10:53:35,Rio de janeiro,3,0.0,0.0
2021-04-29  16:23,1387721710602838021,jackspa09980580,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:53:33,↙️🌍,10,0.35,0.30000000000000004
2021-04-29  16:23,1387721705292931076,ChowdaryChowd19,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:53:31,,10,0.35,0.30000000000000004
2021-04-29  16:23,1387721699626389508,koushikreddy_45,"RT @mipaltan: Almost. 

The Big Man's quick pick-up and throw almost got us the wicket of Jos Buttler in the powerplay. 

RR - 47/0 (6)

#O…",2021-04-29 10:53:30,"Tuni, India",18,0.16666666666666666,0.3
2021-04-29  16:23,1387721696661053440,HATEable2Person,"RT @mipaltan: .@ShaneBond27: ""We created some opportunities in the first few overs but we didn't take it.""

#OneFamily #MumbaiIndians #MI #…",2021-04-29 10:53:29,"Neyveli, India",18,0.024999999999999994,0.21666666666666667
2021-04-29  16:23,1387721692139507719,VaibhavM1718,"RT @mipaltan: Chahar at it again! Gets the ball and breaks the partnership. 💙

#OneFamily #MumbaiIndians #MI #MIvRR #IPL2021 @rdchahar1 htt…",2021-04-29 10:53:28,महाराष्ट्र,26,0.0,0.0
2021-04-29  16:23,1387721683188948996,PRATIKSINCE1999,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:53:26,"Maharashtra, India",10,0.35,0.30000000000000004
2021-04-29  16:23,1387721670304047107,prithiv_45,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:53:23,Thalapathy's Heart,10,0.35,0.30000000000000004
2021-04-29  16:23,1387721660908806145,yashcultsid,"RT @mipaltan: Chahar spells 𝐃𝐎𝐔𝐁𝐋𝐄-𝐓𝐑𝐎𝐔𝐁𝐋𝐄! 👊

Sends back Jaiswal for 32! 💙

#OneFamily #MumbaiIndians #MI #MIvRR #IPL2021 @rdchahar1 https…",2021-04-29 10:53:21,,28,0.0,0.0
2021-04-29  16:23,1387721649588379651,TarakRajesh9,"RT @mipaltan: Chahar spells 𝐃𝐎𝐔𝐁𝐋𝐄-𝐓𝐑𝐎𝐔𝐁𝐋𝐄! 👊

Sends back Jaiswal for 32! 💙

#OneFamily #MumbaiIndians #MI #MIvRR #IPL2021 @rdchahar1 https…",2021-04-29 10:53:18,"Nellore, India",28,0.0,0.0
2021-04-29  16:23,1387721644693606404,Taalib_shaikh,"RT @being_Deepz: @SalmanThere @iKunnu_Kick1 Prediction table of 24th and 25th match 
#MI vs #RR
and
#DC vs #KKR https://t.co/oSZ6vVAbTF",2021-04-29 10:53:17,India✈Gujarat✈Surat,1,0.0,0.0
2021-04-29  16:23,1387721636481175557,SushilN45654693,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:53:15,,10,0.35,0.30000000000000004
2021-04-29  16:23,1387721635017363458,Bhakt_Mhadev_ka,"Rahul Chahar is Always a MVB in #MI side 

Respect 💯",2021-04-29 10:53:15,"देहरादून, भारत",0,0.0,0.0
2021-04-29  16:23,1387721632911749122,davemanan247,"#Mi #RR

Itna Arrogance 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ https://t.co/zakFY06pnT",2021-04-29 10:53:14,"Ahmadabad City, India",0,0.0,0.0
2021-04-29  16:23,1387721629816426496,cricstratgame,"91-2 after 10 overs
Sanju and Dube in the middle
#MIvsRR #MI #RoyalsFamily #OneFamily #Hallabol https://t.co/Y13nBhDDou",2021-04-29 10:53:13,MUM | CHI | SEA | LON | SYD,0,0.0,0.0
2021-04-29  16:23,1387721626079285252,KaviVirat5,"RT @mipaltan: .@ShaneBond27: ""We created some opportunities in the first few overs but we didn't take it.""

#OneFamily #MumbaiIndians #MI #…",2021-04-29 10:53:12,Dharmapuri ,18,0.024999999999999994,0.21666666666666667
2021-04-29  16:23,1387721624095318022,kumar__45,"RT @mipaltan: Chahar spells 𝐃𝐎𝐔𝐁𝐋𝐄-𝐓𝐑𝐎𝐔𝐁𝐋𝐄! 👊

Sends back Jaiswal for 32! 💙

#OneFamily #MumbaiIndians #MI #MIvRR #IPL2021 @rdchahar1 https…",2021-04-29 10:53:12,,28,0.0,0.0
2021-04-29  16:23,1387721621218021383,Jeewajessie,"RT @Cricketracker: Rahul Chahar sent both the RR openers to pavilion.

📸: IPL/BCCI

#MIvRR #MI #RR #IPL #IPL2021 #CricTracker https://t.co/…",2021-04-29 10:53:11,"Vishakhapatnam, India",1,0.0,0.0
2021-04-29  16:23,1387721619141840898,frenzychum,"RT @mipaltan: Chahar spells 𝐃𝐎𝐔𝐁𝐋𝐄-𝐓𝐑𝐎𝐔𝐁𝐋𝐄! 👊

Sends back Jaiswal for 32! 💙

#OneFamily #MumbaiIndians #MI #MIvRR #IPL2021 @rdchahar1 https…",2021-04-29 10:53:11,India,28,0.0,0.0
2021-04-29  16:23,1387721612980416513,ysandeep1604,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:53:09,"Uttar Pradesh, India",12,0.35,0.30000000000000004
2021-04-29  16:23,1387721599072145410,VaibhavM1718,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:53:06,महाराष्ट्र,12,0.35,0.30000000000000004
2021-04-29  16:23,1387721585163866113,1Ajaykiccha,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:53:03,,12,0.35,0.30000000000000004
2021-04-29  16:23,1387721581036589057,KumarAN83349147,"RT @mipaltan: .@ShaneBond27: ""We created some opportunities in the first few overs but we didn't take it.""

#OneFamily #MumbaiIndians #MI #…",2021-04-29 10:53:02,,18,0.024999999999999994,0.21666666666666667
2021-04-29  16:23,1387721569661685765,RajYuviVj12,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:52:59,,12,0.35,0.30000000000000004
2021-04-29  16:23,1387721569456189444,vaibhav39969763,"RT @mayank177502: The best revenge one can get! @rdchahar1 saviour 🌞

#MIvsRR #MI #RR #IPL2021 #IPL2021live #IPL2021 #Cricket https://t.co/…",2021-04-29 10:52:59,,1,1.0,0.3
2021-04-29  16:23,1387721558387429376,frenzychum,"RT @mipaltan: 1 0 0 0 0 0 

Good comeback from NCN in his second over 🔥

RR - 92/2 (11)

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 10:52:56,India,12,0.35,0.30000000000000004
2021-04-29  16:23,1387721554587394049,JahagirdarSays,"@mipaltan  smelling the blood.
#MIvsRR 
#mi
#rr",2021-04-29 10:52:55,"Pune, India",0,0.0,0.0
2021-04-29  16:23,1387721552259473409,cool_bindra,"RT @UshaPlay: Stay safe at the comfort of your homes and watch the @mipaltan play 🏏💙

#UshaPlay #mi #MumbaiIndians #OneFamily #MIPaltan #ip…",2021-04-29 10:52:55,"New Delhi, India",3,0.5,0.5
