query = #rr
event = After 11 overs
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-29  16:24,1387721928148807683,iKunnu_Kick1,"RT @being_Deepz: @SalmanThere @iKunnu_Kick1 Prediction table of 24th and 25th match 
#MI vs #RR
and
#DC vs #KKR https://t.co/oSZ6vVAbTF",2021-04-29 10:54:24,"Delhi,India",2,0.0,0.0
2021-04-29  16:24,1387721926823473157,itsakshatj,#RR batsman learn from these two wickets! Don't hit chahar for six otherwise you'll lose your wicket on the next ball! 😛,2021-04-29 10:54:24,"Sagar, India",0,0.0,0.0
2021-04-29  16:24,1387721922541064198,SureshS44654408,"Hey ADMIN
@rajasthanroyals  please don't pick @IamShivamDube in next match please 🥺 #RR #MIvsRR",2021-04-29 10:54:23,,0,0.0,0.0
2021-04-29  16:24,1387721913053499393,SheikFazil15,RT @CricCrazyJohns: #MI won the toss and decided to bowl first against #RR in #IPL2021,2021-04-29 10:54:21,"Tirunelveli, India",33,0.25,0.3333333333333333
2021-04-29  16:24,1387721904824356866,RoHitAmann,Full support to #RR https://t.co/UI7irQDyUL,2021-04-29 10:54:19,,0,0.35,0.55
2021-04-29  16:24,1387721893835206658,pareek_namit,"Story of #RR batting lineup every year 🤷🏻‍♂️  :-) 

#MIvsRR #MIvRR https://t.co/EIUX4mecNc",2021-04-29 10:54:16,"Jodhpur, India",0,0.5,1.0
2021-04-29  16:24,1387721879486550020,aravinthdhoni11,"RT @dhayaalagiri: #RR wasting a good player in Riyan Parag by not sending him at 4. He is such a fluent player. 

#IPL2021 #MIvRR #RiyanPar…",2021-04-29 10:54:13,"Sivagiri, India",2,0.35,0.55
2021-04-29  16:24,1387721873035726848,Trucebreaker13,"RT @dhayaalagiri: #RR wasting a good player in Riyan Parag by not sending him at 4. He is such a fluent player. 

#IPL2021 #MIvRR #RiyanPar…",2021-04-29 10:54:11,India,2,0.35,0.55
2021-04-29  16:24,1387721846938693632,Alkajain888,"RT @ontodot_: Giveaway worth Rs 1000* from Ontodot
-Follow us on Instagram &amp; Twitter &amp; Facebook
@Ontodot_

- Comment &amp; tag your two friends…",2021-04-29 10:54:05,,58,0.3,0.1
2021-04-29  16:24,1387721833399554051,FanCode,Jaiswal and Buttler have departed after giving @rajasthanroyals a solid start! 🙆‍♂️ @mipaltan have found an opening… https://t.co/WmFUc4frQV,2021-04-29 10:54:02,,0,0.0,0.1
2021-04-29  16:24,1387721824310501379,7W7BiR4hKmhfFBP,"RT @Cricketracker: Jos Buttler against MI in IPL:

6(8)
94*(53)
89(43)
70(44)
41(32)

#MIvRR #MI #RR #IPL #IPL2021 #CricTracker",2021-04-29 10:54:00,,5,0.0,0.0
2021-04-29  16:24,1387721806887354368,manjughiremath,"RT @Cricketracker: Rahul Chahar sent both the RR openers to pavilion.

📸: IPL/BCCI

#MIvRR #MI #RR #IPL #IPL2021 #CricTracker https://t.co/…",2021-04-29 10:53:56,"Hubli, India",2,0.0,0.0
2021-04-29  16:24,1387721776210214920,rohit3195,Rajasthan Royals leading from the front! #COVID19India #IPL2021 #RR https://t.co/Hfj6BgxH24,2021-04-29 10:53:48,Bangalore,0,0.0,0.0
2021-04-29  16:24,1387721760447946758,KshitijDisIz,Shivam Dube just sucked all the momentum #RR had. Hard to believe this guy has already made his debut for India des… https://t.co/nYoDY30VZm,2021-04-29 10:53:44,India,0,-0.2916666666666667,0.5416666666666666
2021-04-29  16:24,1387721749664468997,Yashwanthpv,"Shivam Dube is just useless💩💩😇
@rajasthanroyals 
#RR 
#MIvsRR",2021-04-29 10:53:42,"Bengaluru, India",0,0.0,0.0
2021-04-29  16:24,1387721724553093120,dhayaalagiri,"#RR wasting a good player in Riyan Parag by not sending him at 4. He is such a fluent player. 

#IPL2021 #MIvRR #RiyanParag",2021-04-29 10:53:36,Madurai,2,0.35,0.55
2021-04-29  16:24,1387721718693826568,Fabriciosx,RT @NalimR: #IPL2021live #MIvRR Forecast #RR  barrier@ 83 Hurdle@ 152 FireWall@ 173 if clrd Cloud7@ 190 #BigData #AI #VR #Predictiveanalyti…,2021-04-29 10:53:35,Rio de janeiro,3,0.0,0.0
2021-04-29  16:24,1387721715577458688,Yaswanth4Prabha,"200+ easy 👍😇

#RR 🔥",2021-04-29 10:53:34,Prabhas Anna 😎🔥,0,0.43333333333333335,0.8333333333333334
2021-04-29  16:24,1387721666667552768,rohitsharmaab98,"Rajasthan Royals Have Donated Rs 7.5 Crore For The Covid Relief, ThankYou RR Family. #RR",2021-04-29 10:53:22,"Jaipur, India",0,0.0,0.0
2021-04-29  16:24,1387721644693606404,Taalib_shaikh,"RT @being_Deepz: @SalmanThere @iKunnu_Kick1 Prediction table of 24th and 25th match 
#MI vs #RR
and
#DC vs #KKR https://t.co/oSZ6vVAbTF",2021-04-29 10:53:17,India✈Gujarat✈Surat,2,0.0,0.0
2021-04-29  16:24,1387721632911749122,davemanan247,"#Mi #RR

Itna Arrogance 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ https://t.co/zakFY06pnT",2021-04-29 10:53:14,"Ahmadabad City, India",0,0.0,0.0
2021-04-29  16:24,1387721621218021383,Jeewajessie,"RT @Cricketracker: Rahul Chahar sent both the RR openers to pavilion.

📸: IPL/BCCI

#MIvRR #MI #RR #IPL #IPL2021 #CricTracker https://t.co/…",2021-04-29 10:53:11,"Vishakhapatnam, India",2,0.0,0.0
2021-04-29  16:24,1387721569456189444,vaibhav39969763,"RT @mayank177502: The best revenge one can get! @rdchahar1 saviour 🌞

#MIvsRR #MI #RR #IPL2021 #IPL2021live #IPL2021 #Cricket https://t.co/…",2021-04-29 10:52:59,,1,1.0,0.3
2021-04-29  16:24,1387721554587394049,JahagirdarSays,"@mipaltan  smelling the blood.
#MIvsRR 
#mi
#rr",2021-04-29 10:52:55,"Pune, India",0,0.0,0.0
2021-04-29  16:24,1387721534643392518,McLOVIN_91,"Miller should be number 4 and Dube should be the finisher. Dube doesn't have foot movement at all looks pathetic. 
#MIvsRR #RR",2021-04-29 10:52:51,Titan,0,-1.0,1.0
2021-04-29  16:24,1387721508680650754,Cricketracker,"Rahul Chahar sent both the RR openers to pavilion.

📸: IPL/BCCI

#MIvRR #MI #RR #IPL #IPL2021 #CricTracker https://t.co/Z0rYZwHAXa",2021-04-29 10:52:44,India,2,0.0,0.0
2021-04-29  16:24,1387721503316209670,adeeb_shamil,"RT @IPL: SIX &amp; OUT

Flighted delivery from @rdchahar1 as Buttler comes down the track looking to repeat the dose over long-on but misses an…",2021-04-29 10:52:43,Ponnani ,12,-0.15555555555555559,0.2888888888888889
2021-04-29  16:24,1387721500946436096,Sangeet63791400,"#RR 
92/1
11overs",2021-04-29 10:52:43,Twitter pr ,0,0.0,0.0
2021-04-29  16:24,1387721383690506244,VrRetweeter,RT @NalimR: #IPL2021live #MIvRR Forecast #RR  barrier@ 83 Hurdle@ 152 FireWall@ 173 if clrd Cloud7@ 190 #BigData #AI #VR #Predictiveanalyti…,2021-04-29 10:52:15,Metaverse,3,0.0,0.0
