query = #rr
event = 2021-04-29-16-43-40
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-29  16:43,1387726763514490888,shaik_asifuddin,"RT @Cricketracker: A steady start by Rajasthan Royals.

📸: IPL/BCCI

#MIvRR #MI #RR #IPL #IPL2021 #CricTracker https://t.co/bZ8hTAMaU8",2021-04-29 11:13:37,,3,0.16666666666666666,0.5
2021-04-29  16:43,1387726752076550151,ManishS_SG,Try 200 pls #rr,2021-04-29 11:13:35,Singapore,0,0.0,0.0
2021-04-29  16:43,1387726748498817025,InsideSportIND,"#IPL #IPL2021 #MumbaiIndians #RR #MIvsRR 

RR - 126/2 (15 Over)

Sanju Samson (26) Shivam Dube (23)

Watch Live ⤵️ https://t.co/HY9uyyC9aU",2021-04-29 11:13:34,"नई दिल्ली, भारत",0,0.13636363636363635,0.5
2021-04-29  16:43,1387726688755195904,Viral91530180,"@IPL #VIVOIPL points after M0: #CSK 10, #RCB 10, #DC 8, #MI 4, #KKR 4, #PBKS 4, #RR 4, #SRH 2… https://t.co/mqyre6Gv9E",2021-04-29 11:13:19,,0,0.0,0.0
2021-04-29  16:43,1387726685739438081,dk17_kishore,"RT @itsme_Riyasha: Too hot and too much of Attitude😍

Not a good signs though....
Learn some humbleness boy ..

#RR #MI  #RRvsMI #IPL2021…",2021-04-29 11:13:19,@actorvijay 💝🔥,4,0.03333333333333335,0.55
2021-04-29  16:43,1387726678961524740,PranatiDey2,"RT @ontodot_: Giveaway worth Rs 1000* from Ontodot
-Follow us on Instagram &amp; Twitter &amp; Facebook
@Ontodot_

- Comment &amp; tag your two friends…",2021-04-29 11:13:17,Odisha,59,0.3,0.1
2021-04-29  16:43,1387726678462324738,CricketNagaram,Sanju Samson has scored 25+ runs in 6 out of his last 7 innings against Mumbai. #IPL2021 #MIvRR #RR,2021-04-29 11:13:17,,0,0.0,0.06666666666666667
2021-04-29  16:43,1387726675677306880,SaiKris75286313,Disappointed to Ishan kishan dropped out #mi #rr,2021-04-29 11:13:16,"Hyderabad / Bangalore, India",0,-0.75,0.75
2021-04-29  16:43,1387726656350035971,sreelekha183,RT @Bhardwajmeha: Rajasthan Royals is pleased to announce a contribution of INR 7.5 Crores (over $1mn) towards Covid Relief to help with im…,2021-04-29 11:13:12,India,72,0.5,1.0
2021-04-29  16:43,1387726624506793991,viralvdoz,"IPL 2021, MI vs RR: Rajasthan Royals 126/2 in 15 overs
https://t.co/HyNohGTjHO @IPL @mipaltan @ImRo45… https://t.co/wsZ7N0bwJv",2021-04-29 11:13:04,"London, UK",0,0.0,0.0
