query = #mi
event = 2021-04-29-18-05-50
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-04-29  18:05,1387747455693848579,Thalapathy1498,"RT @mipaltan: Eight runs from the eighth over!

Keep going, boys 🔥

#MI - 71/1 (8)

#OneFamily #MumbaiIndians #IPL2021 #MIvRR",2021-04-29 12:35:51,,12,0.5,1.0
2021-04-29  18:05,1387747449180102658,SantoshChitta,"RT @Pics2Graphics: Special Common DP Design For Our #Hitman @ImRo45 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSharma #MumbaiIndian…",2021-04-29 12:35:49,,9,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747444708888577,Kireeti_JSP,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:48,India,76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747439344427012,TeluguRohitFc,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:47,"Vishakhapatnam, India",76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747435934453764,TarakRajesh9,"RT @Pics2Graphics: Special Common DP Design For Our #Hitman @ImRo45 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSharma #MumbaiIndian…",2021-04-29 12:35:46,"Nellore, India",8,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747420029681665,SantoshChitta,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:42,,76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747414531088385,61MTaylor,"RT @mipaltan: Back in action! 👊

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR @rdchahar1 @ImRo45 @surya_14kumar https://t.co/D6kNph8tzm",2021-04-29 12:35:41,🏴󠁧󠁢󠁥󠁮󠁧󠁿🇧🇧& 🇨🇦 ,514,0.0625,0.05
2021-04-29  18:05,1387747411104178176,Suryasubramany1,"RT @mipaltan: Eight runs from the eighth over!

Keep going, boys 🔥

#MI - 71/1 (8)

#OneFamily #MumbaiIndians #IPL2021 #MIvRR",2021-04-29 12:35:40,"Movies, cricket,....... Etc. ",12,0.5,1.0
2021-04-29  18:05,1387747410902872064,vickicrazer,"RT @MumbaiIndiansTN: QDK Back to Form 💙💥💃

#OneFamily #MumbaiIndians #MI #MIvRR @mipaltan",2021-04-29 12:35:40,!,14,0.0,0.0
2021-04-29  18:05,1387747408776359936,mifamily15,"RT @mipaltan: Eight runs from the eighth over!

Keep going, boys 🔥

#MI - 71/1 (8)

#OneFamily #MumbaiIndians #IPL2021 #MIvRR",2021-04-29 12:35:40,,12,0.5,1.0
2021-04-29  18:05,1387747407295770625,SuryaSk_Offl,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:39,India,76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747405013995520,tarakloves9999,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:39,Vizag,76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747396528984066,MuslimR21670284,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:37,,76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747386705911810,Gunjan36095454,"RT @RiyanSingh19: Common Knowledge in the IPL with same Logic :
#IPL2021 #MI vs #RCB https://t.co/MhQBZarNUW",2021-04-29 12:35:34,India,5,-0.15,0.3125
2021-04-29  18:05,1387747385527259139,17_kowshik,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:34,"Amaravathi, India",76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747380959739906,YOUCANOFFICIAL2,"RT @YOUCANOFFICIAL2: MI💙
PREDICTION
DETAILS
ANALYSIS
watch &amp; enjoy
Share &amp; subscribe

https://t.co/KWnXyAK3mO

#mi #MumbaiIndians #RohithSh…",2021-04-29 12:35:33,"Coimbatore, India",3,0.4,0.5
2021-04-29  18:05,1387747380594810892,Alluarjun111111,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:33,,76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747376509571074,Punith05,"RT @mipaltan: A shout for an LBW against QdK and Samson has reviewed it in the last second 👀

#OneFamily #MumbaiIndians #MI #IPL2021 #MIvRR",2021-04-29 12:35:32,,14,0.0,0.03333333333333333
2021-04-29  18:05,1387747372139048961,Yuvanba48593847,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:31,"Tamil Nadu, India",76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747363381334021,Lakshmipathi62,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:29,,76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747360386600963,ugendhergoud143,"RT @mipaltan: Eight runs from the eighth over!

Keep going, boys 🔥

#MI - 71/1 (8)

#OneFamily #MumbaiIndians #IPL2021 #MIvRR",2021-04-29 12:35:28,"Nalgonda, India",12,0.5,1.0
2021-04-29  18:05,1387747357362515976,Loganathan_tnj,"RT @AK45__Creations: He Knows the Way..,
He Goes the Way &amp; He Shows the Way !
Captain Fantastic @ImRo45 ❤️

#RohitSharma #MI https://t.co/Y…",2021-04-29 12:35:27,"chennai,india",131,0.4,0.9
2021-04-29  18:05,1387747356548812805,vansh61028610,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:27,,76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747349888344068,GauravPrakash_,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:25,"Bihar, India",76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747345748488196,JrNtr63331371,"RT @Ranjith_Offl_: Here, My special common DP Design For Our #Hitman @ImRo45 Birthday 😍

#HappyBirthdayRohit ❤

#RohitBirthdayCDP #RohithSh…",2021-04-29 12:35:24,,76,0.02857142857142858,0.5357142857142857
2021-04-29  18:05,1387747332511330305,Sasikan48989252,"RT @mipaltan: Eight runs from the eighth over!

Keep going, boys 🔥

#MI - 71/1 (8)

#OneFamily #MumbaiIndians #IPL2021 #MIvRR",2021-04-29 12:35:21,,12,0.5,1.0
2021-04-29  18:05,1387747330644856835,NTR_PRA,"RT @mipaltan: Eight runs from the eighth over!

Keep going, boys 🔥

#MI - 71/1 (8)

#OneFamily #MumbaiIndians #IPL2021 #MIvRR",2021-04-29 12:35:21,"Hyderabad, India",12,0.5,1.0
