Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
30-04-2021 19:20,1.38813E+18,IAmABadBoy20,Want #PBKS to score 170+ just to see how #RCB can chase that total down,30-04-2021 13:49,,0,-0.077777778,0.519444444
30-04-2021 19:20,1.38813E+18,Maxithebigshow,"With respectfully , #Pbks management go and fuck yourself 🙃",30-04-2021 13:49,,0,0.05,0.65
30-04-2021 19:20,1.38813E+18,Venkat63544151,"RT @rameshlaus: Apr 16th - 23rd Top #IPL2021 Matches TV Ratings:

1. #MI vs #PBKS 

2. #CSK vs #KKR 

3. #RCB vs #RR 

4. #MI vs #DC 

5. #…",30-04-2021 13:49,"Chennai, India",590,0.5,0.5
30-04-2021 19:20,1.38813E+18,SagarSejpal96,"RT @DreamerFantasy7: Final High Risk 11 🍸
Join telegram for final update.

#Dream11 #DreamTeam #VIVOIPL #MatchDay #IPL #IPLT20 #IPL2021 #PB…",30-04-2021 13:49,,1,0.053333333,0.846666667
30-04-2021 19:20,1.38813E+18,CricGeekAyush,RT if You Want a Gayle-Storm Today #PBKS #PBKSvRCB,30-04-2021 13:48,Kerala,0,0,0
30-04-2021 19:20,1.38813E+18,Being_pratiks,"RT @AyyagaruNumber1: @PunjabKingsIPL If shit has a team then I would be pbks team 
If shit has a name then it's #pbks 
If shit has a manage…",30-04-2021 13:48,"Chandrapur, India",1,-0.2,0.8
30-04-2021 19:20,1.38813E+18,m_idiotic,RT @khushbookadri: Full Support To #PBKS Tonight #IYKYK,30-04-2021 13:48,,1,0.35,0.55
30-04-2021 19:20,1.38813E+18,CricTelegraph,"Royal Challengers Bangalore Playing XI 🏏

#IPL #IPL2021 #RCB #PBKS #PBKSvRCB https://t.co/o7Z9UGpLCe",30-04-2021 13:48,At Cricket,0,0,0
30-04-2021 19:20,1.38813E+18,prashant_4582,"PBKS vs RCB 🏏

#PBKSVRCB #PBKSvsRCB
#RCBvPBKS #RCBvsPBKS 

#PBKS #SaddaPunjab #PunjabKings 

#RCB #PlayBold… https://t.co/ItGXJkf3KG",30-04-2021 13:48,,0,0,0
30-04-2021 19:20,1.38813E+18,Dazzlingcutie1,"RT @ontodot_: Giveaway worth Rs 1000* from Ontodot
-Follow us on Instagram&amp; Twitter &amp; Facebook
@Ontodot_
- Comment &amp; tag your two friends w…",30-04-2021 13:48,Mumbai,75,0.3,0.1
30-04-2021 19:20,1.38813E+18,MattVO20,I beg Punjab do something else other than 130/7 #pbks,30-04-2021 13:48,East London,0,-0.125,0.375
30-04-2021 19:20,1.38813E+18,Sushant85883403,"RT @dna: #IPL2021: Virat Kohli wins toss and opts to field, Royal Challengers Bangalore make one change

#ViratKohli #RCB #PBKS #PBKSvRCB #…",30-04-2021 13:48,BELONIA,2,0.3,0.2
30-04-2021 19:20,1.38813E+18,Indushasp,#RCB won the toss but hopefully #PBKS wins the match 🙏🙏🙏,30-04-2021 13:48,,0,0.3,0.2
30-04-2021 19:20,1.38813E+18,SIMCricket,"SUPER7s PREDICTOR:

Can @PunjabKingsIPL get their 3rd win of #IPL2021 against a strong @RCBTweets side? Here are so… https://t.co/DLMTpLUNRs",30-04-2021 13:48,,0,0.411111111,0.377777778
30-04-2021 19:20,1.38813E+18,ImranVK_18,"RT @ESPNcricinfo: Glenn Maxwell will be facing his former team #PBKS today 👀

What are your predictions for the match? #PBKSvRCB

The previ…",30-04-2021 13:48,"Assam, India",15,0,0
30-04-2021 19:20,1.38813E+18,CricGeekAyush,"Now that Mayank is gone, wanna see Gayle Opening with King Lion #PBKS #PBKSvRCB",30-04-2021 13:48,Kerala,0,0,0
30-04-2021 19:20,1.38813E+18,manjughiremath,"RT @Cricketracker: TOSS: RCB have won the toss and elected to bowl first.

📸: IPL/BCCI

#PBKSvRCB #PBKS #RCB #IPL #IPL2021 #CricTracker htt…",30-04-2021 13:48,"Hubli, India",1,0.25,0.333333333
30-04-2021 19:20,1.38813E+18,DreamerFantasy7,"Final High Risk 11 🍸
Join telegram for final update.

#Dream11 #DreamTeam #VIVOIPL #MatchDay #IPL #IPLT20 #IPL2021… https://t.co/xwQGE9Vxz6",30-04-2021 13:47,"Maharashtra, India",1,0.053333333,0.846666667
30-04-2021 19:20,1.38813E+18,Cricketracker,"TOSS: RCB have won the toss and elected to bowl first.

📸: IPL/BCCI

#PBKSvRCB #PBKS #RCB #IPL #IPL2021 #CricTracker https://t.co/Ov8lZ1d07L",30-04-2021 13:47,India,1,0.25,0.333333333
30-04-2021 19:20,1.38813E+18,khushbookadri,Full Support To #PBKS Tonight #IYKYK,30-04-2021 13:47,"Mumbai, India",1,0.35,0.55
30-04-2021 19:20,1.38813E+18,Muthu63167452,"RT @CricCrazyJohns: Prabhsimran, Harpreet, Meredith replaces Agarwal (injury), Moises, Arshdeep in #PBKS.",30-04-2021 13:47,Chennai,27,0,0
30-04-2021 19:20,1.38813E+18,MRsantosh9127,"RT @rameshlaus: Apr 16th - 23rd Top #IPL2021 Matches TV Ratings:

1. #MI vs #PBKS 

2. #CSK vs #KKR 

3. #RCB vs #RR 

4. #MI vs #DC 

5. #…",30-04-2021 13:47,Hanuman Junction,590,0.5,0.5
30-04-2021 19:20,1.38813E+18,rajpurohit2603,Who will win today's match? #RCBvsPBKS #RCB #PBKS #IPL2021 #VIVOIPL #virat #devdutt #harshal #siraj #yuzi #KLRahul #Gayle,30-04-2021 13:47,,0,0.8,0.4
30-04-2021 19:20,1.38813E+18,SagarRockzzzzz,"RT @rameshlaus: Apr 16th - 23rd Top #IPL2021 Matches TV Ratings:

1. #MI vs #PBKS 

2. #CSK vs #KKR 

3. #RCB vs #RR 

4. #MI vs #DC 

5. #…",30-04-2021 13:47,India,590,0.5,0.5
30-04-2021 19:20,1.38813E+18,probatsman,"Todays Playing XI

#PBKSvRCB #RCB #PBKS #PlayBold #SaddaPunjab #PunjabKings #IPL2021 #IPL #Cricket #ProBatsman https://t.co/d5H12efReX",30-04-2021 13:47,India,0,0,0
30-04-2021 19:20,1.38813E+18,officialsky247,"RCB won the toss &amp; opted to bowl against PBKS.

📸: IPL/BCCI

#Cricket #RCB #PBKS #IPL2021 #PBKSvRCB https://t.co/xRN20vWDvj",30-04-2021 13:47,India,0,0,0
