query = #pbks
event = 2021-05-02-19-53-38
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-05-02  19:53,1388861673545424906,EswarMedia,"RT @PunjabKingsIPL: Boht de ditti respect says, Prabh! 😅

Skips down the track and cracks it over extra-cover for six

#PBKS - 14/0 (2.4)…",2021-05-02 14:23:21,"Vijayawada, India",10,-0.15555555555555559,0.2888888888888889
2021-05-02  19:53,1388861647108808710,indibetofficial,"Brett Lee asking the question everyone's asking! 

Why not give the new ball to a bowler who can bowl 145+?! 🚀🚀… https://t.co/ZIPRmL4QeF",2021-05-02 14:23:15,,0,0.17045454545454544,0.45454545454545453
2021-05-02  19:53,1388861618713333772,Vinu_tweeter,"#IPL2021

Match 29 : #DCvspbks
Winner      : #pbks",2021-05-02 14:23:08,Tirupati ,0,0.0,0.0
2021-05-02  19:53,1388861605220335618,DineshTandon,Kings have a tough game today...especially without King Rahul. Mayank and Universe Boss the key to their batting?  #pbks #DC #PBKSvDC,2021-05-02 14:23:05,Hong Kong,0,-0.262962962962963,0.7444444444444445
2021-05-02  19:53,1388861589978189824,vikramraju224,RT @vikramraju224: Batting Together  #Vijayshankar &amp; #Kedarjadhav is Most Important to Any opposition Team. they can win matches for any Op…,2021-05-02 14:23:01,,2,0.5666666666666668,0.6333333333333333
2021-05-02  19:53,1388861556813832196,Cats1st_,"RT @Supun_Tharaka_1: #IPL2021

PUNJAB KINGS v ROYAL CHALLENGERS BANGALORE 🔥

PUNJAB KINGS WON BY 3️⃣4️⃣ RUNS ❤️🔥

 #PBKS #RCB #PBKSvRCB #IP…",2021-05-02 14:22:53,Virtual world,1,0.0,0.0
2021-05-02  19:53,1388861524245057539,Deb22dn,"RT @MeRohan45: May good health envelop you, spurring a quick recovery. #KLRahul
Get well soon champion.❤️
@klrahul11
#PBKS #PBKSvDC https:/…",2021-05-02 14:22:45,"Silchar, India",1,0.5166666666666666,0.55
2021-05-02  19:53,1388861452086218754,Deb22dn,"RT @cricupdates21: Match no.29 

#DC opt to bowl v #PBKS

#PBKSvDC #DCvPBKS #IPL2021 #VIVOIPL https://t.co/6NHvMtxlZL",2021-05-02 14:22:28,"Silchar, India",1,0.0,0.0
2021-05-02  19:53,1388861437255159809,CaughtOut_in,"Toss Update

#delhicapitals #punjabkings #pbks #mayankagarwal #chrisgayle #chrisjordan #universeboss #rishabhpant… https://t.co/iiIMumhhsq",2021-05-02 14:22:25,,0,0.0,0.0
2021-05-02  19:53,1388861433677496328,SMITH_FARJU_49,"RT @PunjabKingsIPL: Prabh's gone 😢

Smith takes a good catch moving to his left at mid-off ☹️

#PBKS - 17/1 (3.3)

#SaddaPunjab #PunjabKing…",2021-05-02 14:22:24,"Parkchester, Bronx  🇦🇺🇦🇺",8,0.35,0.30000000000000004
2021-05-02  19:53,1388861431911649282,timesofsports,"IPL 2021: KL Rahul Hospitalized After Diagnosed with Acute Appendicitis

READ: https://t.co/ugxaHaTlVF

#IPL… https://t.co/ZUxbS5p37n",2021-05-02 14:22:23,,0,0.6,0.9
2021-05-02  19:53,1388861404115918849,Deb22dn,"RT @PunjabKingsIPL: Prabh's gone 😢

Smith takes a good catch moving to his left at mid-off ☹️

#PBKS - 17/1 (3.3)

#SaddaPunjab #PunjabKing…",2021-05-02 14:22:17,"Silchar, India",8,0.35,0.30000000000000004
