query = #pbksvsdc
event = 2021-05-02-23-10-04
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-05-02  23:10,1388911146392903690,ThatsUrgent,"@PunjabKingsIPL Sab jayaz hai, 
Tum ♥️ jeet gye aur hum match jeet gyeee 🤣😂🤣😂🤣
DC win. Well played ....yeh aur likh… https://t.co/mkPcvu2Kgx",2021-05-02 17:39:56,"New Delhi, India",0,0.8,0.4
2021-05-02  23:10,1388911122389078018,umesh97705207,RT @smannsocial: Smann presents #konkispebhaari contest. PBKS VS DC. Predict the winner of the match &amp; get a chance to win free goodies wee…,2021-05-02 17:39:50,"Mumbai, Maharashtra",64,0.6000000000000001,0.6000000000000001
2021-05-02  23:10,1388911087932739589,ImMustafa27,Delhi Capitals reaches top of the table having registered their sixth win in this competition by beating Punjab Kin… https://t.co/SdQJXzGfbk,2021-05-02 17:39:42,India,0,0.65,0.45
2021-05-02  23:10,1388911065312882691,Sid_ka_Asli_Fan,"His smile is lobe

❤️❤️❤️❤️❤️❤️

Congrats for orange cap @SDhawan25 ese hi apni team ko jeetate raho

#PBKSvsDC https://t.co/5m6NWMWELg",2021-05-02 17:39:37,,0,0.3,0.1
2021-05-02  23:10,1388911057289183236,cricketnmore,"@DelhiCapitals  won by 7 wkts
#PBKSvsDC https://t.co/jtRMiuFGzx",2021-05-02 17:39:35,"New Delhi, India",0,0.0,0.0
2021-05-02  23:10,1388911025479512067,shadowfighterkk,"@CricCrazyJohns He is actually top order player..he should at 3..

Wokes in place of smith

#PBKSvsDC",2021-05-02 17:39:27,india,0,0.5,0.5
2021-05-02  23:10,1388910998329827330,Sandy14999,"@PunjabKingsIPL Shami not had good season so far, Should try Ishan Porel!!

#PBKSvDC #PBKSvsDC",2021-05-02 17:39:21,Mumbai,0,0.428125,0.8
2021-05-02  23:10,1388910995804852226,Adi_Rukhster06,"RT @DevendersainiS: Comfortable victory for us again! #DelhiCapitals looking absolutely fine! We are the TABLE TOPPERS now 💪🏼 💙
#DCvPBKS #P…",2021-05-02 17:39:20,Ahmedabad,1,0.5104166666666667,0.65
2021-05-02  23:10,1388910995507073025,Crichub3,"PBKS vs DC Live score, IPL 2021: Shikhar Dhawan leads Delhi to seven-wicket victory
#dcvspbks #DC #DelhiCapitals… https://t.co/dU5mAyngXa",2021-05-02 17:39:20,,0,0.13636363636363635,0.5
2021-05-02  23:10,1388910958932750341,tejasmishra1997,"@IPL Is this the most 1 sided league phase in history of #IPL ?

#IPL2021
#PBKSvsDC 
#VIVOIPL 
#LetsCrackIt 
@IPL… https://t.co/LGjfhm7BzL",2021-05-02 17:39:11,India,0,0.5,0.5
