query = #srh
event = 2021-05-02-18-54-58
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-05-02  18:54,1388846976872112137,cricket_pig,Samad is paid 20 lakh and seems to be the only #SRH domestic batter with the faintest clue of how to play T20,2021-05-02 13:24:57,,0,0.0,0.55
2021-05-02  18:54,1388846974095400962,iaminvetible,"RT @WazirXIndia: 💰 Prizes worth ₹4,000 💰

We're giving away ₹4,000 worth crypto to one lucky winner who retweets this &amp; answers correctly:…",2021-05-02 13:24:56,somewhere in 🌕,338,0.3111111111111111,0.3444444444444445
2021-05-02  18:54,1388846963848716290,Ajit_khanal,"RT @Vinayshetty945: David warner having a race for drinks 😂😂🥺
#IPL2020 #SRHvRR #srh #DavidWarner https://t.co/8EMx7OMPzL",2021-05-02 13:24:54,"Dang, Nepal",2,0.0,0.0
2021-05-02  18:54,1388846961223102468,Shekhar74092485,"RT @SunRisers: Nabi walks back after a quickfire 17 off 5.

#SRH - 127/5 (14.2)

#RRvSRH #OrangeOrNothing #OrangeArmy #IPL2021",2021-05-02 13:24:53,,25,0.0,0.0
2021-05-02  18:54,1388846956445798410,vinaypr62172551,RT @AmanHasNoName_2: SRH Management blaming their best player David Warner for their shitty middle order.  #SRH https://t.co/pXzYtvC8ye,2021-05-02 13:24:52,,23,0.5,0.15
2021-05-02  18:54,1388846952989609984,vaidiktiwari6,"RT @WazirXIndia: 💰 Prizes worth ₹4,000 💰

We're giving away ₹4,000 worth crypto to one lucky winner who retweets this &amp; answers correctly:…",2021-05-02 13:24:51,,338,0.3111111111111111,0.3444444444444445
2021-05-02  18:54,1388846952821891075,anilsharma9095_,"RT @WazirXIndia: 💰 Prizes worth ₹4,000 💰

We're giving away ₹4,000 worth crypto to one lucky winner who retweets this &amp; answers correctly:…",2021-05-02 13:24:51,,338,0.3111111111111111,0.3444444444444445
2021-05-02  18:54,1388846952113074180,sagarshekhar63,"@WazirXIndia 1. Will $MATIC flippen $SXP : Yes

2. Will #SRH flippen #RR  :  No

 #CryptoSeLagaSixer #ipl2021 #RRvsSRH",2021-05-02 13:24:51,,0,0.0,0.0
2021-05-02  18:54,1388846947495124995,atheisttindian,"#srh supporters situation  right now 🤒
ipl meedha interest  poindhi 😭 https://t.co/PAG7Js04jF",2021-05-02 13:24:50,"Namapalli, Hyderabad",0,0.2857142857142857,0.5357142857142857
2021-05-02  18:54,1388846943120478211,chaitu8799,"RT @Thyview: #AbdulSamad Pull Shot ❤️❤️👌👌

#SRH #IPL2021",2021-05-02 13:24:49,,4,0.0,0.0
