query = #srhvsrr
event = 2021-05-02-15-09-59
Time,Id,user name,Text,Created at,Place,Retweet count,Ploarity,Subjectivity
2021-05-02  15:10,1388790338538524676,Srirangaangajal,"RT @KKEppa23: Hope sun will rise today under Kane Mama captaincy
All the best @SunRisers 
E roju @rajasthanroyals valaki spicy dum biryani…",2021-05-02 09:39:53,Balijipeta ,1,1.0,0.3
2021-05-02  15:10,1388790318569426948,kirtiraj_thakor,"SRH dropped The Warner for Nabi😂🤣
Shit decision.
#SRHvsRR #IPL2021",2021-05-02 09:39:49,"Anand, India",0,-0.2,0.8
2021-05-02  15:10,1388790300424998912,superstar_era,"RT @MohitRohitian: David Warner's Stats in IPL ~

Matches - 148
Runs - 5447
Average - 42.2
Strike Rate - 140.1

And #Srh first Sacked him f…",2021-05-02 09:39:44,"Hyderabad, India",28,0.05,0.36666666666666664
2021-05-02  15:10,1388790298126389253,imraj264,"Hope @SunRisers win this match very marginally..

#SRHvsRR",2021-05-02 09:39:44,"Rajahmundry, India",0,0.5,0.35
2021-05-02  15:10,1388790284910166016,IndiaToday,"RT @ITGDsports: #DavidWarner was axed as #SRH captain on Saturday. 

#SRHvsRR #RRvsSRH #Warner #KaneWilliamson #IPL2021 

https://t.co/BqS7…",2021-05-02 09:39:41,India,1,0.0,0.0
2021-05-02  15:10,1388790225678209024,NishantJain_88,"RT @mguindore: Match 28, Question 28!!!

Cmnt ur ans using #MGUIPLContest2021 &amp; #HarGharKiRasoiKiShaan

Follow 
@mguindore

Don't forget to…",2021-05-02 09:39:26,"Mumbai, India",93,0.0,0.0
2021-05-02  15:10,1388790167289294849,Divyans98179528,"Srh Will Loose Today's Match Definition.
No Warner No win 
Warner Ko hatta ke Nabi ko laye hai Wahh!! AGAR lana tha… https://t.co/jUREgRlch4",2021-05-02 09:39:13,,0,-0.28846153846153844,0.33461538461538465
2021-05-02  15:10,1388790110317993985,Ehteshamul58haq,"RT @MohitRohitian: David Warner's Stats in IPL ~

Matches - 148
Runs - 5447
Average - 42.2
Strike Rate - 140.1

And #Srh first Sacked him f…",2021-05-02 09:38:59,,28,0.05,0.36666666666666664
2021-05-02  15:10,1388789979304763395,someonenewme,Good to see Bhuvi back in the team !  I am curious about who will open with Bairstow!  I felt Holder would have bee… https://t.co/uLjlMBWwIT,2021-05-02 09:38:28,India,0,0.15,0.525
2021-05-02  15:10,1388789964364677121,hemanth64551687,"RT @MohitRohitian: David Warner's Stats in IPL ~

Matches - 148
Runs - 5447
Average - 42.2
Strike Rate - 140.1

And #Srh first Sacked him f…",2021-05-02 09:38:24,,28,0.05,0.36666666666666664
2021-05-02  15:10,1388789947889377280,shiningkiran,"#DavidWarner   dropped   #jasonroy is not included this is lol batting from #SRH 

#KaneWilliamson and… https://t.co/oMQdeNXyKP",2021-05-02 09:38:20,hyderabad,0,0.8,0.7
2021-05-02  15:10,1388789934979522561,cricschedule_,"Sunrisers Hyderabad won the toss and elected to field.

#IPL #IPL2021 #RRvSRH #SRHvRR #RRvsSRH #SRHvsRR

Live Score… https://t.co/pAaPaluBxh",2021-05-02 09:38:17,Mumbai,0,0.13636363636363635,0.5
2021-05-02  15:10,1388789750564225027,bindaas_ajit,"@MopedoBikes Rajasthan Royals will win..

#ipl #ipl2021 #SRHvsRR #srh #RR #DavidWarner #josbuttler #KaneWilliamson… https://t.co/rq7KJHnzgJ",2021-05-02 09:37:33,India,0,0.8,0.4
2021-05-02  15:10,1388789745514287106,amolkhamkar19,Very harsh call from srh to drop Davey to remove from captaincy I understand kane is national captain and did so we… https://t.co/hr74rjjmYH,2021-05-02 09:37:32,MUMBAI,0,-0.26,0.9099999999999999
2021-05-02  15:10,1388789743849140227,Sania45378793,"RT @MohitRohitian: David Warner's Stats in IPL ~

Matches - 148
Runs - 5447
Average - 42.2
Strike Rate - 140.1

And #Srh first Sacked him f…",2021-05-02 09:37:32,,28,0.05,0.36666666666666664
2021-05-02  15:10,1388789743530414082,kksungam,"Will change in captaincy change the result/luck of #SRH 
Let's watch #SRHvsRR",2021-05-02 09:37:31,"Bawal Industrial Estate, India",0,0.0,0.0
2021-05-02  15:10,1388789691718062081,weRcricket,"Here's the #Criclytics #AlgorithmXI fantasy team for today's #RRvSRH match.

Projected points: 490 - 570
Captain: C… https://t.co/xEu8BULVMA",2021-05-02 09:37:19,,0,0.0,0.0
2021-05-02  15:10,1388789669278588928,Siddhi_V_V,"Players who deserve a better franchise 

#SRHvsRR https://t.co/QngmZY40ai",2021-05-02 09:37:14,do u care,0,0.5,0.5
2021-05-02  15:10,1388789632356130817,bindaas_ajit,"RT @MopedoBikes: Predict the winner of today’s match and win assured gift vouchers worth upto ₹500/-. Do not wait anymore, hit comment sect…",2021-05-02 09:37:05,India,107,0.55,0.25
2021-05-02  15:10,1388789621140561921,chocobar239,"RT @SandilyaDHFM: #SRH won the toss and Chose to Field First 🥳
Chasing 🔥
SRH will and Should win today 👍
#SRHvsRR https://t.co/zc10VRwokY",2021-05-02 09:37:02,"Hyderabad, India",2,0.525,0.3666666666666667
2021-05-02  15:10,1388789569391190017,Mohi772,"You will remain always G.O.A.T. for me.
One bad season Can't let you down
@davidwarner31
Once a SRHian always a SRH… https://t.co/KHtwbqDthy",2021-05-02 09:36:50,"Uttaranchal, India",0,-0.4277777777777777,0.47777777777777775
2021-05-02  15:10,1388789568103587842,sasimsd7,"#VIVOIPL 
#MatchDay
#BettingOnIPLWIN
#match28
#MatchDay
#SRH
#RR
#SRHvsRR
@rashidkhan_19
@IamSanjuSamson
winner pre… https://t.co/cfh8qMBTE2",2021-05-02 09:36:50,"Guntur, India",0,0.0,0.0
2021-05-02  15:10,1388789535408984066,LovelyJagadee,"RT @MohitRohitian: David Warner's Stats in IPL ~

Matches - 148
Runs - 5447
Average - 42.2
Strike Rate - 140.1

And #Srh first Sacked him f…",2021-05-02 09:36:42,"Vishakhapatnam, India",28,0.05,0.36666666666666664
2021-05-02  15:10,1388789483869380611,Cricadium,"Is your #Dream11team ready for today's #SRHvsRR?

#SanjuSamson #SRHvsRR #IPL2021 #IPL #OrangeArmy  #SRH #RR… https://t.co/aBqy09nP4v",2021-05-02 09:36:30,Mainly at Stadium,0,0.2,0.5
2021-05-02  15:10,1388789442727407618,khambaty_rehana,"RT @mguindore: Match 28, Question 28!!!

Cmnt ur ans using #MGUIPLContest2021 &amp; #HarGharKiRasoiKiShaan

Follow 
@mguindore

Don't forget to…",2021-05-02 09:36:20,,93,0.0,0.0
2021-05-02  15:10,1388789438973562881,Ameyafcb,Why has Warner been dropped?? #RRvSRH #SRHvRR #RRvsSRH #SRHvsRR @SunRisers,2021-05-02 09:36:19,"Mumbai, India",0,0.0,0.0
2021-05-02  15:10,1388789380840529923,PraveenMogadala,"Naku mantralu ravura.. Vachi unte shapinchevadni 😞

Shameless @SunRisers management!! You deserve to lose all the m… https://t.co/miSyfdEOwS",2021-05-02 09:36:05,"Hyderabad, India",0,0.0,0.0
2021-05-02  15:10,1388789334216564739,RunMachineVK_18,"Transfer David Warner to RCB...He is not a bench player CMON!!!!
#ipl2021 #SRHvsRR #WarnerToRCB",2021-05-02 09:35:54,,0,0.0,0.0
2021-05-02  15:10,1388789319523999748,ku28431987,"Warner out 🤐

#SRHVSRR",2021-05-02 09:35:50,"खारघर, पनवेल",0,0.0,0.0
